Date,Open,High,Low,Close,Volume
2014-01-02,8.8125,8.91,8.5325,8.6875,2331200
2014-01-03,8.6225,8.7875,8.6225,8.7,2594000
2014-01-06,8.755,8.8625,8.675,8.7525,2550000
2014-01-07,8.7025,8.895,8.7025,8.8675,2029600
2014-01-08,8.875,8.895,8.8025,8.87,2609200
2014-01-09,8.8675,9.1725,8.8175,9.16,2909600
2014-01-10,9.1775,9.315,9.125,9.2625,3209200
2014-01-13,9.21,9.5325,9.195,9.3125,3910800
2014-01-14,9.3875,9.46,9.0575,9.23,4082000
2014-01-15,9.295,9.345,9.1275,9.2675,2498800
2014-01-16,9.275,9.45,9.2475,9.4075,2372400
2014-01-17,9.425,9.43,9.23,9.34,3050400
2014-01-21,9.36,9.5,9.28,9.42,1728000
2014-01-22,9.455,9.55,9.2825,9.3,1781200
2014-01-23,9.2875,9.2875,9.065,9.1925,1630000
2014-01-24,9.27,9.3125,8.965,9.17,2014000
2014-01-27,9.1875,9.3175,9.035,9.0375,3838000
2014-01-28,9.0175,9.3375,9,9.275,2374400
2014-01-29,9.18,9.4575,9.1325,9.39,3167600
2014-01-30,9.475,9.815,9.465,9.8125,3620400
2014-01-31,9.69,10.13,9.69,10.115,3518000
2014-02-03,10.1175,10.3,9.73,9.745,3476400
2014-02-04,10.2575,10.54,9.67,9.715,4642400
2014-02-05,9.69,10.0225,9.655,10,2639600
2014-02-06,10.0075,10.125,9.63,9.68,2094800
2014-02-07,9.68,9.8375,9.32,9.4275,4819200
2014-02-10,9.44,9.935,9.4375,9.9325,3234000
2014-02-11,9.9475,10.13,9.82,10.0625,2342400
2014-02-12,10.095,10.325,10.0675,10.275,1829200
2014-02-13,10.275,10.7125,10.22,10.64,3797200
2014-02-14,10.6575,10.8975,10.52,10.855,3983200
2014-02-18,10.875,11.05,10.7825,10.9825,3658000
2014-02-19,10.9925,11.26,10.98,11.1325,4412400
2014-02-20,11.085,11.085,10.51,10.8575,7114800
2014-02-21,11.7325,11.935,10.6375,10.7775,7309200
2014-02-24,10.8125,11.3825,10.8125,11.24,6000800
2014-02-25,11.01,11.5,11.0025,11.25,5354800
2014-02-26,11.2025,11.54,11.18,11.365,3564400
2014-02-27,11.33,11.615,11.28,11.56,2264400
2014-02-28,11.61,11.775,11.1725,11.275,4128400
2014-03-03,11.1875,11.3,10.9,11.27,3332800
2014-03-04,11.4275,11.905,11.3775,11.7225,4167200
2014-03-05,11.715,12.3025,11.625,12.2825,5311200
2014-03-06,12.3325,12.4575,11.755,11.885,3503600
2014-03-07,11.935,11.9675,11.57,11.855,2294000
2014-03-10,11.91,11.91,11.355,11.535,3926000
2014-03-11,11.495,11.89,11.345,11.43,6505600
2014-03-12,11.2525,11.4575,11.0675,11.455,4268000
2014-03-13,11.4375,11.7475,11.16,11.2625,3579600
2014-03-14,11.2,11.34,10.97,11.175,4305200
2014-03-17,11.1775,11.505,11.0875,11.41,3197600
2014-03-18,11.46,11.865,11.43,11.855,3887600
2014-03-19,11.83,11.9625,11.6225,11.65,2291600
2014-03-20,11.625,11.7825,11.5025,11.6075,1369200
2014-03-21,11.575,11.6825,10.995,11.1225,4355600
2014-03-24,11.1325,11.2375,10.385,10.7725,7396400
2014-03-25,10.5675,11.18,10.5525,10.7625,4124000
2014-03-26,10.7825,10.9325,10.5775,10.5775,2488400
2014-03-27,10.475,10.515,9.96,10.125,5215600
2014-03-28,10.0925,10.275,9.9275,10.01,2841600
2014-03-31,10.0875,10.41,9.9175,10.34,2585600
2014-04-01,10.2975,10.4375,10.205,10.3225,3180000
2014-04-02,10.38,10.5725,10.1675,10.4875,4285600
2014-04-03,10.53,10.615,10.145,10.195,2491200
2014-04-04,10.27,10.415,9.42,9.4975,5755200
2014-04-07,9.4275,9.46,8.7325,8.92,7924400
2014-04-08,8.9375,9.38,8.8775,9.18,4994800
2014-04-09,9.19,9.5925,9.1,9.57,3855200
2014-04-10,9.83,9.87,9.005,9.0125,5834800
2014-04-11,9,9.1275,8.6475,8.905,5618800
2014-04-14,8.965,9.0675,8.725,8.8225,2044800
2014-04-15,8.8825,8.8825,8.07,8.54,6950000
2014-04-16,8.545,9.095,8.545,9.0075,4356400
2014-04-17,9.0075,9.2475,8.8375,9.145,2772400
2014-04-21,9.175,9.2225,8.9275,9.0175,1960800
2014-04-22,9.03,9.1875,8.9575,9.03,2181600
2014-04-23,9.005,9.075,8.8975,9.0025,2320800
2014-04-24,9.0725,9.25,8.505,8.67,4059600
2014-04-25,8.605,8.63,8.3275,8.345,3512800
2014-04-28,8.4,8.4975,8.005,8.165,3087200
2014-04-29,8.165,8.4875,8.075,8.115,3219200
2014-04-30,8.115,8.1975,7.935,8.11,3087600
2014-05-01,8.0625,8.26,7.9675,8.1875,5898800
2014-05-02,8.1725,8.485,7.0225,7.9625,13350000
2014-05-05,7.7525,7.98,7.725,7.8725,4984000
2014-05-06,7.8175,7.94,7.6175,7.625,3566400
2014-05-07,7.6,7.6325,7.17,7.42,5742800
2014-05-08,7.4175,7.7,7.34,7.525,4978400
2014-05-09,7.48,7.8875,7.385,7.88,4626800
2014-05-12,7.88,8.165,7.855,8.0225,3814000
2014-05-13,8.03,8.165,7.87,7.965,3461200
2014-05-14,7.925,8.1875,7.8725,7.9525,3352800
2014-05-15,7.8875,7.96,7.695,7.9375,3190000
2014-05-16,7.9325,8.1575,7.8875,8.105,4879200
2014-05-19,8.0975,8.2175,8.0025,8.14,3790400
2014-05-20,8.1225,8.1425,7.7625,7.825,3935600
2014-05-21,7.9175,8.2225,7.885,7.9825,3520400
2014-05-22,7.9925,8.1725,7.9625,8.0875,2389600
2014-05-23,8.0975,8.3525,8.0175,8.295,2468400
2014-05-27,8.365,8.645,8.2625,8.64,3139600
2014-05-28,8.65,8.745,8.5425,8.545,3121600
2014-05-29,8.5575,8.64,8.5425,8.605,2459200
2014-05-30,8.6075,8.6625,8.395,8.44,3184000
2014-06-02,8.41,8.4475,8.12,8.31,1791600
2014-06-03,8.195,8.2925,8.035,8.145,2322000
2014-06-04,8.4375,8.7275,8.3125,8.72,4574400
2014-06-05,8.885,9.12,8.875,9.0325,3561600
2014-06-06,9.15,9.1825,9.01,9.18,2652400
2014-06-09,9.1375,9.37,9.0925,9.345,3355600
2014-06-10,9.29,9.38,9.1275,9.27,2650400
2014-06-11,9.21,9.24,8.9775,9.0575,1812800
2014-06-12,9.0325,9.1225,8.865,9.0025,2222400
2014-06-13,9.0475,9.265,8.8225,9,2072400
2014-06-16,9.0375,9.4675,9.01,9.4575,3270000
2014-06-17,9.4875,9.995,9.31,9.805,5280800
2014-06-18,9.7725,9.9775,9.7575,9.9725,3182000
2014-06-19,9.98,10.005,9.8325,9.9975,2078000
2014-06-20,10,10.265,9.9175,10.25,4091600
2014-06-23,10.2425,10.3875,10.1325,10.2275,3153600
2014-06-24,10.1525,10.3975,10.1475,10.185,2574000
2014-06-25,10.1225,10.245,10.05,10.2025,2078400
