Date,Open,High,Low,Close,Volume
2009-01-02,0.69,0.705,0.655,0.69,279600
2009-01-05,0.7,0.825,0.6725,0.82,554000
2009-01-06,0.815,1.18,0.8125,0.9175,2781600
2009-01-07,0.95,0.9675,0.85,0.8525,794400
2009-01-08,0.8725,0.885,0.8525,0.88,384400
2009-01-09,0.8825,0.8825,0.81,0.8125,512800
2009-01-12,0.8125,0.9875,0.79,0.7975,664800
2009-01-13,0.8,0.88,0.79,0.835,443200
2009-01-14,0.8225,0.8225,0.7575,0.775,484800
2009-01-15,0.78,0.8175,0.725,0.7825,512000
2009-01-16,0.7825,0.905,0.7825,0.875,873600
2009-01-20,0.9025,0.9175,0.7525,0.7575,741200
2009-01-21,0.7725,0.81,0.765,0.805,449600
2009-01-22,0.785,0.83,0.7625,0.82,283200
2009-01-23,0.795,0.8025,0.7725,0.7875,256400
2009-01-26,0.7875,0.835,0.7725,0.805,240800
2009-01-27,0.805,0.8725,0.75,0.835,513600
2009-01-28,0.8525,0.875,0.805,0.8175,458800
2009-01-29,0.805,0.8475,0.76,0.78,298400
2009-01-30,0.75,0.875,0.75,0.8075,1744800
2009-02-02,0.8125,0.85,0.775,0.84,778800
2009-02-03,0.8475,0.85,0.79,0.81,813200
2009-02-04,0.8125,0.855,0.7975,0.835,609600
2009-02-05,0.83,0.84,0.81,0.8275,465200
2009-02-06,0.825,0.9475,0.82,0.9225,1072400
2009-02-09,0.92,0.9475,0.92,0.92,690400
2009-02-10,0.8925,0.9225,0.8425,0.8525,636000
2009-02-11,0.8575,0.9825,0.825,0.955,1196000
2009-02-12,0.9325,0.9325,0.8725,0.8925,427200
2009-02-13,0.895,0.9225,0.89,0.8925,505200
2009-02-17,0.8525,0.9,0.8325,0.8525,388400
2009-02-18,0.8625,0.865,0.8025,0.85,361600
2009-02-19,0.8625,0.9075,0.855,0.9025,390800
2009-02-20,0.8825,0.9875,0.7975,0.9625,1338400
2009-02-23,0.97,1.0125,0.9225,0.9525,1065600
2009-02-24,0.965,1.1,0.91,1.0425,1538800
2009-02-25,1.055,1.055,0.9675,0.9675,703600
2009-02-26,0.975,1.07,0.9425,0.9425,756000
2009-02-27,0.935,1.015,0.9,1.0125,5798000
2009-03-02,0.9975,0.9975,0.9,0.9,744400
2009-03-03,0.915,0.985,0.9,0.9375,812400
2009-03-04,0.9525,1,0.95,0.9775,412000
2009-03-05,0.9475,1.0125,0.81,0.8175,912000
2009-03-06,0.795,0.9225,0.795,0.8275,999600
2009-03-09,0.8225,0.895,0.8225,0.865,816400
2009-03-10,0.885,0.9625,0.8275,0.9575,1015200
2009-03-11,0.9675,0.9925,0.88,0.9375,909200
2009-03-12,0.93,1.035,0.93,1.025,1625600
2009-03-13,1.025,1.0625,0.9725,1.0225,1431200
2009-03-16,1.0375,1.0725,0.9625,1.0075,796800
2009-03-17,1.01,1.055,0.995,1.025,803600
2009-03-18,1.025,1.0875,1.025,1.0575,1902400
2009-03-19,1.07,1.11,1.045,1.075,684000
2009-03-20,1.075,1.1125,1.0375,1.04,1272400
2009-03-23,1.08,1.1625,1.075,1.1625,1237600
2009-03-24,1.1475,1.1625,1.1025,1.105,1226800
2009-03-25,1.1175,1.16,1.005,1.1,1494800
2009-03-26,1.1225,1.17,1.0875,1.16,1213600
2009-03-27,1.135,1.1525,1.06,1.065,831200
2009-03-30,1.0325,1.035,0.96,1.0075,2485600
