Date,Open,High,Low,Close,Volume
2020-01-02,60.24,60.97,60.22,60.84,18056000
2020-01-03,59.81,60.7,59.81,60.1,15293900
2020-01-06,59.59,60.2,59.33,59.93,17755200
2020-01-07,59.78,59.8,58.89,58.93,21876100
2020-01-08,58.89,59.32,58.52,58.97,23133500
2020-01-09,59.05,59.51,58.83,59.3,18813300
2020-01-10,59.57,60.08,58.87,58.94,15200600
2020-01-13,59.17,59.78,59.08,59.59,16453300
2020-01-14,59.49,59.74,59.19,59.43,17051200
2020-01-15,59.3,59.65,58.75,58.94,18498800
2020-01-16,59.26,59.84,59.07,59.66,21365500
2020-01-17,59.98,60,59.24,59.6,21803400
2020-01-21,59.81,61.25,59.79,60.55,28358500
2020-01-22,61.04,62.85,60.97,62.73,29475100
2020-01-23,62.86,63.71,62.81,63.32,42778700
2020-01-24,66.57,69.29,66.46,68.47,84711000
2020-01-27,66.72,67.42,65.6,65.69,30764000
2020-01-28,66.5,67.58,65.94,67.31,30915400
2020-01-29,67.63,68.06,66.17,66.33,18055800
2020-01-30,65.64,66.5,64.93,66.47,18522400
2020-01-31,65.8,65.98,63.67,63.93,25268400
2020-02-03,64.46,65.04,64.3,64.42,16646600
2020-02-04,65.77,66.06,64.92,65.46,20970800
2020-02-05,66.69,67.6,66.13,67.34,23401400
2020-02-06,67.3,67.4,66.77,67.09,17408000
2020-02-07,66.86,67.3,66.01,66.02,18134600
2020-02-10,65.56,66.4,65.44,66.39,22299300
2020-02-11,66.83,67.71,66.57,67.41,17975600
2020-02-12,67.6,68.09,67.31,67.46,15586600
2020-02-13,66.99,67.65,66.74,67.44,11602700
2020-02-14,67.52,67.86,66.82,67.27,13405500
2020-02-18,66.66,66.69,65.88,66.14,12758400
2020-02-19,66.39,67.2,66.18,67.11,13551200
2020-02-20,67.04,67.29,64.56,65.45,26452600
2020-02-21,65.18,65.25,64.04,64.34,20775900
2020-02-24,61.61,62.77,61.32,61.76,26903100
2020-02-25,61.99,62.28,59.46,59.73,34495700
2020-02-26,60.11,60.82,59.27,59.65,26190100
2020-02-27,57.93,58.51,55.8,55.83,42226900
2020-02-28,54.3,56.38,53.6,55.52,60721700
2020-03-02,55.79,58.22,54.52,58.18,43140300
2020-03-03,58.03,59.02,55.4,55.97,49740300
2020-03-04,57.01,58.71,56.16,58.68,29223100
2020-03-05,57.06,58.66,56.61,56.96,29099200
2020-03-06,55.18,56.01,54.54,55.77,36259200
2020-03-09,51.92,52.71,50,50.85,56197000
2020-03-10,52.76,54,50.43,53.98,36569000
2020-03-11,52.39,53.54,51.01,51.66,38563500
2020-03-12,47.99,50.09,45.37,45.54,50661700
2020-03-13,48.26,55,47.74,54.43,48805100
2020-03-16,47.51,52.25,43.63,44.61,53878900
2020-03-17,45.76,51.63,45.2,50.08,52085200
2020-03-18,46.71,50.05,45.2,47.61,49309900
2020-03-19,47.84,49.23,45.16,45.94,44538000
2020-03-20,46.51,49.42,45.47,45.83,52344000
2020-03-23,46.02,50.49,45.91,49.58,46698500
2020-03-24,53.14,54.64,51.35,52.4,50019800
2020-03-25,52.48,53.79,49.91,51.26,41106100
2020-03-26,51.74,55.95,51.66,55.54,41459800
2020-03-27,53.42,54.64,52.07,52.37,31633500
2020-03-30,52.99,56.1,52.83,55.49,31628600
2020-03-31,55.06,55.8,53.22,54.12,48074700
2020-04-01,52.5,54.69,51.43,51.88,29586600
