Date,Open,High,Low,Close,Volume
2000-01-03,32.125,32.5,30.5,30.5625,441000
2000-01-04,30.5,30.9375,30.3125,30.4375,490600
2000-01-05,30.3125,30.4375,29.875,30.3125,577400
2000-01-06,29.75,29.9375,28.9375,29.0625,489600
2000-01-07,29.0625,31.125,29.0625,30.4375,472100
2000-01-10,31.5,31.625,30.5625,30.6875,355100
2000-01-11,30.9375,30.9375,29.5625,30.0625,648700
2000-01-12,29.9375,30,29.5,29.8125,445500
2000-01-13,29.6875,30.5,29.5625,30,224300
2000-01-14,30,30.3125,29.625,29.75,546400
2000-01-18,29.5,30.4375,29.25,29.625,341900
2000-01-19,29.75,30.25,29.6875,30.125,240500
2000-01-20,30,30.0625,29,29.0625,375400
2000-01-21,29.3125,29.3125,28,28.25,516500
2000-01-24,28.1875,28.4375,27.75,27.75,384600
2000-01-25,27.625,28.3125,27.375,27.875,361200
2000-01-26,26.75,28,26.75,27.625,600700
2000-01-27,27.5,27.6875,26.6875,27,441300
2000-01-28,26.75,27.125,26.1875,26.1875,384800
2000-01-31,26.25,26.5,26.125,26.25,329400
2000-02-01,26.125,27.0625,26.125,26.3125,564300
2000-02-02,26.0625,26.25,25.625,25.8125,512200
2000-02-03,25.8125,26.9375,25.125,26.5625,428900
2000-02-04,26.5,27.125,26.5,26.625,388000
2000-02-07,26.25,26.25,25.25,25.375,163100
2000-02-08,25.375,25.625,24.5,25.1875,575300
2000-02-09,25.625,25.75,23.875,24,796600
2000-02-10,24,24.25,23.375,24.0625,1114300
2000-02-11,24,24.125,23.25,23.25,1216000
2000-02-14,23.25,23.5,23.0625,23.375,237300
2000-02-15,23.3125,23.625,23.0625,23.375,382100
2000-02-16,23.375,23.5625,22.0625,22.3125,922700
2000-02-17,23.375,23.9375,22.625,22.625,758100
2000-02-18,23,23.125,22,22.125,1077000
2000-02-22,22,22.875,22,22.375,1041500
2000-02-23,22.375,23.5,22.3125,23.25,937900
2000-02-24,23,23.0625,22.0625,22.0625,619500
2000-02-25,22.0625,24.375,22.0625,23.3125,685000
2000-02-28,23.1875,24.0625,22.5625,23.0625,486000
2000-02-29,22.9375,24.625,22.75,24,878600
2000-03-01,24.5625,24.5625,22.125,22.625,724400
2000-03-02,22.75,23.25,22.5,22.8125,945000
2000-03-03,22.25,22.75,22.25,22.4375,668200
2000-03-06,22.5625,22.6875,22.25,22.375,661200
2000-03-07,22.1875,22.375,21,21.125,1092800
2000-03-08,21.375,22.0625,21.375,22,485300
2000-03-09,21.875,23,21.5,22.75,394600
2000-03-10,22.5625,22.6875,21.5625,21.8125,476600
2000-03-13,21.8125,21.8125,21.0625,21.3125,490100
2000-03-14,21.5,22.75,21.1875,22.5625,519800
2000-03-15,22.25,24.25,22.25,24.125,687700
2000-03-16,24,27,23.5,26.4375,863600
2000-03-17,25.75,26.125,24.3125,24.3125,901500
2000-03-20,24.625,25,24.4375,25,519100
2000-03-21,25,25.875,24.9375,25.6875,397500
2000-03-22,25.4375,25.4375,24.5,24.75,543500
2000-03-23,24.25,24.6875,23.5,24.125,820500
2000-03-24,24.625,25.9375,24.25,25.5625,622700
2000-03-27,25.75,26.0312,25.5,25.625,560400
2000-03-28,25.25,26.625,25.25,26.25,518500
2000-03-29,26.0625,27.5,26.0625,26.8125,767700
2000-03-30,27.0625,27.75,26.875,27.1875,468400
2000-03-31,26.75,28.375,26.75,27.75,831400
2000-04-03,27.8125,28.5,27.5625,27.875,381500
2000-04-04,27.625,28.875,26.5,27.0625,655300
2000-04-05,27,28.0625,27,27.6875,516200
