Date,Open,High,Low,Close,Volume
2008-01-02,120.1,120.1,115.64,116.21,932900
2008-01-03,116.63,116.93,113.3,113.72,775900
2008-01-04,112.87,112.9,110.24,110.58,978700
2008-01-07,111.45,113.6,109.87,112.65,950800
2008-01-08,113.6,113.93,108.15,108.38,932500
2008-01-09,108.34,108.9,104.89,107.94,1292200
2008-01-10,107.1,110.46,105.26,109.71,1240700
2008-01-11,108.49,108.8,105.95,106.09,1020100
2008-01-14,106.89,108.11,106.3,107.03,644600
2008-01-15,106.03,106.49,103.35,104.07,941700
2008-01-16,103.3,108.39,103.3,107.14,919300
2008-01-17,107,107.07,103.6,103.88,914000
2008-01-18,104.39,107.85,104.39,106.06,1217500
2008-01-22,104.18,111.51,103.07,110.49,1369500
2008-01-23,108.5,114.8,107.65,114.58,1340600
2008-01-24,117.07,117.07,112.1,114.34,834000
2008-01-25,115,116,111.02,112.03,701200
2008-01-28,111.84,118.75,111.04,118.68,1182300
2008-01-29,119.19,119.86,115.82,118.43,681500
2008-01-30,117.65,119.58,115.18,116.09,820000
2008-01-31,115.06,122.74,114.86,120.65,949500
2008-02-01,120.38,121.85,118.7,121.59,921700
2008-02-04,121.2,121.4,116.83,117.6,752100
2008-02-05,117.64,118.31,114.58,114.8,736300
2008-02-06,115.44,118.36,114,114,715500
2008-02-07,112.72,118,111.31,116.6,924200
2008-02-08,116.19,118.16,114.41,115.62,659000
2008-02-11,115.81,117.61,113.85,117.59,561900
2008-02-12,117.89,118.79,115.06,116.25,565800
2008-02-13,116.64,118.3,114.79,116.26,543000
2008-02-14,114.75,115.5,111.77,113.12,846800
2008-02-15,112.28,113.64,111.28,113.62,631300
2008-02-19,114.79,115.47,112.5,113.37,847500
2008-02-20,112.33,118.24,112.03,117.08,801500
2008-02-21,117.51,117.71,113.58,113.65,593300
2008-02-22,114,115.31,112.5,115.31,612600
2008-02-25,116.05,118.56,113.25,117.37,1021400
2008-02-26,118.78,126,118.25,124.93,1857000
2008-02-27,123.93,125.69,121.4,122.25,953100
2008-02-28,120.79,121.78,119.26,119.73,580100
2008-02-29,118.18,119.4,114.63,115.08,661300
2008-03-03,115.35,118.4,113.23,117.72,714300
2008-03-04,117,117.2,114.78,116.78,707400
2008-03-05,117.5,119.81,116.17,117.26,641300
2008-03-06,116.76,116.95,113.53,113.67,613900
2008-03-07,112.8,115.7,112,112.83,721200
2008-03-10,112.71,113.07,109.97,110.23,523800
2008-03-11,113.3,114.96,112.06,114.84,736800
2008-03-12,115.05,116.56,111.48,111.57,695900
2008-03-13,110.5,115.81,109.9,115.18,739200
2008-03-14,115.15,115.15,110.26,113.61,1098000
2008-03-17,111.52,113.45,108.89,110.86,867500
2008-03-18,111.41,114.39,111.37,113.88,1555800
2008-03-19,114.75,115.89,112.69,112.69,788800
2008-03-20,113.16,117.08,112.96,116.64,1198100
2008-03-24,116.55,121.6,116.55,119.75,595000
2008-03-25,119.77,120.81,118.27,119.88,438900
2008-03-26,119.59,119.7,117.56,117.92,473700
2008-03-27,118.21,118.47,115.07,115.16,484800
2008-03-28,115.11,115.3,112.87,113.25,454900
2008-03-31,113.31,115.45,112.56,113.83,569800
2008-04-01,117.23,119.61,115.21,119.55,607700
2008-04-02,119.09,120.25,117.35,118.21,545400
2008-04-03,116.95,118.85,116.26,117.78,374900
2008-04-04,117.71,119.02,116.16,116.98,352100
2008-04-07,117.95,118.12,115.63,115.76,514100
2008-04-08,115.1,116.42,114.67,115.94,517800
2008-04-09,116.17,116.37,113.68,114.44,652000
2008-04-10,113.83,117.3,113.65,116.61,710000
2008-04-11,116.18,118.05,116,116.96,727300
2008-04-14,116.9,118.82,116.9,117.13,800300
2008-04-15,117.39,119,116.75,118.3,638000
2008-04-16,119.09,120.7,118.54,120.46,645700
2008-04-17,119.8,121.77,119.19,121.36,637800
2008-04-18,123.15,125,121.97,122.42,613200
2008-04-21,121.7,122.78,120.85,122.25,282700
2008-04-22,122.37,122.37,118.41,119.52,385200
2008-04-23,118.5,125.22,117.86,119.19,656200
2008-04-24,119.2,122.72,119.2,121.48,568800
2008-04-25,122.2,124.31,122,123.85,765500
2008-04-28,123.71,124.58,122.35,123.65,514900
2008-04-29,123.74,125.69,123.55,125.36,636300
2008-04-30,125.49,125.6,120.75,120.75,774500
2008-05-01,121.35,126.85,120.91,125.95,566000
2008-05-02,126.6,126.8,123.01,123.9,453900
2008-05-05,124,124.33,121.7,122.85,570700
2008-05-06,121.01,125.46,121.01,124.61,867600
2008-05-07,124.28,126.54,123.48,124.19,667400
2008-05-08,125.63,127.54,122.04,122.76,1016600
2008-05-09,121.59,124.39,121.35,122.44,546800
2008-05-12,122.62,126.02,122.5,125.77,386000
2008-05-13,126.53,127.23,124.43,126.67,479300
2008-05-14,127.72,128.43,126.67,126.83,512600
2008-05-15,127.57,128.9,125.44,128.35,663600
2008-05-16,127,128.01,124.47,127.21,838700
2008-05-19,127.02,129.5,126.56,127.8,784400
2008-05-20,129,130.79,125.67,126.99,1028700
2008-05-21,127.58,129.5,125.02,125.67,954500
2008-05-22,125.06,129.75,125.06,128.44,753000
2008-05-23,128.2,128.65,126.66,127.28,556200
2008-05-27,126.65,129.5,125.81,127.23,1141800
2008-05-28,128,128.37,125.8,127.02,489500
2008-05-29,127.46,128.93,127.13,127.77,728500
2008-05-30,127.44,127.7,126.2,126.56,362600
2008-06-02,126.25,127.81,125.87,127.39,633200
2008-06-03,128.19,128.19,125.75,127.39,861300
2008-06-04,127.27,127.46,124.65,125.75,740800
2008-06-05,127.51,127.9,125.14,126.09,744000
2008-06-06,124.79,125.1,120.94,121.74,775800
2008-06-09,122.15,123.36,120.46,121.45,559500
2008-06-10,120.15,123.13,119.68,121.29,714600
2008-06-11,120.5,121.3,117.98,118.14,513700
2008-06-12,118.8,120.89,117.52,118.3,496400
2008-06-13,118.89,120.38,118.3,119.52,474800
2008-06-16,118.62,121.01,118.42,120.37,663500
2008-06-17,120.6,120.8,119.35,120.33,673500
2008-06-18,119.07,119.31,117.03,117.76,763300
2008-06-19,118.06,119.16,117.21,118.82,725200
2008-06-20,118.22,118.22,114.35,115,646300
2008-06-23,115.4,115.8,111.57,112.23,690900
2008-06-24,111.51,114.09,110.39,111.9,1095300
2008-06-25,112.15,115.65,111.29,111.82,1344700
2008-06-26,112.65,116.91,110.99,114.67,1921100
2008-06-27,115.28,121.41,115.28,120.13,3454000
2008-06-30,121.7,124.51,120.37,121.01,1664100
2008-07-01,118.69,122.16,118.01,121.69,1142600
2008-07-02,122.24,122.34,118.45,118.45,1078200
2008-07-03,119.2,121.77,118.66,120.18,695600
2008-07-07,120.84,121.85,118,119.41,929800
2008-07-08,119.8,122.44,118.72,122.27,1143300
2008-07-09,122,123.04,120.84,121.33,941900
2008-07-10,121.1,123.73,119.59,120.15,905400
2008-07-11,118.53,120.15,116.11,117.68,1088400
2008-07-14,119.29,120.13,116.62,117.52,669900
2008-07-15,117.04,117.2,112.78,115.14,1351900
2008-07-16,115.1,120.44,115.1,119.93,1020900
2008-07-17,120.4,125.59,119.01,124.9,1302700
2008-07-18,126.58,126.58,123.61,126.01,1116800
2008-07-21,125.5,126.97,123.63,124.52,779700
2008-07-22,123.93,129.59,123.6,128.22,1077100
2008-07-23,127.85,133.59,127.62,130.58,1441000
2008-07-24,130.76,131.97,128.8,129,844700
2008-07-25,130.16,130.83,127.51,127.87,769400
2008-07-28,126.7,128.28,124.49,126.71,696500
2008-07-29,126.65,131.56,126.52,131.03,719200
2008-07-30,130.91,133.16,128.72,131.25,767400
2008-07-31,129.91,133.66,129.42,130.29,750000
2008-08-01,130.38,132.72,129.18,131.33,677600
2008-08-04,131.01,131.67,129.43,130.47,639100
2008-08-05,131.9,136.34,131.9,136.05,1098100
2008-08-06,135.23,135.23,131.46,134,1174400
2008-08-07,132.55,134.96,132.1,133.93,1078100
2008-08-08,133.26,138.97,133.26,138.35,968000
2008-08-11,138.01,142.49,137.25,138.96,1004700
2008-08-12,138.74,139.17,136,136.61,685400
2008-08-13,136.06,136.17,131.31,134.3,938600
2008-08-14,133.99,137.49,132.61,136.06,857400
2008-08-15,135.25,138.92,135.25,138.59,618700
2008-08-18,139.5,140,136.64,137.21,559800
2008-08-19,136.12,136.69,134.22,134.89,513600
2008-08-20,136.56,137.25,133.89,135.17,736200
2008-08-21,133.56,135.86,132.78,134.34,874900
2008-08-22,135,137.29,134.66,136.72,567900
2008-08-25,136.2,136.56,133.23,133.45,491500
2008-08-26,132.83,136.46,132.46,136.34,595000
2008-08-27,135.29,138.35,135.29,137.3,642000
2008-08-28,137.57,140.51,137.19,138.73,744900
2008-08-29,138,139.85,136.82,137.23,544500
2008-09-02,139.24,143.8,137.51,138.31,1217500
2008-09-03,138.9,141.77,138.15,141.13,1078800
2008-09-04,140.79,142.36,138.31,138.38,900800
2008-09-05,137.5,138.91,135.25,138.19,681000
2008-09-08,139.13,140.7,136.2,139.98,1005800
2008-09-09,140.5,141.97,134.98,135.01,1154900
2008-09-10,135.02,137.78,133.77,137,708100
2008-09-11,136.4,138.44,134.24,137.82,978200
2008-09-12,136.3,138.97,135.91,138.5,840700
2008-09-15,136.74,140.52,135.58,135.88,1067300
2008-09-16,134.76,135.31,129.6,133.63,1823700
2008-09-17,131.32,132.86,128.09,128.19,1226600
2008-09-18,129.75,130.6,120,128.53,1950400
2008-09-19,134.38,136.4,123,130.79,1240500
2008-09-22,128,134.14,127.69,129.06,1261200
2008-09-23,129.55,130.21,126.93,127.17,678900
2008-09-24,127.09,129.05,125.52,125.98,647000
2008-09-25,127.4,130.38,126.64,128.77,916900
2008-09-26,128.76,130.44,127.04,129.35,457800
2008-09-29,128.6,129.42,121.94,124.55,899600
2008-09-30,125.85,125.85,121.46,123.34,1316500
2008-10-01,122.46,124.38,121.73,122.07,758000
2008-10-02,122.07,123.47,115.43,116.99,1150300
2008-10-03,118.1,120.72,117.18,117.4,1101600
2008-10-06,115.66,120.09,114.02,119.1,1354200
2008-10-07,118.85,119.96,107.5,108.21,2264400
2008-10-08,106.11,111.47,103.67,106.95,1502400
2008-10-09,107.2,108.7,98.79,98.79,1241100
2008-10-10,95.34,103.79,93.55,99.7,1495700
2008-10-13,102.55,107.8,102.22,107.25,269900
2008-10-14,110.9,111.05,104.36,108.5,1311700
2008-10-15,108.11,109.31,101.07,101.11,1003000
2008-10-16,101.03,106,98.85,105.56,1174000
2008-10-17,103.8,109.7,103.6,106.6,701400
2008-10-20,105.62,108.68,104.21,108.64,729500
2008-10-21,108,113.02,105.7,108.94,797200
2008-10-22,107.25,109.81,103.04,105.96,892500
2008-10-23,107.13,108.14,100.33,105.49,1273100
2008-10-24,101.05,104.41,100.27,102.7,743800
2008-10-27,101.53,106.85,99.75,102.88,903100
2008-10-28,105.05,115.14,103.98,114.2,1675700
2008-10-29,114.15,124.69,112.29,119.75,2024400
2008-10-30,120.4,126.96,120.28,122.1,1029200
2008-10-31,121,129.32,120.77,127.29,1251700
2008-11-03,125.75,126.14,119.88,120.73,1148400
2008-11-04,122.47,123.09,119.17,122.85,717000
2008-11-05,117.8,120.25,117,118.01,1585300
2008-11-06,117,121.79,115.53,117.24,1175700
2008-11-07,116.19,119.11,116.19,118.94,765000
2008-11-10,119.26,120.91,114.48,116.2,626200
2008-11-11,114.8,115,111,111.86,710800
2008-11-12,109.5,110.98,102.83,103.22,1625100
2008-11-13,103.98,112.76,103.3,112.68,1340400
2008-11-14,111.18,112.56,105.76,105.76,1179900
2008-11-17,106,108.81,104.51,104.59,1125400
2008-11-18,103.75,108.32,102.4,107.16,2235200
2008-11-19,106.07,107.01,93.1,94.25,3450200
2008-11-20,90.71,96.56,86.91,89.09,3208900
2008-11-21,90,92.43,84.66,92.41,3077000
2008-11-24,92.52,101.03,92.52,99.12,1969100
2008-11-25,102.2,103.42,98.14,103.16,1362400
2008-11-26,101.5,109.47,101.34,108.76,999100
2008-11-28,108.5,110.04,107.8,109.22,546300
2008-12-01,107.55,108.9,100.12,101.05,1559200
2008-12-02,102,108.47,98.67,108.36,1860200
2008-12-03,106.09,116.29,105.72,115.8,1614900
2008-12-04,113.37,119.14,112.22,114.38,1376000
2008-12-05,112.4,122.26,111.57,121.48,1697800
2008-12-08,123.9,125.07,115.26,116.5,1871700
2008-12-09,119.11,127.9,118.56,124.51,3183100
2008-12-10,124.12,129.52,123.91,128.62,1691600
2008-12-11,128.62,129.32,124.22,126.06,1743300
2008-12-12,123.99,130.76,123.25,129.6,1966100
2008-12-15,129.98,131.16,126.32,129.02,1575200
2008-12-16,129.5,133.95,129.48,133.5,1454300
2008-12-17,133.1,136.59,131.02,134.27,1080800
2008-12-18,134.8,138.13,134.25,135.77,1116000
2008-12-19,136.5,138.19,131.62,131.62,1741900
2008-12-22,130,130.87,125.77,128.63,1692000
2008-12-23,130.93,131.34,127.35,129.71,1033000
2008-12-24,129.71,130.91,129.42,129.97,188000
2008-12-26,130.51,132.35,130.31,132.23,476000
2008-12-29,131.87,133.06,130,132.69,933700
2008-12-30,132.02,137.5,132.02,137.25,1253000
2008-12-31,136.25,140.64,135.85,139.47,1111400
