Date,Open,High,Low,Close,Volume
2020-01-02,123.53,123.98,121.4,122.08,1114200
2020-01-03,120.44,122.5,120.28,122.21,729100
2020-01-06,122.02,125.13,121.55,124.69,1678700
2020-01-07,124.59,126.47,123.67,125.51,1179300
2020-01-08,125.96,129,124.82,127.82,1665900
2020-01-09,128.72,129.55,127.4,128.02,804300
2020-01-10,127.7,128.53,126.64,126.76,864800
2020-01-13,126.92,128.57,125.18,128.45,1061100
2020-01-14,125.51,127.53,124.56,126.93,1768800
2020-01-15,127.09,128.01,126.05,126.61,592600
2020-01-16,126.85,127.71,126.28,127.64,1041300
2020-01-17,128.42,130.42,127.4,130.01,1948900
2020-01-21,129.07,130.98,127.47,130.39,1398100
2020-01-22,131.45,133.36,129.7,130.11,1023100
2020-01-23,130.44,130.87,128.67,129.07,980800
2020-01-24,128.04,128.17,125.16,125.28,1267800
2020-01-27,122.19,123.96,121.55,123.07,1368600
2020-01-28,123.11,126.69,123.11,125.97,1502300
2020-01-29,126.98,127.05,124.55,125.91,934700
2020-01-30,124.98,127.6,124.94,127.43,1033700
2020-01-31,126.4,126.89,124.27,124.64,1486200
2020-02-03,125.24,126.35,123.85,124.35,1119000
2020-02-04,126.3,127.74,124.8,126.93,1653600
2020-02-05,122.45,123.92,119.31,120.76,2982300
2020-02-06,121.05,128.05,121.05,127.74,3333700
2020-02-07,116,117.66,112.58,112.6,8808000
2020-02-10,112.5,112.6,109.09,111,4090400
2020-02-11,111,112.69,110,112.39,2411100
2020-02-12,112.53,115.28,112.01,114.02,3782300
2020-02-13,113.66,114.26,111.15,112.21,2093300
2020-02-14,112.58,114.26,111.77,113.43,1117900
2020-02-18,113.24,114.17,112.51,113.43,1231700
2020-02-19,114.1,114.76,113.47,113.54,1225800
2020-02-20,113.34,115.21,112.75,115.13,1612100
2020-02-21,114.7,116.58,114.04,116.03,2337300
2020-02-24,114.51,116.55,112.74,113.02,1960100
2020-02-25,113.5,114.44,110.59,110.97,2362500
2020-02-26,111.23,112.5,109.45,109.47,2561800
2020-02-27,107.56,111.96,106.22,107.84,2502800
2020-02-28,106.56,109.28,105.27,107.48,3384800
2020-03-02,108.58,112.13,107.92,112.06,2321900
2020-03-03,111.75,115.04,109.81,111.22,2073500
2020-03-04,113.44,119.79,113.44,119.42,2573300
2020-03-05,115.95,119.08,115.1,117.27,2289900
2020-03-06,113.7,118.71,113.47,117.69,2426100
2020-03-09,109.96,118.03,109.17,113.88,2388800
2020-03-10,118.6,118.88,113.3,118.75,2474300
2020-03-11,116.44,119.83,115.85,119.05,2212100
2020-03-12,112,116.73,108.35,108.36,3587500
2020-03-13,113.77,116.73,109.42,116.62,2637100
2020-03-16,105.84,115.17,104.95,108.01,2918800
2020-03-17,110.53,117.96,105.15,116.47,2956100
2020-03-18,111.65,120.5,101.8,106.62,4012600
2020-03-19,107.26,108.75,102.97,106.36,2358000
2020-03-20,108.52,110.14,100,100.15,4210900
2020-03-23,102.22,111.94,100.35,109.82,2892900
2020-03-24,114.09,117.49,108.39,112.22,2642000
2020-03-25,111.86,115.3,108,109.72,3034300
2020-03-26,110.25,115.59,108.61,115.25,2233700
2020-03-27,113.21,114.58,110,111.7,1880700
2020-03-30,113.88,119.89,112.89,118.51,3389300
2020-03-31,118.34,120.7,116.29,118.61,3100400
2020-04-01,115.52,123.91,114.66,116.33,3031100
2020-04-02,117.09,120.12,115.49,119.51,1725800
2020-04-03,119.34,121.6,117.77,118.49,1885000
2020-04-06,120.65,122.48,119.01,121.29,1626900
2020-04-07,123.43,123.7,117.2,120.06,2387000
2020-04-08,121.11,122.12,118.71,119.1,1706200
2020-04-09,119.5,121.24,118.41,119.4,1950000
2020-04-13,118.65,120.41,117.27,120,1641900
2020-04-14,124.26,125.67,122.69,122.78,3199800
2020-04-15,122.49,126.8,121.74,123.5,3584900
2020-04-16,124.36,127.27,122.82,126.82,4626500
2020-04-17,125.98,126.25,121,124.44,3703400
2020-04-20,124.24,125.66,123.11,125.35,1881800
2020-04-21,126.04,128.08,123.38,125.73,2502900
2020-04-22,126.69,128.06,123.46,127.44,1938000
2020-04-23,127.57,127.99,124.12,124.55,1485300
2020-04-24,125.44,127.98,124.65,127.88,1137800
2020-04-27,128.22,129.34,125.27,125.93,1236400
2020-04-28,125.46,125.66,120.42,120.51,1654600
2020-04-29,120.55,122.17,118.01,121.18,1492400
2020-04-30,120.94,122.05,119.37,121.05,1210200
2020-05-01,119.22,123.48,119.22,122.65,1428300
2020-05-04,123.61,125.71,122.86,124.91,1527500
2020-05-05,126.11,126.79,124.13,125.28,1578300
2020-05-06,126.57,128.86,125.61,127.73,1363300
2020-05-07,128.88,130.55,128.01,128.78,1442200
2020-05-08,129.37,130.78,127.7,129.85,1314400
2020-05-11,130,134.8,129.66,132.59,2106600
2020-05-12,133.37,135.02,131.31,131.62,1448000
2020-05-13,132.2,133.89,129.58,131.38,1517700
2020-05-14,130.94,131.64,128.56,131.53,1165200
2020-05-15,129.71,133.54,129.5,132.54,1749300
2020-05-18,133.25,135.94,130.25,135.53,2692500
2020-05-19,136.34,143.22,136.34,142.24,3227000
2020-05-20,143.84,149.28,143.82,146.84,7065900
