Date,Open,High,Low,Close,Volume
2008-01-02,28.67,28.95,28.3,28.78,383100
2008-01-03,28.86,29.19,28.77,28.97,364500
2008-01-04,28.65,29.5,28.6,29.36,641900
2008-01-07,29.38,30.33,29.25,29.85,663000
2008-01-08,29.89,30.26,29.44,29.47,663500
2008-01-09,29.23,30.39,29.01,30.14,596600
2008-01-10,29.97,30.99,29.85,30.7,726600
2008-01-11,30.51,31.05,30.42,30.44,501100
2008-01-14,30.7,30.7,29.63,29.76,410700
2008-01-15,29.56,29.88,29.4,29.47,508600
2008-01-16,29.29,30.62,29.29,30.25,675600
2008-01-17,30.34,30.47,29.37,29.37,814400
2008-01-18,29.43,29.62,28.89,29.26,751800
2008-01-22,28.1,29.85,27.76,28.62,775800
2008-01-23,27.97,28.82,27.65,28.7,670200
2008-01-24,28.9,28.9,27.78,27.79,709100
2008-01-25,27.93,28.15,27.54,27.62,371100
2008-01-28,27.61,27.75,27,27.6,589200
2008-01-29,27.7,27.7,27.3,27.44,392900
2008-01-30,26.67,26.67,23.21,23.48,2412100
2008-01-31,23.1,25.27,20.71,24.78,1639800
2008-02-01,24.84,24.92,24.4,24.74,1312400
2008-02-04,24.79,24.93,24.32,24.52,1152800
2008-02-05,24.15,24.57,24.11,24.14,1008100
2008-02-06,24.4,24.42,23.71,23.78,757200
2008-02-07,23.68,24.11,23.51,23.64,805200
2008-02-08,23.54,23.71,23,23.2,824900
2008-02-11,23.2,23.59,22.86,23.56,999600
2008-02-12,23.78,24.25,23.56,24.07,714700
2008-02-13,24.32,24.41,24.08,24.24,614700
2008-02-14,24.29,24.29,23.7,23.75,753000
2008-02-15,23.55,23.66,23.27,23.61,821300
2008-02-19,23.81,24.1,23.75,23.77,480900
2008-02-20,23.6,24.12,23.51,24.06,840000
2008-02-21,24.23,24.72,23.75,23.81,477400
2008-02-22,23.93,24.01,23.57,23.79,616600
2008-02-25,23.73,24.48,23.61,24.39,697500
2008-02-26,24.4,25.11,24.4,24.69,689300
2008-02-27,24.54,25.03,24.32,24.81,551200
2008-02-28,24.78,25.09,24.56,24.65,439000
2008-02-29,24.44,24.77,24.19,24.62,722800
2008-03-03,24.52,24.57,23.97,24.35,638000
2008-03-04,24.08,24.77,24,24.64,487600
2008-03-05,24.7,24.76,24.45,24.7,547200
2008-03-06,24.52,24.96,24.52,24.7,899900
2008-03-07,24.65,25.32,24.52,24.87,802700
