Date,Open,High,Low,Close,Volume
2017-07-17,75,75,70,70,34000
2017-07-18,70.5,72,69.92,70,35700
2017-07-19,67.92,69.51,67.8,68.95,1800
2017-07-20,69.749,70,69,69,28400
2017-07-21,70,70,68.56,68.923,1600
2017-07-24,69,69.29,69,69,4600
2017-07-25,69.146,69.146,68.95,69.084,1400
2017-07-26,69.08,69.08,69.08,69.08,0
2017-07-27,69.25,69.25,68,68,13000
2017-07-28,67.26,67.26,67.26,67.26,100
2017-07-31,67.7,67.7,65.28,66,19100
2017-08-01,66.65,66.86,66.23,66.25,26800
2017-08-02,65.98,66.06,64.83,64.89,112400
2017-08-03,65,65.5,63.5,64,34300
2017-08-04,64.94,65.05,64.44,64.57,335400
2017-08-07,62.75,62.85,60.58,61.72,11208100
2017-08-08,61.06,61.5,56.59,56.9,4124500
2017-08-09,56.01,57.12,54.94,56.72,4513900
2017-08-10,56.55,59.49,56,58.5,3231800
2017-08-11,58.1,58.484,57.04,57.97,1751500
2017-08-14,57.42,58.53,57,57.36,2391800
2017-08-15,57.48,59,57.11,58.01,1816000
2017-08-16,57.51,58.72,56.97,57.5,3090600
2017-08-17,57.05,57.58,55.16,55.97,1922700
2017-08-18,55.69,57.92,55.18,57.45,2680900
2017-08-21,57,57.94,56.62,56.86,1482000
2017-08-22,56.92,57.8,56.57,57.21,1202400
2017-08-23,56.76,57.29,56.24,56.65,1272300
2017-08-24,56.39,56.64,55.11,55.32,1312200
2017-08-25,55.53,56.63,54.9,55.54,1080300
2017-08-28,55.78,55.975,55.16,55.34,720400
2017-08-29,55.25,55.87,54.77,55.76,1221200
2017-08-30,55.48,57.47,55.35,57.1,1200400
2017-08-31,57.06,57.4,56.21,57.07,1722800
2017-09-01,56.9,57.98,56.36,57.49,945900
2017-09-05,57.19,57.19,53.69,54.08,2853100
2017-09-06,54.33,54.59,52.94,53.18,1781400
2017-09-07,53.36,53.68,52.751,53,1359600
2017-09-08,53,54.592,52.95,54.54,1039400
2017-09-11,55.08,56,54.83,55.11,1126000
2017-09-12,55.11,55.98,54.53,55.19,1339400
2017-09-13,54.91,55.4,54.77,55.35,848900
2017-09-14,55.12,55.69,54.95,55.62,1115200
2017-09-15,55.5,56.59,55.24,56.56,1680100
2017-09-18,56.75,57.4,56.406,57.21,1085900
2017-09-19,57.09,57.31,56.77,56.93,989400
2017-09-20,56.55,57.54,56.5,57.49,723300
2017-09-21,57.28,58.064,57.15,57.68,655900
2017-09-22,57.06,58.55,56.81,58.35,903300
2017-09-25,57.8,58.94,57.45,58.68,924900
2017-09-26,58.99,60.84,58.501,60.64,946400
2017-09-27,60.68,61.92,60.28,61.29,1262900
2017-09-28,61.2,61.2,59.34,60.43,1218600
2017-09-29,60.16,61.13,60.16,60.8,628100
2017-10-02,60.75,61.05,59.92,60.99,896400
2017-10-03,60.71,60.815,59.33,60.22,999200
2017-10-04,60.26,60.44,59.41,59.48,745400
2017-10-05,59.45,60.7,59.42,60.57,557400
2017-10-06,60.7,61.3,60.48,61.02,784100
2017-10-09,60.85,60.98,60.06,60.12,582800
2017-10-10,60.31,60.49,59.4,60.1,1434900
2017-10-11,60.2,60.78,59.36,60.67,637000
2017-10-12,60.33,60.75,60.081,60.43,457600
2017-10-13,60.35,60.42,59.78,60.4,489200
2017-10-16,60.3,60.84,59.81,60.24,607300
2017-10-17,60.32,60.66,60,60.63,520400
2017-10-18,60.57,60.83,60.24,60.71,402600
2017-10-19,60.35,61.21,60.04,61.2,654700
2017-10-20,61.25,62.55,61.14,62.12,755900
2017-10-23,62.06,62.35,61.55,61.73,473300
2017-10-24,62.11,62.9,61.713,62.54,849300
2017-10-25,62.31,63,61.819,62.06,1028600
2017-10-26,61.95,63.24,61.61,63.19,550600
2017-10-27,62.95,63.66,62.85,63.63,482500
2017-10-30,63.2,63.47,62.43,62.46,825600
2017-10-31,62.93,62.95,61.78,62.18,973200
2017-11-01,62.15,62.84,61.61,62.05,645400
2017-11-02,57.49,60.19,57.15,59.23,2230400
2017-11-03,59.34,59.45,57.4,57.82,1463300
2017-11-06,57.49,58.28,55.93,56.66,1140700
2017-11-07,56.32,57.02,55.8,56.95,1265900
2017-11-08,56.58,56.81,55.88,56.29,590000
2017-11-09,56.14,56.79,56.02,56.5,711800
2017-11-10,56.16,56.72,56.08,56.58,531000
2017-11-13,56.04,56.52,55.71,55.99,937000
2017-11-14,55.68,55.88,55.11,55.38,1077900
2017-11-15,55.31,56.225,54.66,54.97,1611000
2017-11-16,55.03,55.58,54.605,55.42,1076300
2017-11-17,55.07,55.9,54.97,55.67,518500
2017-11-20,55.59,55.65,54.78,55.46,457900
2017-11-21,55.32,57.2,55.32,56.91,1395500
2017-11-22,56.97,57.6,56.616,57.45,555700
2017-11-24,57.6,57.72,56.87,57.29,314000
2017-11-27,57.25,57.66,56.79,57.61,601400
2017-11-28,57.46,58.46,57.46,58.01,858100
2017-11-29,58.33,60.12,58.33,59.44,877400
2017-11-30,59.69,60.14,58.19,58.79,1284200
2017-12-01,58.84,59.05,57,58.44,671300
2017-12-04,58.89,59.81,58.18,58.49,1084000
2017-12-05,58.45,59.03,58.18,58.25,591000
2017-12-06,58.05,58.89,58.05,58.17,354100
2017-12-07,58.19,59.08,57.84,58.63,674400
2017-12-08,58.59,60.22,58.42,60.2,762600
2017-12-11,60.27,60.554,59.703,59.97,692100
2017-12-12,60.08,60.41,59.461,59.98,802000
2017-12-13,59.79,60.24,59.31,59.37,947000
2017-12-14,59.75,60.74,58.27,58.73,1207600
2017-12-15,58.99,59.22,57.85,58.45,1469400
