Date,Open,High,Low,Close,Volume
2024-08-21,69.25,69.91,69.06,69.87,2961000
2024-08-22,70.24,70.65,69.66,69.84,1496100
2024-08-23,70.17,71.44,69.49,70.82,833400
2024-08-26,70.75,71.64,70.33,70.9,3004800
2024-08-27,70.82,72.3,70.46,72.16,3025700
2024-08-28,68.61,71.1,68.61,70.48,1605500
2024-08-29,71.17,71.67,70.39,70.82,1876100
2024-08-30,70.82,71.61,70.06,70.55,1150300
2024-09-03,70.39,71.05,70.25,70.46,1741100
2024-09-04,70.46,70.58,69.13,69.45,1151700
2024-09-05,69.69,70.23,68.62,69.86,1249200
2024-09-06,70.18,70.5,68.8,68.81,2175000
2024-09-09,68.98,69.58,67.72,68.89,1586900
2024-09-10,68.51,69.02,67,67.55,3823200
2024-09-11,67.35,67.35,65.32,67.05,3377700
2024-09-12,67.28,68.21,66.83,68.17,1277900
2024-09-13,68.57,71.31,68.46,70.38,1339600
2024-09-16,70.88,71.41,68.89,69.87,1460400
2024-09-17,70.39,71.89,70.02,71.24,1742400
2024-09-18,71.01,72.65,70.57,72.46,1579200
2024-09-19,73.25,73.66,72.35,72.54,1887500
2024-09-20,72.31,72.38,71.14,71.15,2822300
2024-09-23,71.44,72.54,71.27,71.63,2979200
2024-09-24,71.84,72.22,70.51,70.7,761800
2024-09-25,70.88,70.88,69.15,69.83,1305000
2024-09-26,70.15,71.29,70.15,70.86,2460900
2024-09-27,71.42,73.62,71.21,73.22,2482500
2024-09-30,73.34,73.58,72.45,72.9,1380000
2024-10-01,72.39,72.82,70.98,71.94,987500
2024-10-02,71.46,71.83,70.82,71.21,1484200
2024-10-03,70.88,71.44,69.7,70.54,1172800
2024-10-04,71.45,71.45,70.17,70.56,692300
2024-10-07,70.19,70.69,69.2,69.3,918900
2024-10-08,69.34,70.25,68.86,69.99,581300
2024-10-09,70.23,71.13,70.03,70.51,666700
2024-10-10,70.38,70.51,69.7,70.04,684200
2024-10-11,70.26,71.01,70.13,70.53,2704200
2024-10-14,70.79,71.11,70.01,71.01,960200
2024-10-15,70.87,72.13,70.16,71.1,1631600
2024-10-16,71.25,72.45,70.73,71.75,964700
2024-10-17,71.63,72.21,71.11,71.67,721800
2024-10-18,71.56,72.51,70.81,72.39,688200
2024-10-21,72.19,72.53,71.37,71.59,735500
2024-10-22,71.4,71.6,70.26,71.19,578500
2024-10-23,70.98,71.23,69.63,70.22,1859100
2024-10-24,70.91,71.44,70.31,70.88,2199400
2024-10-25,70.99,71.2,69.65,70,742600
2024-10-28,70.3,71.28,70.3,71.11,757400
2024-10-29,70.6,71.58,70.07,70.38,1540900
2024-10-30,70.15,71.08,70.14,70.64,1797200
2024-10-31,70.74,71.15,70.15,70.23,1141700
2024-11-01,70.05,71.42,70.05,70.37,1742400
2024-11-04,71,72.48,70.45,72.33,2236600
2024-11-05,70.96,71,67.46,68.99,3563500
2024-11-06,71,71.35,69.42,70.01,3119700
2024-11-07,70.84,70.84,67.99,69.43,1949100
2024-11-08,69.2,69.38,67.91,68,871800
2024-11-11,68.31,69.05,67.99,68.29,1093000
2024-11-12,67.84,68.53,67.33,67.46,943800
2024-11-13,67.15,67.86,66.76,67.74,947800
2024-11-14,67.69,67.78,66.5,66.54,1480000
2024-11-15,66.54,68.8,66.17,68.76,2510300
2024-11-18,68.88,75.8,68.72,73.89,3564800
2024-11-19,73.69,76.84,73.25,74.84,3299600
2024-11-20,74.93,75.49,72.79,73.73,3170700
2024-11-21,73.6,73.97,71.98,73.77,1568400
2024-11-22,74,75.19,73.25,75.08,3384500
2024-11-25,75.99,77.6,75.99,76.84,2611400
2024-11-26,76.55,77.37,75.26,77.28,2207700
2024-11-27,77.64,78.97,76.86,77.66,832800
2024-11-29,77.72,77.99,77,77.05,608600
2024-12-02,76.94,77.19,76.03,76.5,1522900
2024-12-03,76.08,76.39,74.94,75.21,1449900
2024-12-04,74.33,75.21,73.93,74.49,947300
2024-12-05,74.49,74.65,71.94,72.49,1382400
2024-12-06,72.61,73.18,71.96,73,2086400
2024-12-09,73.03,76.12,72.37,74.98,1728300
2024-12-10,74.98,75.61,73.26,74.73,1184000
2024-12-11,75.41,78.35,74.73,76.85,1962500
2024-12-12,76.85,77.58,76.46,77.03,1838700
2024-12-13,77.22,77.23,75.71,76.6,1850700
2024-12-16,76.49,77.46,75.07,75.14,1619000
2024-12-17,75.25,75.45,73.13,73.18,1507200
2024-12-18,73.16,73.44,70.58,70.61,1777200
2024-12-19,70.15,70.61,68.47,68.95,1522400
2024-12-20,68.95,70.33,68.43,69.82,2761500
2024-12-23,69.59,70.75,69.46,70.06,1111900
2024-12-24,69.95,70.24,69.44,70.01,421000
2024-12-26,70,72.54,69.76,70.97,851500
2024-12-27,70.27,71.13,69.84,70.42,501200
2024-12-30,70.1,70.1,68.84,69.17,655300
2024-12-31,69.32,70.03,68.76,69.2,553500
