Date,Open,High,Low,Close,Volume
2014-01-02,73.58,73.74,72.42,72.63,329300
2014-01-03,72.62,73.35,72.62,73.12,173900
2014-01-06,73.41,73.68,72.47,72.67,297800
2014-01-07,72.78,73.29,72.33,73.03,220900
2014-01-08,73.03,73.3,72.52,73.13,286300
2014-01-09,73.44,73.94,72.96,73.34,192300
2014-01-10,73.33,73.85,73,73.84,213400
2014-01-13,73.34,73.94,72.27,72.62,358000
2014-01-14,72.85,73.81,72.36,73.77,291200
2014-01-15,73.99,74.47,73.86,74.35,303200
2014-01-16,74.16,74.53,73.34,73.73,482400
2014-01-17,73.6,73.92,73.23,73.44,380800
2014-01-21,73.93,74.01,73.06,73.64,400500
2014-01-22,73.6,73.83,73.09,73.75,246600
2014-01-23,73.47,73.47,72.31,72.89,518000
2014-01-24,72.48,72.82,69.54,69.6,774600
2014-01-27,69.7,70.03,68.63,69.23,555600
2014-01-28,69.42,69.89,69.24,69.52,506400
2014-01-29,69.02,70.21,69,69.08,671000
2014-01-30,71.73,79.27,68.58,72.52,996900
2014-01-31,72.66,73.54,71.99,72.01,662600
2014-02-03,72.01,72.48,69.24,69.49,1306300
2014-02-04,69.51,70.11,69,69.95,1110100
2014-02-05,69.57,69.86,68.69,69.15,365500
2014-02-06,69.44,70.55,69.24,70.12,326200
2014-02-07,70.51,71.2,70.09,70.65,586000
2014-02-10,70.8,70.93,69.91,70.52,536400
2014-02-11,70.61,71.72,70.61,71.45,377700
2014-02-12,71.43,72.45,71.35,72.39,397900
2014-02-13,71.89,72.81,71.47,72.73,398200
2014-02-14,72.75,73.04,72.64,72.9,330900
2014-02-18,72.76,73.74,72.27,73.63,407300
2014-02-19,73.59,74.24,72.88,72.95,216200
2014-02-20,73.06,73.74,72.68,73.27,382200
2014-02-21,73.48,74.15,73.12,73.48,292500
2014-02-24,73.26,74.23,73.26,73.56,428500
2014-02-25,73.81,74.68,73.48,73.81,319000
2014-02-26,74.15,74.99,73.51,74.56,386700
2014-02-27,74.41,74.88,74.23,74.84,179700
2014-02-28,75,76.02,74.62,75.07,317800
2014-03-03,74.02,74.65,73.52,74.14,365600
2014-03-04,75.17,75.54,75.04,75.31,334800
2014-03-05,75.34,75.55,74.9,75.35,315500
2014-03-06,75.35,75.55,75.18,75.31,204900
2014-03-07,75.55,75.55,74.97,75.53,203600
2014-03-10,75.42,75.42,74.39,74.81,186500
2014-03-11,75,75.17,74.03,74.23,228200
2014-03-12,73.98,74.2,73.48,73.91,274700
2014-03-13,74.2,74.38,72.6,72.8,344800
2014-03-14,72.78,73.6,72.77,73.04,307700
2014-03-17,73.52,74.55,73.52,73.93,304200
2014-03-18,73.94,74.57,73.63,73.81,420100
2014-03-19,73.75,74.12,72.77,73.23,258000
2014-03-20,73.04,73.51,72.58,73.45,299600
2014-03-21,73.5,74.64,73.35,73.53,543300
2014-03-24,73.77,74.21,72.11,72.21,419400
2014-03-25,72.53,73.23,72.22,72.55,484200
2014-03-26,73.09,73.18,71.16,71.24,372800
2014-03-27,71.35,71.82,70.81,71.23,577400
2014-03-28,71.34,72.14,71.21,71.47,522600
2014-03-31,71.69,73.05,71.69,72.89,574800
2014-04-01,73.2,73.77,72.93,73.64,542800
2014-04-02,73.77,74.32,73.43,73.97,347900
2014-04-03,74.12,74.14,73.2,73.75,402100
2014-04-04,74.49,74.56,72.67,72.93,374000
2014-04-07,72.83,73.09,70.82,70.87,726300
2014-04-08,70.82,71.19,70.51,71.07,607500
2014-04-09,71.3,72,70.76,71.72,883400
2014-04-10,71.77,71.93,70.52,70.53,473400
2014-04-11,70.34,70.65,69.36,69.66,399600
2014-04-14,70.46,70.49,69.17,69.49,468100
2014-04-15,69.97,70.7,69.6,70.24,1236100
2014-04-16,70.66,72.27,70.46,72.22,697100
2014-04-17,72.28,73.38,72.15,73.16,714100
2014-04-21,73.19,73.61,72.41,73.21,579900
