Date,Open,High,Low,Close,Volume
2012-01-03,3.116891,3.14622,3.072897,3.094227,8963773
2012-01-04,3.080896,3.083562,3.02757,3.02757,9047785
2012-01-05,3.019571,3.082229,3.00624,3.080896,7139514
2012-01-06,3.072897,3.098227,3.047567,3.059566,6099866
2012-01-09,3.054233,3.071564,3.018238,3.023571,6298644
2012-01-10,3.056899,3.072897,3.042235,3.051567,11862934
2012-01-11,3.042235,3.063565,3.032903,3.056899,9956164
2012-01-12,3.090228,3.107559,2.983576,2.986243,16089034
2012-01-13,2.958247,3.016905,2.958247,3.012906,17932796
2012-01-17,3.051567,3.096894,3.038235,3.083562,13557425
2012-01-18,3.087562,3.144887,3.083562,3.14222,12204233
2012-01-19,3.140887,3.199546,3.135555,3.16755,15494950
2012-01-20,3.159551,3.178215,3.136888,3.174216,16009523
2012-01-23,3.17155,3.231541,3.168883,3.183548,11020565
2012-01-24,3.159551,3.206211,3.148886,3.176882,11550890
2012-01-25,3.170216,3.259537,3.163551,3.254205,9281068
2012-01-26,3.276868,3.323528,3.275535,3.299531,14176263
2012-01-27,3.298198,3.303531,3.252871,3.284867,10460985
2012-01-30,3.252871,3.256871,3.210211,3.232874,11625151
2012-01-31,3.254205,3.279534,3.21821,3.274202,17953799
2012-02-01,3.296865,3.310197,3.274202,3.310197,11644653
2012-02-02,3.308863,3.314196,3.275535,3.296865,8701986
2012-02-03,3.330194,3.346192,3.294199,3.335526,13453160
2012-02-06,3.318195,3.336859,3.292866,3.312863,25218581
2012-02-07,3.295532,3.327527,3.288866,3.320862,18390361
2012-02-08,3.327527,3.399517,3.308863,3.396851,18226088
2012-02-09,3.387519,3.40085,3.347525,3.364856,14957874
2012-02-10,3.340859,3.371521,3.33286,3.342192,8074896
2012-02-13,3.366189,3.384853,3.344858,3.352857,8410944
2012-02-14,3.342192,3.342192,3.271535,3.287533,9074038
2012-02-15,3.287533,3.314196,3.26487,3.303531,12135223
2012-02-16,3.292866,3.33286,3.284867,3.326194,9902906
2012-02-17,3.343525,3.394185,3.339526,3.376854,13515419
2012-02-21,3.382186,3.395518,3.31153,3.328861,18863678
2012-02-22,3.327527,3.350191,3.256871,3.26087,12144224
2012-02-23,3.259537,3.316862,3.259537,3.316862,9563108
2012-02-24,3.330194,3.398184,3.314196,3.396851,10532995
2012-02-27,3.367522,3.412849,3.342192,3.388852,10038675
2012-02-28,3.399517,3.411516,3.306197,3.308863,12643045
2012-02-29,3.319529,3.338193,3.291533,3.31153,11202841
2012-03-01,3.304864,3.335526,3.259537,3.272869,14071248
2012-03-02,3.274202,3.300865,3.258204,3.278201,11712163
2012-03-05,3.278201,3.366189,3.268869,3.348858,9881903
2012-03-06,3.320862,3.376854,3.278201,3.282201,15147651
2012-03-07,3.300865,3.302198,3.248872,3.272869,9895405
2012-03-08,3.287533,3.294199,3.234207,3.242206,14468054
2012-03-09,3.244873,3.328861,3.244873,3.310197,9044034
2012-03-12,3.322195,3.386186,3.306197,3.375521,11672407
2012-03-13,3.462175,3.490171,3.411516,3.471507,15606716
2012-03-14,3.475506,3.492837,3.436845,3.456842,9322324
2012-03-15,3.455509,3.467508,3.432846,3.439512,12011455
2012-03-16,3.440845,3.467508,3.435512,3.462175,13096859
2012-03-19,3.459509,3.514168,3.442178,3.484838,6328649
2012-03-20,3.458176,3.499503,3.456842,3.470174,7297036
2012-03-21,3.47284,3.486172,3.44751,3.45151,5243995
2012-03-22,3.420848,3.431513,3.348858,3.37952,7137263
2012-03-23,3.380853,3.434179,3.375521,3.411516,7102758
2012-03-26,3.450177,3.458176,3.407516,3.440845,5159233
2012-03-27,3.448844,3.49817,3.436845,3.458176,8365188
2012-03-28,3.458176,3.458176,3.396851,3.424847,8362937
2012-03-29,3.402184,3.454176,3.378187,3.439512,8515209
2012-03-30,3.464841,3.524833,3.454176,3.520833,9662872
2012-04-02,3.506169,3.575492,3.492837,3.575492,10197698
2012-04-03,3.563494,3.580825,3.534165,3.554162,8280426
2012-04-04,3.516834,3.568827,3.508835,3.560828,9476095
2012-04-05,3.548829,3.56616,3.506169,3.511501,6319647
2012-04-09,3.466174,3.486172,3.448844,3.459509,7146265
2012-04-10,3.45151,3.467508,3.355524,3.371521,10544997
2012-04-11,3.411516,3.415515,3.37952,3.412849,5114976
2012-04-12,3.414182,3.491504,3.391518,3.487505,8642727
2012-04-13,3.466174,3.480839,3.436845,3.454176,7579076
2012-04-16,3.482172,3.532832,3.471507,3.507502,7494314
2012-04-17,3.535498,3.538164,3.49817,3.506169,8292427
2012-04-18,3.491504,3.507502,3.47284,3.47284,9781389
2012-04-19,3.479506,3.506169,3.448844,3.455509,20386394
2012-04-20,3.468841,3.508835,3.468841,3.492837,24496978
2012-04-23,3.463508,3.486172,3.448844,3.484838,13945230
2012-04-24,3.536831,3.592823,3.507502,3.584824,14328534
2012-04-25,3.618153,3.624819,3.583491,3.619486,9162551
2012-04-26,3.614153,3.635484,3.559495,3.623485,12155476
2012-04-27,3.627485,3.634151,3.590157,3.622152,8791998
2012-04-30,3.608821,3.624819,3.583491,3.619486,7560323
2012-05-01,3.626152,3.679478,3.61282,3.651481,11255348
2012-05-02,3.624819,3.628818,3.598156,3.611487,8527961
2012-05-03,3.61682,3.635484,3.600822,3.614153,12903332
2012-05-04,3.602155,3.654148,3.563494,3.620819,21770341
2012-05-07,3.608821,3.678144,3.608821,3.667479,6221383
2012-05-08,3.650148,3.672812,3.634151,3.646149,9786640
2012-05-09,3.590157,3.724804,3.586157,3.696808,14537814
2012-05-10,3.724804,3.730137,3.679478,3.702141,7640585
2012-05-11,3.623485,3.675478,3.599489,3.662147,48466631
2012-05-14,3.626152,3.686143,3.626152,3.628818,14907617
2012-05-15,3.639483,3.656814,3.598156,3.61682,11023565
2012-05-16,3.626152,3.626152,3.556828,3.559495,11866685
2012-05-17,3.548829,3.562161,3.442178,3.444844,12912333
2012-05-18,3.444844,3.488838,3.418181,3.432846,10147441
2012-05-21,3.448844,3.49817,3.427513,3.486172,9983167
2012-05-22,3.490171,3.539497,3.478173,3.499503,10788782
2012-05-23,3.479506,3.552829,3.44751,3.540831,12001704
2012-05-24,3.554162,3.571493,3.512835,3.56616,7557323
2012-05-25,3.572826,3.592823,3.546163,3.560828,9514351
2012-05-29,3.582158,3.668812,3.575492,3.646149,22125891
2012-05-30,3.610154,3.614153,3.572826,3.572826,13501167
2012-05-31,3.580825,3.635484,3.534165,3.608821,23738620
2012-06-01,3.531499,3.563494,3.487505,3.496837,15834748
2012-06-04,3.502169,3.506169,3.440845,3.464841,14358539
2012-06-05,3.44751,3.552829,3.442178,3.539497,8276675
2012-06-06,3.579492,3.618153,3.552829,3.61682,12079715
2012-06-07,3.654148,3.662147,3.584824,3.59149,14354038
2012-06-08,3.576825,3.628818,3.564827,3.622152,16329819
2012-06-11,3.655481,3.664813,3.554162,3.559495,10995811
2012-06-12,3.571493,3.614153,3.527499,3.61282,11622150
2012-06-13,3.599489,3.622152,3.543497,3.560828,10005671
2012-06-14,3.574159,3.656814,3.56616,3.642149,7245279
2012-06-15,3.655481,3.664813,3.618153,3.651481,11604148
2012-06-18,3.648815,3.718139,3.624819,3.690143,7681841
2012-06-19,3.707474,3.724804,3.674145,3.699475,7355544
2012-06-20,3.70614,3.728804,3.671479,3.702141,7991635
2012-06-21,3.632817,3.635484,3.543497,3.552829,96570211
2012-06-22,3.59149,3.599489,3.487505,3.543497,29954003
2012-06-25,3.503503,3.550163,3.488838,3.530165,14610574
2012-06-26,3.542164,3.559495,3.499503,3.532832,12166727
2012-06-27,3.54483,3.554162,3.506169,3.528832,10272709
2012-06-28,3.511501,3.559495,3.475506,3.556828,12133723
2012-06-29,3.61282,3.620819,3.583491,3.603488,19051955
2012-07-02,3.622152,3.648815,3.582158,3.646149,20625678
2012-07-03,3.654148,3.672812,3.631484,3.672812,10694268
2012-07-05,3.66348,3.68881,3.634151,3.648815,10639511
2012-07-06,3.610154,3.660813,3.604821,3.648815,11685909
2012-07-09,3.660813,3.682144,3.63815,3.682144,10602005
2012-07-10,3.696808,3.700808,3.603488,3.61682,11083574
2012-07-11,3.61282,3.644816,3.588824,3.624819,14486057
2012-07-12,3.61282,3.691476,3.592823,3.670146,14715589
2012-07-13,3.674145,3.740802,3.672812,3.736803,9531603
