Date,Open,High,Low,Close,Volume
2010-01-04,12.27,12.3,12.15,12.24,3355000
2010-01-05,12.21,12.49,12.21,12.47,3781300
2010-01-06,12.79,13.12,12.58,13.1,6810500
2010-01-07,13.1,13.42,13.01,13.33,5979200
2010-01-08,13.29,13.37,13.12,13.3,3999300
2010-01-11,13.29,13.4,13.04,13.12,2875700
2010-01-12,13.06,13.13,12.94,12.97,3315600
2010-01-13,13,13.41,12.96,13.31,3900600
2010-01-14,13.89,14.09,13.73,14.04,8703500
2010-01-15,14.08,14.08,13.76,13.89,5633700
2010-01-19,13.86,14.06,13.73,13.99,4694600
2010-01-20,13.86,13.92,13.65,13.9,4448900
2010-01-21,13.9,13.96,13.54,13.65,6339100
2010-01-22,13.96,14.02,13.74,13.77,5865600
2010-01-25,13.88,14.06,13.68,13.89,4363300
2010-01-26,13.83,14.11,13.73,13.98,4628700
2010-01-27,13.98,14.02,13.72,13.78,5437200
2010-01-28,13.77,13.92,13.68,13.79,5243100
2010-01-29,13.9,14,13.78,13.82,4792900
2010-02-01,13.83,13.99,13.79,13.99,3347400
2010-02-02,14,14.38,13.96,14.27,4978000
2010-02-03,14.17,14.37,14.11,14.35,2992000
2010-02-04,14.24,14.24,13.9,13.99,4597900
2010-02-05,14.82,15.25,14.53,14.65,15735700
2010-02-08,14.85,15.25,14.66,15.09,9906700
2010-02-09,15.16,15.53,15.12,15.41,6883200
2010-02-10,15.44,15.58,15.25,15.53,5977000
2010-02-11,15.46,16.05,15.35,15.96,7058800
2010-02-12,15.89,16.11,15.63,16.04,4939400
2010-02-16,16.09,16.58,15.96,16.44,5945800
2010-02-17,16.49,16.67,16.23,16.63,7272900
2010-02-18,16.54,16.9,16.49,16.9,4726300
2010-02-19,16.82,17.07,16.74,16.95,7229500
2010-02-22,16.79,16.84,16.55,16.64,6349500
2010-02-23,16.65,16.8,16.51,16.75,5381100
2010-02-24,16.76,16.89,16.61,16.67,5659400
2010-02-25,16.47,17.01,16.45,17,6548700
2010-02-26,16.97,17.07,16.85,17.04,4022300
2010-03-01,17.05,17.44,16.98,17.17,3946000
2010-03-02,17.24,17.46,17.18,17.45,6095700
2010-03-03,17.56,17.59,17.18,17.22,7858700
2010-03-04,17.26,17.55,17.1,17.5,5822200
2010-03-05,17.06,17.46,17.06,17.24,8337500
2010-03-08,17.27,17.63,17.1,17.62,4690200
2010-03-09,17.54,17.7,17.45,17.6,3938100
2010-03-10,17.47,17.65,17.42,17.51,4417100
2010-03-11,17.62,17.75,17.41,17.74,3268400
2010-03-12,17.84,17.9,17.47,17.54,3854900
2010-03-15,17.5,17.61,17.3,17.37,3314800
2010-03-16,17.36,17.68,17.29,17.66,2467300
2010-03-17,17.63,17.79,17.54,17.7,4056600
2010-03-18,17.7,17.76,17.58,17.65,3167500
2010-03-19,17.72,17.82,17.55,17.72,6623100
2010-03-22,17.65,18.11,17.57,18.11,7209700
2010-03-23,18.16,18.31,18.03,18.29,4459400
2010-03-24,18.43,18.53,18.36,18.44,8164500
2010-03-25,18.5,18.56,18.18,18.21,5439900
2010-03-26,18.25,18.74,18.15,18.7,6493400
2010-03-29,18.76,19.09,18.63,19.09,4500200
2010-03-30,19.09,19.24,19.01,19.17,4562800
2010-03-31,19.17,19.25,19,19.15,4105100
2010-04-01,19.23,19.55,19.09,19.5,6043000
2010-04-05,19.48,19.53,19.16,19.2,7586300
2010-04-06,19.11,19.21,18.94,18.98,7238000
2010-04-07,18.97,19.35,18.91,19.24,8916700
2010-04-08,19.33,19.59,19.14,19.48,5691000
2010-04-09,19.59,19.7,19.35,19.67,6190300
2010-04-12,19.77,20.1,19.71,20,6232900
2010-04-13,19.93,20.13,19.76,20.07,4919500
2010-04-14,20.03,20.31,19.99,20.27,4133600
2010-04-15,20.21,20.57,20.02,20.4,5264000
2010-04-16,20.36,20.41,19.78,19.88,4381000
2010-04-19,19.79,19.92,19.46,19.9,3846900
2010-04-20,19.98,20.17,19.9,20.07,3107700
2010-04-21,20.06,20.31,19.98,20.21,5023400
2010-04-22,20.09,20.35,19.92,20.32,3852000
2010-04-23,20.35,20.38,20,20.15,7881600
2010-04-26,20.11,20.51,20.05,20.4,4289500
2010-04-27,20.39,20.39,19.54,19.57,5435900
2010-04-28,19.74,19.91,19.32,19.69,4969800
2010-04-29,19.77,19.96,19.67,19.88,3607900
2010-04-30,19.82,19.94,19.59,19.59,4090600
2010-05-03,19.86,20.07,19.4,19.9,4226400
2010-05-04,19.61,19.8,19.37,19.52,3357200
2010-05-05,19.31,19.79,19.18,19.43,5950600
2010-05-06,19.44,19.48,16.88,18.58,8313400
2010-05-07,18.7,18.97,18.21,18.62,9178000
2010-05-10,19.57,20.04,18.05,18.24,9614900
2010-05-11,17.64,18.13,17.48,18.02,10350200
2010-05-12,18.09,18.41,18.03,18.13,7834600
2010-05-13,18.14,18.42,17.98,18.13,6627300
2010-05-14,18,18.24,17.45,17.7,7256400
2010-05-17,17.76,17.91,17.38,17.64,5414300
2010-05-18,17.86,18.03,17.64,17.81,9384500
2010-05-19,17.74,18.01,17.47,17.8,10090300
2010-05-20,17.63,17.63,16.94,16.97,8738200
2010-05-21,16.71,17.19,16.56,17.08,5104700
2010-05-24,17.05,17.2,16.87,16.98,6442500
2010-05-25,16.57,17.11,16.5,17.03,10255100
2010-05-26,17.14,17.22,16.66,16.73,7968300
2010-05-27,16.97,17.79,16.91,17.78,6465500
2010-05-28,17.8,17.81,17.56,17.58,6540200
2010-06-01,17.42,17.51,17.01,17.02,5721600
2010-06-02,17.04,17.52,17.03,17.51,4872000
2010-06-03,17.65,18.11,17.48,18.1,5434900
2010-06-04,17.7,17.92,17.41,17.5,5860600
2010-06-07,17.47,17.83,17.35,17.52,7354300
2010-06-08,17.51,17.71,17.16,17.58,6374900
2010-06-09,17.63,17.88,17.45,17.65,6421200
2010-06-10,17.89,18.25,17.82,18.13,5844400
2010-06-11,17.94,18.59,17.83,18.57,5749600
2010-06-14,18.65,18.69,18.21,18.42,4969400
2010-06-15,18.57,18.7,18.2,18.68,4104400
2010-06-16,18.47,18.52,18.25,18.4,5441900
2010-06-17,18.41,18.57,18.13,18.39,4982400
2010-06-18,18.39,18.5,18.25,18.32,3186600
2010-06-21,18.53,18.63,18.03,18.12,3750200
2010-06-22,18.09,18.25,17.66,17.7,5453600
2010-06-23,17.59,17.78,17.36,17.71,4694500
2010-06-24,17.63,18.08,17.34,17.87,6790600
2010-06-25,17.87,18.04,17.25,17.3,6454500
2010-06-28,17.26,17.53,17.18,17.25,3558300
2010-06-29,17,17.23,16.69,16.75,5301100
2010-06-30,16.77,16.88,16.35,16.39,7474600
2010-07-01,16.31,16.42,16.01,16.25,5799400
2010-07-02,16.3,16.55,16.19,16.43,3190400
2010-07-06,16.66,16.87,16.36,16.53,4752500
2010-07-07,16.51,16.95,16.51,16.9,6285100
2010-07-08,17.17,17.3,17.07,17.2,4854100
2010-07-09,17.16,17.61,17.05,17.54,4462300
2010-07-12,17.53,17.65,17.44,17.54,6134400
2010-07-13,17.71,17.95,17.64,17.74,4352800
2010-07-14,17.74,17.98,17.46,17.84,4041600
