Date,Open,High,Low,Close,Volume
2021-01-04,38.87,39.2,38.09,38.35,3693700
2021-01-05,38.28,39.05,38.22,38.82,2647700
2021-01-06,39.32,41.51,38.99,41.07,4991400
2021-01-07,41.65,42.49,41.38,41.8,3986200
2021-01-08,42.52,43.33,42.17,43.25,4667300
2021-01-11,42.64,43.76,42.455,43.62,3624100
2021-01-12,43.5,44.85,43.08,44.58,4517800
2021-01-13,44.48,44.96,43.46,44.13,2634700
2021-01-14,44.31,44.74,44.06,44.21,2113100
2021-01-15,43.88,43.99,43.05,43.75,3792200
2021-01-19,43.7,43.81,42.9,43.53,2507900
2021-01-20,43.88,43.9,43.29,43.66,2660900
2021-01-21,43.79,44.36,41.33,41.65,6190400
2021-01-22,41.28,42.28,41.05,42.06,5239000
2021-01-25,41.66,41.85,40.09,41.3,4729600
2021-01-26,41.59,41.83,39.47,39.48,3252100
2021-01-27,38.83,38.87,36.54,38.69,5413500
2021-01-28,39.25,40.63,39.14,40.29,4019100
2021-01-29,39.93,40.39,39.38,39.86,3686800
2021-02-01,40.14,41.09,39.86,40.71,2761800
2021-02-02,41.28,41.86,41.08,41.49,2451400
2021-02-03,41.53,42.14,41.223,41.86,2668700
2021-02-04,41.85,43.33,41.2,42.66,3403300
2021-02-05,44.68,44.93,43.75,43.9,3533300
2021-02-08,43.94,44.14,43.3,43.61,2719500
2021-02-09,43.67,43.98,43.21,43.43,4515600
2021-02-10,43.46,43.55,42.24,43.04,3234700
2021-02-11,42.96,43.8,42.88,43.54,3030100
2021-02-12,43.55,44.455,43.525,44.37,1973600
2021-02-16,44.32,45.355,44.31,45.28,2532300
2021-02-17,45,45.175,44.22,44.98,1877600
2021-02-18,44.91,45.08,43.44,44.2,3106400
2021-02-19,44.36,45.86,44.3,45.47,3558400
2021-02-22,45.58,46.76,45.11,46.68,4308400
2021-02-23,46.51,46.895,45.88,46.43,6306000
2021-02-24,46.49,47.15,46.32,46.41,3217000
2021-02-25,46.66,46.66,45.03,45.36,2920500
2021-02-26,45.22,45.78,44.37,45.15,4889100
2021-03-01,45.82,46.74,45.76,46.27,2553400
2021-03-02,46.33,46.81,45.72,45.78,2935800
2021-03-03,45.56,45.96,45.1,45.34,2842400
2021-03-04,45.09,45.34,43.07,43.85,3530300
2021-03-05,44.35,45.015,42.9,44.84,2853600
2021-03-08,45.34,46.31,44.86,44.9,3485300
2021-03-09,45.03,45.46,44.56,44.71,3973900
2021-03-10,45.02,47.14,44.9,47,3388500
2021-03-11,47.25,47.67,46.75,46.86,2487700
2021-03-12,47,47.09,46.23,46.9,2176700
2021-03-15,46.86,46.9,45.55,46.83,2993300
2021-03-16,46.83,46.88,45.862,46.17,2300400
2021-03-17,46.2,47.3,46.185,47.26,2711100
2021-03-18,47.25,47.98,46.615,46.96,3180700
2021-03-19,46.73,47.67,46.07,47.07,9286600
2021-03-22,47.6,47.96,46.85,47.3,3358900
2021-03-23,46.69,47,45.57,45.85,4287200
2021-03-24,46.17,46.81,45.99,46.19,3425200
2021-03-25,45.93,47.11,45.6,46.78,3739800
2021-03-26,47.35,48.05,46.91,47.91,3358500
2021-03-29,47.78,48.48,47.52,47.77,4063200
2021-03-30,47.58,47.89,46.74,46.94,2573000
