Date,Open,High,Low,Close,Volume
2023-01-03,16.43,16.65,15.9,16.03,3897500
2023-01-04,15.82,16.66,15.77,16.36,1920900
2023-01-05,16.1,16.36,15.74,15.76,3320000
2023-01-06,15.77,16.19,15.56,16.17,2784700
2023-01-09,16.6,16.6,16.18,16.21,2225000
2023-01-10,15.96,16.4,15.79,16.23,3244000
2023-01-11,16.49,16.53,15.94,16.26,2752400
2023-01-12,16.53,16.77,16.36,16.68,2178700
2023-01-13,16.49,16.9,16.44,16.71,2776600
2023-01-17,16.91,16.96,16.42,16.66,2930700
2023-01-18,16.57,16.86,16.05,16.06,2589600
2023-01-19,16.05,16.27,15.84,16.17,2067600
2023-01-20,16.34,16.56,16.02,16.54,2254900
2023-01-23,16.76,16.78,16.44,16.56,2157800
2023-01-24,16.36,16.43,15.98,15.99,3183600
2023-01-25,15.7,15.91,15.51,15.76,3413700
2023-01-26,15.75,16.24,15.12,16.22,7077300
2023-01-27,16.22,16.7,16.11,16.53,6954900
2023-01-30,16.27,16.72,16.25,16.53,5763300
2023-01-31,16.56,16.74,16.4,16.73,3303900
2023-02-01,16.52,16.62,15.85,16.25,3394500
2023-02-02,16.25,17.01,16.1,16.37,3379100
2023-02-03,16.4,16.57,16.16,16.28,2455900
2023-02-06,16.22,16.4,15.64,15.69,3225400
2023-02-07,15.7,16.18,15.6,16.18,2474900
2023-02-08,16,16.15,15.67,15.91,2627600
2023-02-09,15.92,16.4,15.84,16.13,2835700
2023-02-10,16.27,16.5,16.06,16.37,2149600
2023-02-13,16.17,16.38,15.96,16.17,2138300
2023-02-14,16.15,16.36,15.98,16.14,1441600
2023-02-15,15.9,16.11,15.78,16.05,3065900
2023-02-16,15.91,16.84,15.89,16.45,6031300
2023-02-17,16.33,16.34,15.45,15.71,5350100
2023-02-21,15.53,15.63,14.77,14.78,4721600
2023-02-22,14.8,15.31,14.71,15.02,4599000
2023-02-23,15.36,15.75,15.06,15.2,3423000
2023-02-24,15.23,15.77,15.15,15.69,3173800
2023-02-27,15.82,15.92,15.37,15.41,2583700
2023-02-28,15.56,15.77,15.32,15.35,3113300
2023-03-01,15.18,15.56,15.12,15.22,3975900
2023-03-02,15.33,15.99,15.19,15.98,2753500
2023-03-03,15.84,16.52,15.79,16.32,3450200
2023-03-06,15.86,16.15,15.85,16.07,2961900
2023-03-07,16.07,16.13,15.8,15.92,1983000
2023-03-08,15.89,16.16,15.61,15.87,2396400
2023-03-09,16.01,16.14,15.26,15.31,3386700
2023-03-10,15.15,15.56,15,15.14,3013200
2023-03-13,14.85,15.65,14.8,15.19,4593100
2023-03-14,15.25,15.65,15.12,15.36,3021900
2023-03-15,14.81,15.13,14.47,14.82,5108100
2023-03-16,14.56,15.06,14.52,15.04,3657700
2023-03-17,14.98,15.06,14.64,14.92,10047400
2023-03-20,15.16,15.72,15.08,15.53,4126300
2023-03-21,15.76,15.94,15.56,15.83,2675500
2023-03-22,15.76,15.85,15.21,15.22,4147200
2023-03-23,15.31,15.65,15.05,15.24,2275400
2023-03-24,15,15.86,14.95,15.74,2324300
2023-03-27,15.75,15.93,15.47,15.87,2334800
2023-03-28,15.77,16.06,15.68,15.81,2161500
2023-03-29,16.01,16.01,15.72,15.85,2022500
2023-03-30,16,16,15.61,15.65,1875600
2023-03-31,15.8,16.04,15.7,16.02,2906700
2023-04-03,16.26,16.51,15.98,16.23,2708200
2023-04-04,16.29,16.46,16.02,16.21,2252300
2023-04-05,16.29,16.41,16.13,16.34,1993200
2023-04-06,16.3,16.41,15.96,15.96,1903000
2023-04-10,16.2,16.54,16.2,16.48,2251300
2023-04-11,16.59,16.73,16.28,16.67,2713100
2023-04-12,16.75,16.77,16.38,16.6,2328900
2023-04-13,16.59,16.76,16.49,16.75,2777900
2023-04-14,16.74,16.8,16.41,16.57,2338200
2023-04-17,16.76,16.87,16.16,16.29,3259700
2023-04-18,16.21,16.29,15.89,16.12,2852500
2023-04-19,15.81,16.01,15.71,16,2051800
2023-04-20,15.88,15.92,15.39,15.5,2938300
2023-04-21,15.57,15.73,15.42,15.59,2371900
2023-04-24,15.55,15.76,15.45,15.68,2375600
2023-04-25,15.51,15.56,15.19,15.35,2969000
2023-04-26,15.14,15.37,14.98,15.08,2909100
2023-04-27,15.3,15.56,14.36,15.48,6264800
2023-04-28,15.57,16.09,15.49,15.53,4448400
2023-05-01,15.34,15.59,15.19,15.39,2929800
2023-05-02,15.16,15.32,14.7,14.83,4808100
2023-05-03,14.61,14.91,14.49,14.56,2919200
2023-05-04,14.51,14.83,14.42,14.63,2485000
2023-05-05,15,15.44,14.97,15.21,3112300
2023-05-08,15.51,15.61,15.25,15.31,1748800
2023-05-09,15.26,15.78,15.2,15.56,2845300
2023-05-10,15.68,15.68,15.25,15.51,2087700
2023-05-11,15.43,15.58,15.3,15.41,1661400
2023-05-12,15.56,15.67,15.35,15.52,2673300
2023-05-15,15.75,16.12,15.69,15.99,3027200
2023-05-16,15.94,16.19,15.48,15.51,2420000
2023-05-17,15.66,15.66,15.27,15.5,2125800
2023-05-18,15.35,16.06,15.34,16.02,4559200
2023-05-19,16.27,16.3,15.76,15.92,2936500
2023-05-22,15.75,16.24,15.58,16.08,3002600
2023-05-23,16.09,16.33,16.02,16.15,2266200
2023-05-24,16.27,16.36,16.06,16.19,2607700
2023-05-25,15.94,16.11,15.71,15.86,2911500
2023-05-26,15.84,15.84,15.36,15.47,3371700
2023-05-30,15.24,15.37,15.08,15.27,3887400
2023-05-31,15.19,15.54,15.17,15.45,3240400
2023-06-01,15.84,15.92,15.5,15.69,2762900
2023-06-02,15.87,16.25,15.78,16.14,2500600
2023-06-05,16.37,16.4,15.72,15.85,3305100
2023-06-06,15.72,16.25,15.72,16.19,1982500
2023-06-07,16.35,16.88,16.3,16.75,3090400
2023-06-08,16.75,16.95,16.55,16.94,3170200
2023-06-09,16.9,17.09,16.75,16.86,2415900
2023-06-12,16.63,16.8,16.5,16.74,3732700
2023-06-13,16.93,17.33,16.91,17.27,4099300
2023-06-14,17.42,17.47,16.78,16.98,2097700
2023-06-15,17.07,17.44,17.06,17.25,2781400
2023-06-16,17.47,17.47,17.09,17.35,5630900
2023-06-20,17.41,17.5,17.12,17.16,3032700
2023-06-21,17.21,17.25,16.99,17.09,2606800
2023-06-22,16.89,17.07,16.79,16.96,2269400
2023-06-23,16.7,16.93,16.62,16.7,3461600
2023-06-26,16.8,17.2,16.73,17.01,1551900
2023-06-27,16.91,17.32,16.79,17.25,1808800
2023-06-28,17.27,17.41,17.1,17.33,2087600
2023-06-29,17.45,17.88,17.38,17.81,2046200
2023-06-30,17.91,18.02,17.67,17.72,1612000
2023-07-03,17.69,18,17.63,17.81,746400
2023-07-05,17.83,17.87,17.69,17.77,1656100
2023-07-06,17.63,17.82,17.27,17.52,1857100
2023-07-07,17.49,17.95,17.49,17.64,1865600
2023-07-10,17.64,17.9,17.61,17.88,1326200
2023-07-11,17.86,18.08,17.68,18,2203700
2023-07-12,18.13,18.14,17.95,17.98,1741900
2023-07-13,17.95,18.32,17.89,17.89,3432300
2023-07-14,17.93,17.93,17.55,17.55,2342300
2023-07-17,17.48,17.95,17.45,17.83,2005300
2023-07-18,17.86,18.47,17.83,18.14,2653700
2023-07-19,18.2,18.52,18.15,18.33,2924800
2023-07-20,18.52,18.54,18.31,18.39,1853200
2023-07-21,18.48,18.6,18.36,18.46,1937100
2023-07-24,18.48,18.8,18.39,18.43,3165900
2023-07-25,18.4,18.67,18.27,18.33,3790700
2023-07-26,18.17,18.86,18.17,18.53,2457500
2023-07-27,19.29,19.75,18.42,18.77,4214100
2023-07-28,19.05,20.29,18.95,19.93,8345300
2023-07-31,20.01,20.4,19.87,20.4,8489600
2023-08-01,20.13,20.49,19.83,20.49,4591400
2023-08-02,20.4,20.51,19.81,20.09,3649900
2023-08-03,20.33,21.12,20.23,20.93,2971600
2023-08-04,20.97,21.34,20.82,21.09,4881700
2023-08-07,21.21,21.46,21.03,21.1,3140700
2023-08-08,20.82,21.44,20.75,21.4,2804800
2023-08-09,21.78,21.96,21.31,21.52,3838100
2023-08-10,21.4,21.58,21.06,21.24,3508300
2023-08-11,21.15,21.69,21.14,21.58,2432300
2023-08-14,21.58,21.7,21.4,21.64,2043100
2023-08-15,21.4,21.88,21.35,21.75,3091100
2023-08-16,21.8,22.1,21.8,21.88,2996800
2023-08-17,22.14,22.5,22.06,22.26,2737300
2023-08-18,22.03,22.6,22.03,22.44,2964600
2023-08-21,22.66,22.7,22.04,22.27,2693500
2023-08-22,22.2,22.29,21.95,21.98,2469700
2023-08-23,21.78,21.89,21.63,21.74,2112400
2023-08-24,21.65,22.01,21.53,21.54,3623100
2023-08-25,21.73,21.82,21.39,21.76,4097500
2023-08-28,22,22.1,21.67,21.76,1931700
2023-08-29,21.76,21.9,21.44,21.9,2264500
2023-08-30,21.92,22.32,21.85,22.21,1926300
2023-08-31,22.17,22.47,21.97,22.35,2393000
2023-09-01,22.51,22.84,22.34,22.67,1820800
2023-09-05,22.66,22.74,22.07,22.22,3212700
2023-09-06,22.18,22.44,22.07,22.2,2600000
2023-09-07,22.32,22.54,22.19,22.34,2821400
2023-09-08,22.42,22.66,22.36,22.45,868800
2023-09-11,22.55,22.65,22.15,22.28,2109600
2023-09-12,22.53,22.97,22.4,22.79,2453900
2023-09-13,22.8,22.81,22.42,22.53,1928700
2023-09-14,22.73,22.84,21.89,22.16,3410500
2023-09-15,22.01,22.15,21.57,21.71,5398200
2023-09-18,22,22,21.66,21.81,1622800
2023-09-19,22,22.14,21.78,21.87,1633800
2023-09-20,22.13,22.28,21.77,21.8,2386700
2023-09-21,21.82,21.83,21.3,21.3,1959300
2023-09-22,21.43,21.77,21.34,21.35,2179600
2023-09-25,21.3,22.05,21.28,21.97,1884400
2023-09-26,21.71,22.16,21.55,21.92,1958500
2023-09-27,22.23,22.72,22.2,22.5,1995900
2023-09-28,22.47,23.03,22.46,22.82,2566100
2023-09-29,22.73,22.87,22.51,22.58,2232500
2023-10-02,22.65,22.77,21.8,22.01,2299000
2023-10-03,21.94,22.19,21.67,21.9,2037600
2023-10-04,21.56,21.72,21,21.2,2355300
2023-10-05,21.1,21.84,21.1,21.76,2999900
2023-10-06,21.89,22.44,21.83,22.18,2573100
2023-10-09,22.56,22.86,22.38,22.7,2591800
2023-10-10,22.67,22.9,22.52,22.62,2256000
2023-10-11,22.31,22.8,22.24,22.71,2483800
2023-10-12,22.82,23.1,22.65,23.08,2988900
2023-10-13,23.25,23.51,23.01,23.17,2454400
2023-10-16,23.15,23.29,22.89,23.12,1825200
2023-10-17,23.09,23.59,23.09,23.53,3929800
2023-10-18,23.65,23.68,23.18,23.26,1344700
2023-10-19,23.1,23.4,22.9,23.11,2197300
2023-10-20,23.06,23.14,22.76,22.78,2463300
2023-10-23,22.67,23.04,22.45,22.73,2438900
2023-10-24,22.74,22.91,22.63,22.69,2487000
2023-10-25,21.86,22.37,21.41,22.02,4414900
2023-10-26,21.83,22.13,21.52,21.94,3286900
2023-10-27,21.87,22,21.14,21.2,3531000
2023-10-30,21.18,21.39,20.96,21.29,2068000
2023-10-31,21.45,21.8,21.25,21.72,1607600
2023-11-01,21.56,21.99,21.32,21.85,1681400
2023-11-02,21.76,22.27,21.65,22.26,2386700
2023-11-03,22.32,22.59,22.27,22.35,2521400
2023-11-06,22.25,22.4,21.43,21.58,3603900
2023-11-07,21.33,21.44,21.21,21.35,3403600
2023-11-08,21.27,21.48,20.64,20.84,3685000
2023-11-09,20.92,21.31,20.84,20.89,2435400
2023-11-10,21.03,21.23,20.69,20.91,2187200
2023-11-13,21.11,21.12,20.75,20.87,2273300
2023-11-14,20.94,21.38,20.83,21.27,2826300
2023-11-15,21.25,21.82,21.25,21.63,2235500
2023-11-16,21.32,21.51,20.57,21.16,3307800
2023-11-17,21.27,21.65,21.21,21.39,3636200
2023-11-20,21.5,21.73,21.3,21.43,2056400
2023-11-21,21.35,21.63,21.13,21.38,1608000
2023-11-22,21.07,21.54,20.95,21.23,2005900
2023-11-24,21.12,21.45,21.1,21.21,853200
2023-11-27,21.04,21.32,20.95,21.32,5273600
2023-11-28,21.28,21.33,20.8,20.85,2415400
2023-11-29,20.9,21.1,20.6,20.6,2395600
2023-11-30,20.79,21.21,20.66,20.86,2400700
2023-12-01,20.75,21.15,20.7,21.07,1613500
2023-12-04,21.2,21.32,20.81,20.9,3892800
2023-12-05,20.99,21.06,20.26,20.34,2341700
2023-12-06,20.16,20.38,19.75,19.75,2997100
2023-12-07,19.76,19.96,19.68,19.86,2878900
2023-12-08,20.01,20.15,19.76,20.05,2139200
2023-12-11,19.81,20.04,19.7,19.83,2175500
2023-12-12,19.46,19.77,19.34,19.43,2189400
2023-12-13,19.54,20.01,19.49,19.96,6249800
2023-12-14,20.16,20.33,19.97,20.21,3074300
2023-12-15,20.23,20.26,19.91,20,4363000
2023-12-18,20.39,20.39,19.66,19.79,3733000
2023-12-19,19.7,20.21,19.58,20.14,2203800
2023-12-20,20.18,20.38,19.95,19.97,2942800
2023-12-21,20.04,20.47,20.02,20.46,2698700
2023-12-22,20.59,20.65,20.39,20.48,1700900
2023-12-26,20.54,20.79,20.42,20.55,1516400
2023-12-27,20.67,20.68,20.27,20.35,1718700
2023-12-28,20.32,20.53,20.2,20.26,1744100
2023-12-29,20.24,20.32,20,20,2028400
