Date,Open,High,Low,Close,Volume
2007-01-03,40.11,40.83,40.11,40.61,1377400
2007-01-04,40.5,40.6,40.26,40.48,943100
2007-01-05,40.45,40.55,39.99,40.34,1005000
2007-01-08,40.28,40.76,40.13,40.68,753000
2007-01-09,40.72,41.03,40.59,40.98,715200
2007-01-10,40.85,41.35,40.57,41.32,752400
2007-01-11,41.33,41.48,41.2,41.42,860300
2007-01-12,41.37,41.49,41.13,41.29,560900
2007-01-16,41.17,41.36,41.06,41.31,791700
2007-01-17,41.3,41.55,41.19,41.55,1033500
2007-01-18,41.73,41.75,41.33,41.51,642600
2007-01-19,41.53,41.64,41.39,41.6,569500
2007-01-22,41.5,41.6,41.27,41.51,651400
2007-01-23,41.48,41.56,41.33,41.55,808000
2007-01-24,41.65,42.58,41.62,42.57,1143000
2007-01-25,42.45,42.57,41.89,42,1306300
2007-01-26,42,42.1,41.81,42,882900
2007-01-29,42,42,41.58,41.7,1181200
2007-01-30,41.93,42.36,41.68,42.16,1679100
2007-01-31,42.1,42.6,41.95,42.52,676500
2007-02-01,42.53,42.69,42.42,42.54,674200
2007-02-02,42.56,43.15,42.42,43.03,994900
2007-02-05,42.9,43.16,42.73,43.15,1060900
2007-02-06,43.25,43.29,42.72,43.23,641700
2007-02-07,43.8,45.8,43.1,45.2,2380800
2007-02-08,45.05,45.29,44.8,45.02,1249200
2007-02-09,45.02,45.75,44.98,45.4,1661000
2007-02-12,45.5,45.68,44.92,45.14,1521000
2007-02-13,45.3,45.4,44.99,45.22,822500
2007-02-14,45.4,47,45.35,46.75,2522100
2007-02-15,46.73,47.25,46.45,47,1142700
2007-02-16,47,47.63,46.89,47.55,1864000
2007-02-20,47.6,47.75,47.27,47.55,1186200
2007-02-21,47.32,47.38,46.87,46.97,1021700
2007-02-22,47.15,47.3,46.65,47,659300
2007-02-23,46.98,47.18,46.82,47.04,472800
2007-02-26,47.29,47.32,46.53,46.79,505800
2007-02-27,46.55,46.61,45.08,45.29,1132500
2007-02-28,45.29,45.99,45.24,45.92,1970200
2007-03-01,45.5,46.63,44.76,46.29,1828100
2007-03-02,46.05,46.23,45.26,45.36,1151600
2007-03-05,44.55,45.33,44.29,44.51,1023200
2007-03-06,44.7,45.96,44.63,45.94,1472100
2007-03-07,45.9,45.9,45.25,45.5,1059600
2007-03-08,45.93,46,45.41,45.55,743000
2007-03-09,45.75,45.88,44.95,45.3,749100
2007-03-12,45.25,45.7,44.93,45.54,486500
2007-03-13,45.29,45.29,44.28,44.32,1624500
2007-03-14,44.57,44.57,43.31,44.13,1687000
2007-03-15,44.02,44.38,43.97,44.08,994400
2007-03-16,44,44.18,43.55,43.58,1210000
2007-03-19,43.83,44.11,43.61,43.81,1570300
2007-03-20,43.85,44.07,43.74,43.8,832500
2007-03-21,43.95,44.3,43.78,44.18,1173200
2007-03-22,44.2,44.4,43.85,44.04,1253700
2007-03-23,43.96,44.25,43.85,43.89,627600
2007-03-26,43.98,44.55,43.51,44.55,918400
2007-03-27,44.34,46.6,44.34,45.81,2760600
2007-03-28,45.81,46.6,45.13,45.63,1606300
2007-03-29,44.8,45.88,44.8,45.5,884700
2007-03-30,45.4,45.6,44.85,45.46,1033200
2007-04-02,46.5,47.57,45.64,47.35,1859900
2007-04-03,47.4,47.95,47.25,47.46,1030500
