Date,Open,High,Low,Close,Volume
2009-03-20,51.78,51.81,48.77,49.51,1001200
2009-03-23,50.2,53.22,50,53.22,1151800
2009-03-24,51.87,54.5,51.87,54.02,778400
2009-03-25,52.9,57.44,52.9,56.27,1312800
2009-03-26,55,57.7,55,57.68,1018100
2009-03-27,56.14,58.04,55.32,57.15,622100
2009-03-30,56.32,56.32,54.77,55.67,642300
2009-03-31,56.01,57.92,55.6,56.15,738700
2009-04-01,55.77,57.75,55.05,57.62,943800
2009-04-02,58.2,62.31,58.2,61.82,1378300
2009-04-03,62.32,64.32,61.18,63.63,1220800
2009-04-06,62.85,63.01,60.34,61.61,959300
2009-04-07,60.35,60.71,59.05,59.22,1189000
2009-04-08,60.2,62.26,59,62.14,949800
2009-04-09,63,64.25,62.99,63.79,802400
2009-04-13,63.03,64,62.63,63.35,706900
2009-04-14,62.67,63.61,60.81,61.94,730100
2009-04-15,61.06,62.17,59.78,60.58,754200
2009-04-16,62,64.42,61.32,63.9,774000
2009-04-17,63.9,66.2,63.52,65.48,1089200
2009-04-20,63.91,64.81,60.77,61.12,738500
2009-04-21,60.72,62.91,60.2,62.45,897700
2009-04-22,62,64.81,61.16,62.26,1258700
2009-04-23,62.32,67.28,61.4,66.35,2302900
2009-04-24,67.65,69.86,66.74,68.72,1625100
2009-04-27,68.35,69.84,66.66,68.52,1122900
2009-04-28,66.73,69.45,66.63,68.21,718900
2009-04-29,69.43,71.66,69.09,70.39,1024500
2009-04-30,71.8,72.56,68.47,70.23,1069400
2009-05-01,69.54,71.8,69.05,71.36,763200
2009-05-04,71.98,75.62,71.89,75.38,1029500
2009-05-05,75.31,76.15,72.68,74.15,1008100
2009-05-06,72.72,73.31,69.63,70.05,1914700
2009-05-07,70.25,70.79,65.55,66.17,1857900
2009-05-08,67.88,68.61,65.76,68.58,918700
2009-05-11,66.93,68.31,66.19,67.6,728300
2009-05-12,67.6,68.49,65.3,66.34,874200
2009-05-13,65.25,66.35,64.72,64.8,654000
2009-05-14,65.05,66.11,63.92,65.64,902700
2009-05-15,64.95,66,63.69,64.03,887000
2009-05-18,65.25,68.43,64.43,68.36,1096100
2009-05-19,67.61,69.49,67.31,69,909800
2009-05-20,68.86,72.5,68.86,70.08,1353000
2009-05-21,69.53,69.53,67.27,68.19,667600
2009-05-22,71.74,72.01,69.73,70.02,1117500
2009-05-26,68.89,71.98,68.89,71.71,681000
2009-05-27,71.53,73.76,70.34,71.93,589400
2009-05-28,72.27,74.2,71.72,73.98,846700
2009-05-29,73.42,74.64,72.3,74.4,1258500
2009-06-01,73.72,76.78,73.72,76.49,891600
2009-06-02,74.53,77.95,74.32,77.71,1039400
2009-06-03,76.99,77.61,74.72,75.56,924400
2009-06-04,76.57,76.83,74.76,75.91,753800
2009-06-05,76.94,77.45,75.34,75.91,822800
2009-06-08,71.73,72.48,70.73,71.76,2021700
2009-06-09,71.65,73.26,70.19,72.5,3434400
2009-06-10,71.91,73.56,70.86,72.11,1194700
2009-06-11,72.64,73.57,71.93,73.09,643900
2009-06-12,71.92,72.85,70.19,71.6,917300
2009-06-15,70.54,71.27,69.54,69.92,755300
2009-06-16,70.27,70.47,68,68.79,654400
2009-06-17,68.45,70.1,66.82,69.19,859500
2009-06-18,69.54,70.89,68.81,70.45,662500
2009-06-19,71.46,72.35,71.08,72.1,750100
2009-06-22,71.72,72.66,68.79,69.08,953600
2009-06-23,69.24,69.62,67.6,68.1,1072500
2009-06-24,69.25,69.9,68.32,68.93,924100
2009-06-25,69.1,70.33,68.61,69.8,1357400
2009-06-26,69.81,70.89,69.13,70.7,1277200
2009-06-29,70.29,71.63,68.75,69.08,1107900
2009-06-30,69.7,73.47,69.49,72.74,6282300
2009-07-01,73.01,74.14,72.71,72.71,1291100
2009-07-02,71.86,72.06,70.95,71.43,947300
2009-07-06,71,71.31,69.19,71.02,779000
2009-07-07,70.6,70.76,68.37,68.65,1136200
2009-07-08,68.6,68.91,63.69,67.19,3484100
2009-07-09,67.32,67.96,65.71,67.24,1538200
2009-07-10,66.96,68,66.63,67.53,636200
2009-07-13,67.73,68.79,66.45,68.75,783700
2009-07-14,68.73,70.73,67.98,70.55,883400
2009-07-15,71.7,73.59,71.7,73.28,1098600
2009-07-16,72.84,74.94,72.57,74.32,611300
2009-07-17,74.63,74.88,73.24,74.16,596600
2009-07-20,74.44,76.79,74.03,76.43,978800
2009-07-21,76.89,77.79,74.93,76.63,853100
2009-07-22,76.47,78.19,75.57,77.59,1194300
2009-07-23,80,80.46,79.01,79.29,2017900
2009-07-24,78.8,79.37,77.77,79.27,864600
2009-07-27,79.03,79.5,77.59,79.34,539100
2009-07-28,78.55,79.78,77.88,78.27,707700
2009-07-29,78.3,79.8,77.83,79.56,1067200
2009-07-30,80.98,82.69,80.66,80.92,877100
2009-07-31,81.01,82.43,80.55,81.73,581400
2009-08-03,81.01,82.98,81.01,82.89,599100
2009-08-04,82.62,83.29,80.54,81.42,1247300
2009-08-05,81.45,82.64,80.65,82.27,706100
2009-08-06,81.82,82.87,80.67,81.49,459200
2009-08-07,82.5,83.01,81.47,82.55,461800
2009-08-10,81.65,82.83,80.74,81.73,381900
2009-08-11,81.99,81.99,80.37,80.96,437900
2009-08-12,81.31,82.27,81.31,81.53,329500
2009-08-13,82,82.54,80.51,81.77,322100
2009-08-14,81.8,81.99,79.87,80.42,424100
2009-08-17,78.98,80.2,78.19,78.65,611800
2009-08-18,79.7,81.37,78.92,80.87,656900
2009-08-19,79.83,81.86,79.54,81.39,468700
2009-08-20,81.31,84.45,80.74,84.17,814300
2009-08-21,84.89,87.19,84.61,86.98,895500
2009-08-24,86.73,88.65,86.28,86.73,702400
2009-08-25,87.64,88.35,86.16,86.29,328400
2009-08-26,86.55,86.55,83.66,84.95,691300
2009-08-27,85,85,82.73,84.82,526700
2009-08-28,86.1,86.27,83.57,84.72,271500
2009-08-31,84.04,84.44,82.66,84.37,405300
2009-09-01,83.5,85.72,81.63,82.03,664700
2009-09-02,81.62,82.22,81.25,81.99,401500
2009-09-03,81.88,83.3,81.51,83.14,334100
2009-09-04,82.99,84.37,82.67,83.91,342400
2009-09-08,84.43,84.72,83.36,84.03,454500
2009-09-09,83.73,87.06,83.46,86.79,502400
2009-09-10,86.39,87.79,86.39,87.52,389400
2009-09-11,87.45,89.49,86.84,89.31,598800
2009-09-14,88.49,89.06,87.96,88.98,375000
2009-09-15,90.81,90.97,89.6,90.51,749800
2009-09-16,91.28,94.82,90.62,94.43,926500
2009-09-17,93.75,94.9,93.09,93.8,462700
2009-09-18,94.14,94.45,91.59,91.72,571200
2009-09-21,91.6,93.45,90.83,92.71,330400
2009-09-22,93.33,93.59,91.02,92.38,458700
2009-09-23,92.4,93.23,91.25,91.77,310100
2009-09-24,91.65,91.83,89.47,90.41,411100
2009-09-25,89.99,91.12,89.03,89.51,305300
2009-09-28,90,92.62,89.74,91.27,271300
2009-09-29,90.92,91.63,90.07,91.2,241300
2009-09-30,90.91,92.54,89.18,92,368200
2009-10-01,91.98,92.45,89.03,89.38,495000
2009-10-02,88.78,89.11,88,88.21,407200
2009-10-05,88.31,89.99,87.38,89.8,276900
2009-10-06,90.29,93,89.98,92.89,725100
2009-10-07,92.9,95.18,92,95.12,837400
2009-10-08,95.17,98,94.75,95.41,895700
2009-10-09,94.91,96,94.8,95.63,396600
2009-10-12,96.84,96.84,94.35,94.98,374700
2009-10-13,95.16,96.37,95.16,96.16,265800
2009-10-14,96.98,98.18,96.91,97.85,473700
2009-10-15,96.83,97.99,96.39,97.84,563200
2009-10-16,97.31,99.3,97.28,98.71,463000
2009-10-19,98.38,99.5,98.01,98.39,453100
2009-10-20,99.05,99.58,97.62,98.19,414000
2009-10-21,98.05,100.2,97.45,97.75,853600
2009-10-22,95.7,99.79,93.81,94.15,3671700
2009-10-23,94,94.33,91.2,92.29,1333400
2009-10-26,91.94,94.2,91.02,91.65,859900
2009-10-27,91.62,91.99,89.84,90.62,978400
2009-10-28,89.41,90.56,87.32,87.87,1108500
2009-10-29,88.98,89.6,87.62,87.87,876600
2009-10-30,87.71,88.15,85.32,85.32,1061300
2009-11-02,85.39,86.99,84.59,86.63,1162300
2009-11-03,86.22,89,85.52,88.9,760400
2009-11-04,90.25,92.13,89.93,90.21,855800
2009-11-05,91.25,92.5,89.75,92.02,627700
2009-11-06,90.89,94.69,89.52,94.29,962800
2009-11-09,95.48,96.3,94.42,95.75,843200
2009-11-10,95,96.9,94.54,95.53,642400
2009-11-11,95.88,97.34,95.15,95.7,478200
2009-11-12,96.06,96.8,94.1,94.38,430400
2009-11-13,94.55,95.3,93.82,95.1,294200
2009-11-16,95.59,97.65,95.45,97.18,420900
2009-11-17,95.91,97.48,95.24,96.59,332900
2009-11-18,96.25,96.53,95.5,96.4,469400
2009-11-19,96.11,96.2,93.83,95.34,543500
2009-11-20,94.97,95,93.9,94.95,406700
2009-11-23,95.79,97.65,95.3,96.66,484400
2009-11-24,96.18,96.7,95.23,96.7,360000
2009-11-25,96.82,97.74,95.56,97.48,469200
2009-11-27,94.79,98,93.48,97.28,356800
2009-11-30,96.9,97.27,94.63,96.19,495600
2009-12-01,97.88,100.05,96.19,99.73,926500
2009-12-02,99.73,100.87,98.46,98.63,555800
2009-12-03,99.2,102.23,99,100.65,699600
2009-12-04,101.19,103.44,99.92,100.85,733900
2009-12-07,100.1,101.93,99.74,101.06,418400
2009-12-08,100.49,103.5,98.81,102.52,633800
2009-12-09,102.38,103.4,101.5,103.02,523100
2009-12-10,103.47,103.55,101.5,101.68,387600
2009-12-11,102.42,102.68,101.29,101.63,875700
2009-12-14,101.86,105.66,101.5,105.66,583400
2009-12-15,105.7,107.15,104.18,106.01,821900
2009-12-16,106.1,108.14,105.78,106.37,584400
2009-12-17,106.45,106.45,104.32,104.62,419100
2009-12-18,105.87,106.68,103.34,106.49,923800
2009-12-21,107.21,108,106.56,107.31,463000
2009-12-22,107.32,107.32,105.66,107.06,251300
2009-12-23,107.07,108,106.93,107.76,285100
2009-12-24,107.54,108.4,107.11,108.11,68200
2009-12-28,108.4,109.21,107.53,107.96,350200
2009-12-29,107.82,108.43,107.22,108,195500
2009-12-30,107.31,108.45,106.6,106.84,344700
2009-12-31,106.74,107.38,106.15,106.15,374200
