Date,Open,High,Low,Close,Volume
2015-01-02,69.77,70.82,69.72,70.06,3146200
2015-01-05,69.73,70.09,69.15,69.37,4845500
2015-01-06,69.92,70.91,69.2,69.72,5127400
2015-01-07,70.03,70.53,68.45,69.23,9043000
2015-01-08,70,71.49,69.66,70.87,7472200
2015-01-09,70.03,70.11,69.01,69.93,8141700
2015-01-12,70.22,70.61,69.28,69.42,5797600
2015-01-13,70.07,70.8,68.81,69.38,3364800
2015-01-14,68.77,69.88,68.71,69.76,3376100
2015-01-15,70.44,71.27,69.73,69.74,4055000
2015-01-16,69.59,70.88,69.44,70.68,4263300
2015-01-20,70.87,72.1,70.87,72.03,6163300
2015-01-21,71.62,72.5,71.11,72.24,5195900
2015-01-22,72.69,72.69,71.64,72.46,4582800
2015-01-23,72.46,72.86,72.05,72.13,2903200
2015-01-26,71.86,72.17,71.06,72.11,3466600
2015-01-27,71.76,72.14,71.45,71.73,3661600
2015-01-28,72.11,72.38,70.76,70.97,3105200
2015-01-29,70.97,72.16,70.42,72.11,4416600
2015-01-30,73.02,73.47,71.58,72,6720100
2015-02-02,71.87,72,70.23,71.69,6274500
2015-02-03,71.59,71.64,69.85,70.89,6811500
2015-02-04,70.23,70.49,69.77,70.22,5376400
2015-02-05,70.7,71.57,70.68,71.41,3847000
2015-02-06,71.16,71.39,70.24,70.36,3246000
2015-02-09,70,70.26,69.38,69.61,3771200
2015-02-10,70.11,70.56,69.89,70.5,6888000
2015-02-11,70,70.62,69.7,69.95,3456400
2015-02-12,70.19,70.55,69.83,70.53,3383500
2015-02-13,70.69,70.89,70.19,70.56,2691900
2015-02-17,70.41,71.63,70.3,71.56,3971600
2015-02-18,71.41,71.45,70.2,71.01,3800000
2015-02-19,70.83,71.29,70.77,71.12,2337000
2015-02-20,70.97,71.96,70.27,71.88,3461700
2015-02-23,71.81,71.92,70.71,71.09,3378600
2015-02-24,71,71.5,70.51,70.9,3158600
2015-02-25,70.87,70.87,70.05,70.36,3029500
2015-02-26,70.17,70.31,69.54,70.03,4544900
2015-02-27,69.95,70.5,69.91,70.17,3353200
2015-03-02,70.17,71.14,70.16,71.12,3815100
2015-03-03,71.12,71.15,70.09,70.37,4137300
2015-03-04,70.01,70.82,69.81,70.65,3005100
2015-03-05,70.74,71.09,70.4,70.59,3465900
2015-03-06,70.26,70.26,68.31,68.41,5880800
2015-03-09,68.74,69.74,68.42,69.58,5848000
2015-03-10,69.12,69.43,68.55,68.78,3664900
2015-03-11,68.89,69.33,68.41,68.46,3424500
2015-03-12,68.75,69.63,68.54,69.56,2724000
2015-03-13,69.41,70.05,69.14,69.89,3223800
2015-03-16,70.27,71.4,70.18,71.07,3922300
2015-03-17,70.71,71.26,70.33,70.84,2572500
2015-03-18,70.9,74.17,70.69,73.54,6436200
2015-03-19,73.26,74.58,72.59,74.22,7051200
2015-03-20,75.22,76.2,74.54,76.12,10713900
2015-03-23,76.02,77.46,75.95,76.36,6284400
2015-03-24,76.27,76.7,75.36,75.56,5111600
2015-03-25,75.66,76.48,74.36,74.36,5431600
2015-03-26,74,74.35,73.42,73.44,4023500
2015-03-27,73.62,73.99,73.2,73.58,4171600
2015-03-30,74,74.2,73.67,73.87,3370700
2015-03-31,73.35,73.98,72.65,72.65,4348000
2015-04-01,72.92,72.97,71.07,71.53,5875800
2015-04-02,71.46,71.78,70.53,71.24,3781800
2015-04-06,71.13,71.71,70.84,71.31,3936900
2015-04-07,71.25,72.08,71.18,71.7,3128100
2015-04-08,71.92,72.28,71.54,72.15,3215400
2015-04-09,72.22,72.56,71.9,72.36,2595800
2015-04-10,72.5,73.98,72.25,73.92,3956400
2015-04-13,73.28,73.64,73.11,73.52,4351500
2015-04-14,73.3,73.75,73.1,73.46,3950600
2015-04-15,73.54,74.02,73.3,73.71,4358700
2015-04-16,73.61,74,73.39,73.49,2880000
2015-04-17,73.01,73.2,71.96,72.47,4386700
2015-04-20,73,73.26,72.3,72.41,2540400
2015-04-21,72.98,73.12,72.06,72.21,4048400
2015-04-22,72.47,72.47,71.88,72.3,3506100
2015-04-23,72.88,72.94,71.07,72.4,5448700
2015-04-24,72.22,72.43,71.26,71.58,3816300
2015-04-27,71.93,72.17,70.63,70.89,5328400
2015-04-28,70.62,71.28,70.2,71.18,4557900
2015-04-29,71.86,72.82,71.84,72.28,6789600
2015-04-30,71.96,72.61,71.43,71.87,5479300
2015-05-01,72.26,73.33,71.25,73.12,6533400
2015-05-04,73.25,73.59,72.85,73.05,4040700
2015-05-05,72.83,72.97,71.82,71.91,3735900
2015-05-06,71.97,72.28,71.54,72.05,3567600
2015-05-07,71.75,72.29,71.72,71.82,3628100
2015-05-08,72.5,73.7,72.5,73.26,3713300
2015-05-11,73.26,73.99,73.19,73.47,2958600
2015-05-12,73.14,73.14,72.31,72.44,3152800
2015-05-13,72.76,73.23,72.49,72.8,2682100
2015-05-14,72.68,73.22,72.43,73.06,3364300
2015-05-15,73.23,73.42,72.59,72.9,3464400
2015-05-18,73.05,73.09,72.62,72.94,2162000
2015-05-19,72.82,73.58,72.63,73.45,3548000
2015-05-20,73.45,73.69,73.18,73.36,1980300
2015-05-21,73.34,74.35,73.18,74.27,3288200
2015-05-22,74.05,74.33,73.87,74.3,3023400
2015-05-26,73.96,74.37,73.82,74.31,4194600
2015-05-27,74.36,74.99,74.14,74.9,2901100
2015-05-28,74.8,76.48,74.74,76.41,4823600
2015-05-29,76.15,79.55,76.02,78.9,11917000
2015-06-01,78.92,79.85,78.78,79,4866500
2015-06-02,78.76,78.76,77.51,77.95,4467700
2015-06-03,78,78.17,77.28,77.83,3270800
2015-06-04,77.34,78.6,77.33,77.68,3786500
2015-06-05,77.56,78.26,76.99,78.12,2788900
2015-06-08,77.98,78.85,77.83,78.52,6065900
