Date,Open,High,Low,Close,Volume
2019-01-02,114.79,115.43,112.75,114.88,4247100
2019-01-03,114.72,114.74,111.1,111.31,4203300
2019-01-04,112.21,114.84,111.74,114.66,5795200
2019-01-07,112.37,116.44,112.05,115.28,7749600
2019-01-08,115.69,116.42,114.52,116.34,3428900
2019-01-09,116.37,118.22,116.22,117.21,5820100
2019-01-10,117.09,117.22,114.97,115.94,4282300
2019-01-11,115.27,116.21,115.1,116.18,2648800
2019-01-14,115.2,115.25,114.33,114.68,4404600
2019-01-15,113.91,118.22,113.4,117.09,5097700
2019-01-16,116.99,118.07,116.48,116.8,2920600
2019-01-17,116.81,119.2,116.55,119.16,4401900
2019-01-18,115.58,116.9,115.02,116.59,8887000
2019-01-22,115.69,117.11,115.69,117.09,4377500
2019-01-23,117.11,118.9,116.92,118.79,4012100
2019-01-24,118.22,118.22,114.2,114.99,6946200
2019-01-25,115.34,115.35,114.04,114.97,4599100
2019-01-28,114.72,115.11,113.54,115.03,3590900
2019-01-29,114.39,115.95,113.91,115.71,3767400
2019-01-30,115.53,117.08,115.53,116.94,4362900
2019-01-31,116.94,120.14,116.73,119.86,5746100
2019-02-01,120.32,120.99,119.13,120.89,4171500
2019-02-04,121.21,121.84,118.69,120.17,4518400
2019-02-05,120.72,121.74,120.4,120.43,8832400
2019-02-06,118.67,120.82,117.74,119.27,7421000
2019-02-07,119,119.33,116.86,117.5,7935000
2019-02-08,117.73,121.43,117.45,119.6,16195100
2019-02-11,119.2,119.94,117.04,118.01,7203100
2019-02-12,117.76,119.9,117.5,119.49,6975500
2019-02-13,119.6,120.28,118.11,119.65,12738600
2019-02-14,118.94,121.25,118.8,120.75,17847000
2019-02-15,121.18,122.48,120.4,122.48,10366400
2019-02-19,121.31,123.33,121.3,122.13,17861300
2019-02-20,122.38,123.05,121.61,122.66,19880300
2019-02-21,122.06,123.76,121.8,122.72,20798700
2019-02-22,122.73,124.74,122.65,124,19574000
2019-02-25,124.1,124.67,123.47,123.89,13682400
2019-02-26,123.86,125.16,123.32,124.67,20790900
2019-02-27,124.49,126.48,124.08,125.68,32135600
2019-02-28,125.52,127.77,125.2,126.29,36023600
2019-03-01,127.25,129.42,126.58,128.84,43290900
2019-03-04,130.51,130.51,125.34,127.46,59468600
2019-03-05,128.4,128.87,126.72,128.49,53212600
2019-03-06,128.75,128.79,125.39,126.68,74822500
2019-03-07,126.41,127.19,125.13,126.34,60615600
2019-03-08,126.37,126.98,125.25,126.7,50169800
2019-03-11,122.8,124.91,122.51,123.5,61771200
2019-03-12,123.5,124.02,122.68,123.5,8077600
2019-03-13,124.6,130.75,123.16,124.31,68139300
2019-03-14,124.98,124.98,122.51,123.08,42768700
2019-03-15,123.1,124.16,121.96,123.94,47331000
2019-03-18,123.99,125.35,123.5,125.24,16052200
2019-03-19,125.26,126.65,125.14,126.59,13726300
2019-03-20,127.54,129.1,126.83,128.16,7520700
2019-03-21,126.88,128.98,126.64,128.31,5704300
2019-03-22,128.73,129.48,127.43,128.3,15332900
2019-03-25,128.61,130.58,128.41,129.87,5972800
2019-03-26,130.24,132.13,129.7,131.02,5872900
2019-03-27,130.96,131.56,128.52,128.77,7675100
2019-03-28,129.34,129.9,128.87,128.95,6112900
2019-03-29,129.01,129.94,128.98,129.76,5729100
2019-04-01,130.71,131.35,129.05,129.05,5132300
2019-04-02,129.04,129.57,128.24,129.32,3214600
2019-04-03,129.11,129.25,126.84,127.05,4425300
2019-04-04,127.34,127.35,124.61,125.61,5539800
2019-04-05,126.49,127.01,125.61,126.99,4656400
2019-04-08,126.5,127.28,126.09,127.16,3430900
2019-04-09,126.76,128.12,126.6,127.24,4215600
2019-04-10,127.56,127.97,126.93,127.19,4227100
2019-04-11,126.86,127.32,124.51,125.15,5520700
2019-04-12,125.24,125.24,123.02,123.06,5470400
