Date,Open,High,Low,Close,Volume
2013-01-02,53.3,54.3,53.13,53.88,860000
2013-01-03,53.91,54.22,53.31,53.5,590900
2013-01-04,53.72,53.89,53.15,53.85,430200
2013-01-07,53.32,53.88,53.1,53.73,369000
2013-01-08,53.57,53.85,52.68,53.76,523500
2013-01-09,53.89,54.01,53.4,53.75,470400
2013-01-10,53.9,54.25,53.44,54.2,614800
2013-01-11,54.08,54.6,53.95,54.58,469600
2013-01-14,54.56,54.74,53.54,53.87,420900
2013-01-15,53.38,54.42,53.37,54.37,423300
2013-01-16,54.07,54.33,53.65,54.12,336300
2013-01-17,54.5,55.4,54.34,55.14,879600
2013-01-18,55.46,56.72,55.15,56.69,1018100
2013-01-22,56.81,59.48,56.63,58.57,1301700
2013-01-23,58.43,58.57,57.42,57.49,812800
2013-01-24,57.78,58.41,56.96,57.5,790300
2013-01-25,57.9,57.97,56.91,57.2,915100
2013-01-28,57.25,57.45,56.31,56.83,497100
2013-01-29,56.83,59,56.55,58.74,1345400
2013-01-30,58.73,58.79,56.36,56.83,869300
2013-01-31,56.7,57.06,56.04,56.56,826300
2013-02-01,57.23,57.27,56.54,56.88,679500
2013-02-04,56.3,57.03,56.2,56.28,453900
2013-02-05,56.6,56.94,56.2,56.36,416300
2013-02-06,56.12,56.52,55.77,56.22,967600
2013-02-07,56.27,56.38,54.87,55.41,463400
2013-02-08,55.51,56.15,55.51,56.08,394700
2013-02-11,55.97,56.29,55.64,55.65,214100
2013-02-12,55.57,56.65,55.55,56.12,732300
2013-02-13,56.29,56.47,55.75,55.86,751100
2013-02-14,55.46,55.5,52.79,54.87,1673800
2013-02-15,54.85,55.28,54.5,55.03,1055100
2013-02-19,55.02,55.33,54.51,54.81,623600
2013-02-20,54.63,54.76,52.26,52.32,690900
2013-02-21,51.81,52.39,51.5,51.99,783800
2013-02-22,52.37,52.77,51.75,51.96,829200
2013-02-25,52.4,52.69,49.35,49.48,961300
2013-02-26,49.99,50.71,49.35,50.58,725400
2013-02-27,50.52,51.42,50.48,51.1,699000
2013-02-28,51.1,51.42,50.58,50.93,1480400
2013-03-01,50.55,52.25,49.95,51.99,761800
2013-03-04,51.62,52.33,51.41,52.1,584200
2013-03-05,52.48,54.35,52.14,53.69,868000
2013-03-06,53.79,54.11,53.38,53.5,496000
2013-03-07,53.57,54.04,53.18,53.98,498800
2013-03-08,54.15,54.91,54.15,54.72,488600
2013-03-11,54.54,54.79,54.14,54.64,427300
2013-03-12,54.54,54.89,54.15,54.28,323900
2013-03-13,54.29,54.66,54,54.45,297100
2013-03-14,54.49,55.37,54.49,54.81,547100
2013-03-15,54.57,54.89,53.94,54.56,660900
2013-03-18,53.8,54.73,53.78,54.1,374300
2013-03-19,54.33,54.48,52.84,53.04,400100
2013-03-20,53.58,53.98,53.19,53.74,295500
2013-03-21,53.71,53.71,52.17,52.25,397800
2013-03-22,52.16,52.5,51.15,51.43,479800
2013-03-25,51.71,52.32,51.48,51.5,659500
2013-03-26,51.71,52.05,50.96,51.5,317200
2013-03-27,50.89,51.2,50.52,51.09,271800
2013-03-28,51.14,51.84,50.39,51.7,723300
2013-04-01,51.7,51.7,50.03,50.24,294800
2013-04-02,50.56,50.6,48.78,48.92,514800
2013-04-03,49.05,49.27,47.58,48.21,704100
2013-04-04,48.24,48.89,48.14,48.47,431800
2013-04-05,47.56,48.92,47.54,48.83,526800
2013-04-08,48.94,49.37,48.33,48.93,515600
2013-04-09,48.94,49.71,48.26,49.65,516700
2013-04-10,49.63,49.91,48.65,49.88,472700
2013-04-11,49.85,51.01,49.43,50.78,550300
2013-04-12,50.29,50.56,48.71,48.88,466700
2013-04-15,48.27,48.35,45.42,45.59,1309000
2013-04-16,46.67,48.7,46.67,48.69,1209600
2013-04-17,48.32,48.52,47.34,47.73,675300
2013-04-18,47.82,47.85,45.68,46.03,463600
2013-04-19,46.24,46.38,45.45,46.05,1037200
2013-04-22,46.25,46.9,45.52,46.67,864700
2013-04-23,47.07,47.51,46.05,46.98,634600
2013-04-24,47.1,48.03,46.6,47.76,940700
2013-04-25,48.14,48.24,47.33,47.42,703400
2013-04-26,47.36,47.36,45.86,46.52,1051100
2013-04-29,46.92,48.95,46.58,48.74,1091500
2013-04-30,48.28,50.05,48.1,49.88,912200
2013-05-01,49.58,49.66,48,48.38,743900
2013-05-02,49,51.29,48.53,50.98,982000
2013-05-03,51.59,54.08,51.3,53.48,1309100
