Date,Open,High,Low,Close,Volume
2019-01-02,258.36,265.3,256.79,264.73,1064700
2019-01-03,262.32,264,257.38,258.08,1165600
2019-01-04,261.92,265.49,260.34,265.04,1443800
2019-01-07,266,270,263.86,268.08,1465200
2019-01-08,271.13,271.75,267.81,269.87,1791400
2019-01-09,270.13,272.22,269.13,270.54,1235900
2019-01-10,269.62,277.68,269.5,277.5,1842500
2019-01-11,275.79,277.76,272.43,277.73,1157800
2019-01-14,276.67,279.52,274.43,277.51,1388600
2019-01-15,278.23,278.33,273.51,276,1193500
2019-01-16,275.4,275.69,270.63,272.39,1324900
2019-01-17,271.17,279.99,270.84,278.8,1242000
2019-01-18,281.18,285.37,279.72,282.87,2073500
2019-01-22,281.39,284.62,278,279.59,1885100
2019-01-23,282.11,285.73,280.5,283.51,1631000
2019-01-24,284.59,288.24,282.59,285.25,1017500
2019-01-25,288.17,289.3,286.13,287.04,1050400
2019-01-28,285,288.41,282.89,287.87,1166400
2019-01-29,281.11,292.86,281,292.05,2037300
2019-01-30,293.95,293.99,286.77,291.67,1781800
2019-01-31,290.17,292.83,287.79,289.69,1311100
2019-02-01,290.85,292.58,289.2,290.58,1358900
2019-02-04,290.9,299.06,290.11,298.77,1328900
2019-02-05,300,302.98,297.23,299.46,1454800
2019-02-06,299.99,302.68,299.01,299.83,1114300
2019-02-07,298.79,300.36,296.14,300.13,1150100
2019-02-08,299.22,301.63,297,301.5,1021600
2019-02-11,301.78,302.75,298.8,300.04,1077900
2019-02-12,301.47,304.32,300.86,304.11,840600
2019-02-13,305,305.95,303.68,304.42,958500
2019-02-14,303.36,304,300.91,301,888200
2019-02-15,304.01,307.33,304.01,307.23,847700
2019-02-19,305.97,306.59,303.76,305.18,929500
2019-02-20,305,307.2,304.29,307.2,870600
2019-02-21,307.06,307.17,303.28,304.51,1045000
2019-02-22,305.91,307.36,303.9,307.13,581800
2019-02-25,308.89,309.4,305.55,305.97,1088000
2019-02-26,305.6,308.08,305.01,305.88,871600
2019-02-27,305.02,307.94,304.11,307.58,1121300
2019-02-28,307.44,311.75,306.12,309.41,1839100
2019-03-01,311.56,311.56,306.44,309.47,1424900
2019-03-04,311.78,311.78,303.48,304.69,1070900
2019-03-05,306.01,307.22,304.22,305.76,907600
2019-03-06,306.48,308.35,303.32,303.32,879200
2019-03-07,302.9,303.2,297.42,303.01,1255500
2019-03-08,300.57,301.69,298.77,300.95,1054100
2019-03-11,299.62,304.58,298.63,304.4,1294400
2019-03-12,304.6,305.31,300.79,301.92,1248800
2019-03-13,303.06,304.56,301.12,303.45,1133400
2019-03-14,303.42,304.46,298.32,298.51,1178400
2019-03-15,298.86,299.23,293.77,296.15,4516500
2019-03-18,295.87,298.36,293.27,297.64,1793600
2019-03-19,299.48,302.14,295.44,296.6,1504000
2019-03-20,296.91,298.71,295.06,295.98,1321800
2019-03-21,295.37,300.07,295,299.01,1145700
2019-03-22,297.65,298.4,293.88,294.01,942800
2019-03-25,294.41,295.82,292.53,294.12,779700
2019-03-26,296.09,297.6,292.69,294.92,882300
2019-03-27,295.62,297.89,292.85,293.95,835600
2019-03-28,295.03,295.94,293.65,295.6,567100
2019-03-29,297.5,300.59,296.74,300.16,1212000
2019-04-01,302.56,306.11,301.84,304.29,1153900
2019-04-02,304.87,306.78,302.87,303.1,872600
2019-04-03,303.61,304.4,296.14,297.27,1178300
2019-04-04,298.16,302.05,297.89,299.67,789500
2019-04-05,299.91,302.66,299.71,302.58,705200
2019-04-08,301.99,305.86,300.67,305.66,1121400
2019-04-09,304.36,304.58,301.19,302.68,867100
2019-04-10,302.23,302.35,297.33,299.12,1226200
2019-04-11,300.23,305.83,300,305.59,829500
2019-04-12,307,309.78,306.03,309.7,891800
2019-04-15,309.96,310,307.54,308.71,864800
2019-04-16,309.22,310.63,308.1,310.06,833900
2019-04-17,311.22,312.43,309.78,310.5,1041400
2019-04-18,311.03,314.57,309.47,314.26,1107100
2019-04-22,314.25,316.26,313.27,315.26,1319000
2019-04-23,326.52,337.32,324.52,333.1,3425800
2019-04-24,333.9,335.78,327.84,330.12,2089900
2019-04-25,330.25,334.23,328.46,328.87,1506500
2019-04-26,329.6,330.75,327.08,328.33,873200
2019-04-29,328.4,331.15,327.21,328.59,969100
2019-04-30,329.52,333.86,328.46,333.33,990000
2019-05-01,334.25,337.21,331.58,331.85,1104300
2019-05-02,332.01,332.7,328.24,332.55,962300
2019-05-03,333.58,335.64,331.2,334.07,806700
2019-05-06,330.5,336.53,330.17,335.72,812800
2019-05-07,334.74,334.74,328.84,330.9,1176400
2019-05-08,330.9,336.88,330.35,334.18,1083800
2019-05-09,334,340.33,331.94,339.36,1496500
2019-05-10,337.41,341.62,335.27,341.35,1204900
2019-05-13,335.25,339.75,333.2,335.37,1504000
2019-05-14,336.01,340.92,334.75,336.17,1171600
2019-05-15,335.29,335.71,329.93,334.15,1127000
2019-05-16,335.92,339.65,334.85,339.39,1092100
2019-05-17,336.46,340.95,336.46,337.99,1268400
2019-05-20,337.24,344.29,337.24,342.01,1388200
2019-05-21,343.6,344.8,339.5,343.95,1097800
2019-05-22,343.29,343.29,339.88,341.3,1049300
2019-05-23,339.72,341.44,336.08,340.07,1461200
2019-05-24,340.67,341.62,337.27,338.78,1293100
2019-05-28,338.96,341.28,337.1,337.89,3559400
2019-05-29,336.78,340.36,335.28,339.34,1184400
2019-05-30,340,343.48,339.75,341.96,859100
2019-05-31,337.59,341.14,337.49,338.54,1024000
2019-06-03,338.08,344.78,337.9,344.57,1345100
2019-06-04,345.88,349.68,345.88,349.35,1573300
2019-06-05,349.99,352.86,348.51,352.7,1750500
2019-06-06,353.37,354.34,350.15,352.52,1149800
2019-06-07,353.45,356.15,352.4,355.23,1125800
2019-06-10,357.97,358.63,350.73,351.6,1356200
2019-06-11,352.01,352.55,340.87,344.04,1684300
2019-06-12,344.23,346.14,342.32,345.51,1131900
