Date,Open,High,Low,Close,Volume
2014-01-02,147.05,147.79,145.84,146.07,1115900
2014-01-03,146.5,147.33,146.48,147.06,843400
2014-01-06,147.3,148.09,146.1,146.28,1134800
2014-01-07,149,149.3,147.5,148.61,1684100
2014-01-08,148.39,149.1,147.71,148.5,1222700
2014-01-09,149,150.43,148.54,148.73,1646600
2014-01-10,148.99,149.69,147.55,149.45,1245800
2014-01-13,153.7,154.35,150.51,150.92,3449000
2014-01-14,151.13,151.93,149.19,151.42,2575800
2014-01-15,151.42,154.34,151.1,153.5,2294200
2014-01-16,153,153.52,152.62,153.49,1378700
2014-01-17,153.73,153.99,153.01,153.82,2016300
2014-01-21,154,156.54,153.79,154.1,2274600
2014-01-22,155,157.05,154.26,156.65,2646600
2014-01-23,157.11,158.43,150.3,150.49,3944100
2014-01-24,151.33,151.33,146.68,147.76,3496200
2014-01-27,148.12,149.09,145.12,147.02,2851400
2014-01-28,147.01,148.82,146.8,148.28,2676000
2014-01-29,147.14,148.24,146.5,147.35,2501000
2014-01-30,148.59,150.29,147.67,148.66,1931600
2014-01-31,147.07,151.99,145.94,150.91,2618200
2014-02-03,150.54,152,147.42,147.74,2307200
2014-02-04,147.79,148.97,144.69,148.18,2205000
2014-02-05,147.74,151.97,147.43,150.39,2728100
2014-02-06,149.73,152.64,149.5,151.74,2073800
2014-02-07,151.9,155.7,151.06,155.13,2072700
2014-02-10,154.75,155.41,153.51,153.98,2375000
2014-02-11,154.57,158.32,154.18,157.56,2242200
2014-02-12,158.71,159.45,157.97,158.92,1851100
2014-02-13,157.66,160.76,156.54,159.8,2461600
2014-02-14,159.8,163.24,159.31,162.89,2556400
2014-02-18,161.53,163.95,161.53,162.7,1985200
2014-02-19,162.6,164.71,162.01,162.65,1762400
2014-02-20,163,165.89,162.92,164.27,2112600
2014-02-21,165,165.44,163.37,164.33,2377600
2014-02-24,165.62,168.41,164.8,166.14,2534300
2014-02-25,166.58,167.43,163.1,163.61,2278400
2014-02-26,163.3,164.41,160.81,160.83,2691000
2014-02-27,160.4,161.67,159.51,161.44,3075100
2014-02-28,161.15,163.31,161.15,162.3,2232700
2014-03-03,160.82,164.21,160.52,163.55,1709000
2014-03-04,164.29,166.17,164.29,165.64,1748200
2014-03-05,166.23,167.43,165.5,166.82,1889200
2014-03-06,166.85,167.48,166.4,166.84,1378300
2014-03-07,167.5,167.87,165.97,166.57,1403500
2014-03-10,165.69,166.7,165.11,165.48,1377100
2014-03-11,165.37,165.7,163.72,163.8,1738200
2014-03-12,163.47,164,162,163.86,1503100
2014-03-13,164.53,165.11,162.32,162.83,1404600
2014-03-14,162.54,164.6,162.15,162.42,1386100
2014-03-17,163.44,164.65,163.08,164.07,1466300
2014-03-18,164.85,165.09,163.85,163.98,1652400
2014-03-19,164.37,164.58,160.01,160.9,2068200
2014-03-20,161.12,162.47,159.37,159.93,3228500
2014-03-21,161,161.37,157.4,157.4,4247800
2014-03-24,158.53,159.37,157.01,158.19,1997300
2014-03-25,158.75,161.13,158.58,160.57,2099700
2014-03-26,160.84,162.09,159.62,159.64,1299200
2014-03-27,159.29,159.95,158.02,158.88,1857000
2014-03-28,159.53,161.37,159.24,160.54,1191800
2014-03-31,162.25,163.55,161.6,163.24,1458700
2014-04-01,163.52,164.13,162.53,163.71,981900
2014-04-02,164,164.77,162.68,164.7,1050300
2014-04-03,165,165.13,163.7,163.75,1254600
2014-04-04,164.95,164.95,159.42,159.61,1622500
2014-04-07,159.38,160.61,157.48,157.74,1315200
2014-04-08,157.57,157.8,154.75,156.65,1782800
2014-04-09,158.03,159.95,156.92,158.83,1124300
2014-04-10,159.08,159.65,155.31,155.43,1499300
2014-04-11,154.97,155.39,153.54,153.82,2024200
2014-04-14,155,157.16,154.29,155.82,1356100
2014-04-15,155.55,157.59,154.21,157.39,1160500
2014-04-16,158.44,159.47,156.87,159.44,1167900
2014-04-17,158.25,160.49,158.25,160.25,1544900
2014-04-21,163.24,163.24,160.36,161.49,1303700
2014-04-22,164.68,164.71,156.2,156.69,2674100
2014-04-23,156.81,162.43,155.82,161.98,2862400
2014-04-24,162.43,162.59,159.6,160.62,1398300
2014-04-25,160.22,161.49,158.69,161.09,1803400
2014-04-28,161.33,162.27,159.8,161.37,1352700
2014-04-29,161.3,162.53,160.91,161.99,1225900
2014-04-30,162.02,164.38,161.35,164.14,1615800
2014-05-01,163.72,164.84,162.32,162.85,1301700
2014-05-02,163,164.11,162.7,163.9,1133100
2014-05-05,163.5,165.37,162.79,165.12,945500
2014-05-06,164.66,165.3,163.19,163.49,1026600
2014-05-07,164,164.47,162.57,164.2,1173300
2014-05-08,164.18,165.35,163.64,164.39,1024700
2014-05-09,164.15,165.2,163.38,165.18,837900
2014-05-12,165.5,167.17,165.3,166.92,1051900
2014-05-13,166.92,167.98,166.33,167.64,968400
2014-05-14,167.99,168,164.85,165.26,1165600
2014-05-15,164.82,165.42,162.77,163.54,1061100
2014-05-16,163.69,164.29,162.01,162.1,1739200
2014-05-19,162.15,163.24,161.7,162.3,1460200
2014-05-20,162.49,162.5,159.89,160.57,907600
2014-05-21,161.16,162.08,160.85,161.89,859500
2014-05-22,162.07,162.38,161.26,161.82,823200
2014-05-23,162.67,163.24,161.9,162.64,1663400
2014-05-27,163.13,163.23,162.01,162.95,1294500
2014-05-28,163.43,164.6,161.87,162.1,1831500
2014-05-29,161.12,163.39,160.58,163.15,1489200
2014-05-30,162.73,163.96,162.29,163.65,2121200
2014-06-02,163.88,164.41,162.63,164.11,1012600
2014-06-03,164.11,164.48,163.19,163.89,850900
2014-06-04,163.49,164.72,162.99,164.52,871300
2014-06-05,164.53,166.51,164.53,166.33,996100
2014-06-06,166.53,167.23,166.35,167.17,891000
2014-06-09,166.21,168.87,165.7,168.08,1351000
2014-06-10,167.99,168.07,166.28,167.34,1002700
2014-06-11,166.52,166.94,164.03,164.53,1297500
2014-06-12,164.3,164.76,162.18,162.64,857100
2014-06-13,162.96,164.59,162.66,164.04,750200
2014-06-16,163.86,165.63,163.53,165.14,889300
2014-06-17,165,165.64,163.55,164.24,858100
2014-06-18,164.13,164.22,162.05,163.79,1028200
2014-06-19,164.01,165.62,163.3,164.2,1045800
2014-06-20,163.75,165.7,163.75,165.4,1862900
2014-06-23,165.27,165.81,163.32,163.95,829500
2014-06-24,163.28,164.5,162.46,162.51,812500
2014-06-25,162.65,162.91,161.44,162.45,988400
2014-06-26,162.81,162.81,160.51,162.05,988400
2014-06-27,162.28,162.93,161.86,162.7,1102200
2014-06-30,162.76,162.83,160.36,160.73,1234500
2014-07-01,160.04,161.77,158.59,160.64,1358200
2014-07-02,160.77,160.88,158.2,158.98,1309800
2014-07-03,159.8,160.38,159.11,159.9,687200
2014-07-07,159.25,159.71,157.71,158.3,1164700
2014-07-08,158.44,158.44,156.96,157.21,970900
2014-07-09,158.12,158.73,157.43,157.93,827400
2014-07-10,156.23,159.04,156.23,158.18,815700
2014-07-11,158.13,160.62,157.93,160.31,1073600
2014-07-14,160.78,161.98,160.5,161.81,1045100
2014-07-15,161.73,163.49,161.47,162.62,1312000
2014-07-16,163.08,163.46,161.15,161.55,947800
2014-07-17,161.11,163.2,160.56,161.33,1190600
2014-07-18,161.82,162.54,161.06,162.49,1074700
2014-07-21,162,163.67,161.19,162.98,1201200
2014-07-22,164.5,168.18,164.39,167.87,2174500
2014-07-23,167.76,169.21,167.22,168.1,1808500
2014-07-24,168.53,170.12,167.82,169.97,1617600
2014-07-25,169.33,170.69,169.19,170.04,2112300
2014-07-28,169.99,170.57,168.3,170,1989600
2014-07-29,170.5,170.66,169.24,169.33,1063100
2014-07-30,170.24,171.36,168.84,170.18,1077200
2014-07-31,169.08,169.24,166.97,166.97,1935900
2014-08-01,166.72,168.77,166.19,167.12,1535900
2014-08-04,167.56,168.58,167.03,168.29,1196400
2014-08-05,167.79,169.16,166.56,166.93,1218900
2014-08-06,166.08,166.08,162.71,163.05,1883000
2014-08-07,164.28,164.62,162.52,162.95,1087100
2014-08-08,163.11,166.19,163.1,165.8,1196000
2014-08-11,166.86,166.93,166,166.15,801800
2014-08-12,166.15,167.15,165.26,165.78,779500
2014-08-13,166.15,169.4,166.15,169.09,1079100
2014-08-14,169.34,170.21,168.86,169.5,1030000
2014-08-15,169.91,170.5,167.94,169.16,1062400
