Date,Open,High,Low,Close,Volume
2013-01-02,16.72,17.1,16.58,17,1509400
2013-01-03,17.01,17.23,16.9,17.1,1431600
2013-01-04,17.18,17.37,17.02,17.28,1419800
2013-01-07,17.31,17.93,16.72,17.89,2179400
2013-01-08,17.87,18.8,17.87,18.8,2525200
2013-01-09,18.75,19.6,18.66,19.31,2505200
2013-01-10,19.4,19.4,18.63,18.96,1856900
2013-01-11,18.84,19.17,18.14,18.2,2372000
2013-01-14,18.76,19.44,18.68,19.22,2472900
2013-01-15,19.11,19.84,19.04,19.54,1798500
2013-01-16,19.54,19.54,18.8,18.91,1186100
2013-01-17,18.93,19.21,18.52,19.21,1164700
2013-01-18,19.17,19.21,18.83,19.18,806600
2013-01-22,19.18,19.23,18.9,19.18,848100
2013-01-23,18.63,18.9,18.23,18.38,3696900
2013-01-24,18.42,19.11,18.04,18.25,2438300
2013-01-25,18.34,18.72,18.07,18.7,2089200
2013-01-28,18.79,18.9,18.66,18.74,1018300
2013-01-29,18.73,18.78,18.29,18.6,872000
2013-01-30,18.62,18.79,17.77,17.84,1463600
2013-01-31,17.86,18.49,17.79,18.38,1709200
2013-02-01,18.38,18.67,18.21,18.44,1008900
2013-02-04,18.39,18.48,17.92,18.04,1273000
2013-02-05,18.04,18.32,17.87,18.27,864900
2013-02-06,18.32,18.6,18.13,18.34,618500
2013-02-07,18.29,18.36,17.44,18.02,1466000
2013-02-08,18,18.32,17.95,18.32,968600
2013-02-11,18.33,18.64,18.28,18.36,1236700
2013-02-12,18.4,18.52,18.26,18.42,1063400
2013-02-13,18.3,18.66,18.16,18.65,2593400
2013-02-14,19.29,21,18.33,20.56,4904000
2013-02-15,20.47,22.82,20.27,22,6211800
2013-02-19,21.99,22.23,21.28,21.86,2328700
2013-02-20,21.88,21.92,21.15,21.2,1378200
2013-02-21,21.11,21.27,20.7,20.98,4260200
2013-02-22,21.05,21.36,20.77,21.04,2281600
2013-02-25,21.23,21.59,20.83,20.85,691100
2013-02-26,21.16,21.41,20.51,20.96,848900
2013-02-27,20.5,21.82,20.5,21.64,766800
2013-02-28,21.64,22.29,21.6,22.23,1554800
2013-03-01,22,22.79,21.95,22.46,1625400
2013-03-04,22.33,22.72,21.89,22.72,688100
2013-03-05,22.72,22.92,22.3,22.63,999600
2013-03-06,22.7,23,22.54,22.97,1368500
2013-03-07,22.89,23.15,22.58,23.03,1033200
2013-03-08,23.27,23.65,22.64,23.53,1299000
2013-03-11,23.48,23.7,23.06,23.39,774400
2013-03-12,23.43,23.65,23.03,23.48,721400
2013-03-13,23.52,24.53,23.36,24.49,1875800
2013-03-14,24.14,25.29,24.11,24.95,3116100
2013-03-15,24.78,25.16,24.56,24.84,1970300
2013-03-18,21.82,23.8,21.61,23.79,8913700
2013-03-19,23.84,24,21.99,22.53,3192100
2013-03-20,22.7,23.15,22.59,22.86,1124400
2013-03-21,22.86,23.15,22.6,22.79,1063200
2013-03-22,22.87,22.9,22.52,22.57,691600
2013-03-25,22.41,22.51,22.01,22.15,1308600
2013-03-26,22.28,22.28,21.9,22.05,642100
