Date,Open,High,Low,Close,Volume
2025-01-02,14.4,15.3,13.95,14.4,60607
2025-01-03,14.4,17.4,14.4,16.5,186353
2025-01-06,17.25,18.3,16.95,17.55,177080
2025-01-07,17.55,18.75,17.1,17.85,168380
2025-01-08,18.45,18.6,16.8,17.1,122920
2025-01-10,16.5,16.8,15.3,15.45,110093
2025-01-13,15.15,15.15,13.95,14.4,120127
2025-01-14,14.85,14.85,13.05,13.5,74113
2025-01-15,13.95,14.4,13.5,13.65,89453
2025-01-16,13.5,13.95,13.2,13.35,73573
2025-01-17,13.35,14.1,13.2,13.35,119520
2025-01-21,13.65,14.1,12.6,13.5,56273
2025-01-22,13.8,14.4,13.35,13.8,51133
2025-01-23,13.8,13.95,13.35,13.35,85480
2025-01-24,13.35,13.5,13.05,13.2,99893
2025-01-27,13.35,13.8,12.9,13.2,89533
2025-01-28,13.05,13.2,12.6,12.6,73873
2025-01-29,12.3,13.05,12,12.6,110887
2025-01-30,12.9,12.9,12.3,12.75,66680
2025-01-31,13.35,13.35,12.45,12.45,53427
2025-02-03,12.45,12.9,12,12.15,54453
2025-02-04,12,12.3,11.55,11.7,107393
2025-02-05,11.4,12.15,10.8,11.4,208320
2025-02-06,11.25,11.7,10.5,10.5,114273
2025-02-07,10.65,10.8,9.9,10.2,224887
2025-02-10,10.5,10.8,10.05,10.5,560853
2025-02-11,10.65,10.65,9.75,9.9,277133
2025-02-12,9.9,11.7,9.75,10.95,324740
2025-02-13,12.15,14.1,11.55,13.35,542653
2025-02-14,13.95,16.2,13.5,14.7,459087
2025-02-18,15.3,15.9,14.7,15.9,226100
2025-02-19,15.45,15.6,14.55,15,227260
2025-02-20,14.7,14.7,13.8,14.4,110160
2025-02-21,14.7,15,13.8,13.95,81260
2025-02-24,13.5,14.25,12.45,12.75,153733
2025-02-25,12.45,13.8,12,13.05,186767
2025-02-26,12.9,13.65,11.7,11.7,157107
2025-02-27,11.55,12.6,11.4,12,87220
2025-02-28,11.85,12.75,11.7,12.6,77620
2025-03-03,12.9,12.9,12,12,86833
2025-03-04,12,13.05,11.55,12.6,122713
2025-03-05,12.75,13.2,12.45,12.9,58133
2025-03-06,12.75,13.95,12.3,12.9,96153
2025-03-07,12.9,13.35,12.6,13.2,56087
2025-03-10,12.6,12.75,12,12.3,87720
2025-03-11,12.15,12.75,11.85,12.3,87793
2025-03-12,12.6,12.75,12,12.3,114653
2025-03-13,13.2,13.95,12.15,12.3,93247
2025-03-14,13.5,14.25,12.6,13.5,169200
2025-03-17,13.8,14.4,13.2,13.65,139627
2025-03-18,13.65,13.8,12.75,13.2,71527
