Date,Open,High,Low,Close,Volume
2011-10-27,33.54,36.35,33.49,35.62,7256200
2011-10-28,35.23,36.04,34.98,35.83,3387300
2011-10-31,35.25,35.31,34.46,34.6,3459900
2011-11-01,33.45,33.73,32.74,32.97,4712900
2011-11-02,33.39,34.23,33.21,33.55,3321600
2011-11-03,34,35.32,33.28,35.16,2817600
2011-11-04,34.78,35.19,34.38,35.02,1716700
2011-11-07,35.02,35.25,33.7,34.7,2917600
2011-11-08,35.05,35.6,34.4,35.55,2305100
2011-11-09,34.2,34.2,32.41,32.54,4898600
2011-11-10,33.09,33.42,32.43,32.72,3023400
2011-11-11,33.34,34.47,33.32,34.2,2584300
2011-11-14,34.1,34.2,33.34,33.61,2248100
2011-11-15,33.4,34.49,32.92,34.04,3578100
2011-11-16,35.38,36.85,34.81,35.58,7614500
2011-11-17,35.82,35.89,33.86,34.45,5292300
2011-11-18,34.41,34.68,33.39,33.5,2936200
2011-11-21,33.23,33.24,32.13,32.4,3474900
2011-11-22,32.28,32.41,31.08,31.38,3941700
2011-11-23,30.98,30.98,29.96,30.04,3302800
2011-11-25,29.94,30.52,29.76,29.8,1570400
2011-11-28,30.79,31.92,30.75,31.6,3662400
2011-11-29,31.71,32.17,31.3,31.49,2607100
2011-11-30,32.42,34.1,32.41,34.07,3789700
2011-12-01,34.14,34.51,33.85,34.27,2384100
2011-12-02,34.62,34.88,33.9,33.97,2237100
2011-12-05,33.59,34.39,32.38,34.09,3926400
2011-12-06,33.9,34.92,33.89,34.78,3133800
2011-12-07,34.45,35,33.63,34.8,2978400
2011-12-08,34.36,34.75,33.86,33.92,2792000
2011-12-09,34.15,34.6,34.01,34.39,3005300
2011-12-12,33.91,34.15,33.11,33.44,2875100
2011-12-13,33.6,33.89,32.5,32.7,3020600
2011-12-14,32.45,32.66,31.11,31.25,3202400
2011-12-15,31.61,31.68,30.48,31.07,3657200
2011-12-16,31.33,32.46,31.15,31.2,3991900
2011-12-19,31.39,31.39,30.08,30.2,3965600
2011-12-20,30.62,31.72,30.62,31.49,2477300
2011-12-21,31.01,31.02,29.75,30.31,4709100
2011-12-22,30.36,30.83,30.15,30.46,2320800
2011-12-23,30.54,30.82,30.33,30.81,1100200
2011-12-27,30.69,31.12,30.6,30.78,1150500
2011-12-28,30.69,30.78,29.81,29.91,1950400
2011-12-29,29.93,30.5,29.88,30.4,1536000
2011-12-30,30.48,30.61,30.25,30.33,1131900
