Date,Open,High,Low,Close,Volume
2000-01-03,9.1875,9.3125,8.9375,9.0625,413100
2000-01-04,8.8125,8.875,8.5625,8.6875,1071600
2000-01-05,8.625,8.75,8.3125,8.625,2031500
2000-01-06,8.5625,8.75,8.3125,8.625,2264600
2000-01-07,8.625,9,8.5625,8.9375,951800
2000-01-10,8.9375,9,8.75,8.875,528000
2000-01-11,8.875,8.9375,8.5,8.5625,869500
2000-01-12,8.5625,8.6875,8.5625,8.625,822000
2000-01-13,8.625,8.75,8.5625,8.625,1543700
2000-01-14,8.6875,8.8125,8.625,8.625,684900
2000-01-18,8.75,8.875,8.625,8.6875,628500
2000-01-19,8.625,8.9375,8.625,8.875,956800
2000-01-20,8.8125,8.875,8.6875,8.875,919400
2000-01-21,8.6875,8.8125,8.625,8.75,1078300
2000-01-24,8.75,8.8125,8.5625,8.625,1093700
2000-01-25,8.5625,8.625,8,8.25,1129300
2000-01-26,8.1875,8.1875,7.8125,7.9375,1229900
2000-01-27,7.875,8.125,7.625,7.75,855400
2000-01-28,7.8125,8,7.3125,7.875,2317300
2000-01-31,7.9375,8.0625,7.5,7.5625,1220500
2000-02-01,7.5625,7.6875,6.625,7.0625,2526600
2000-02-02,6.9375,7.0625,6.25,6.5625,4253300
2000-02-03,6.6875,7.25,6.125,6.25,12470500
2000-02-04,6.25,6.875,6.25,6.875,5468500
2000-02-07,6.75,6.8125,6.4375,6.5625,4201500
2000-02-08,6.625,6.6875,6.5,6.625,1661500
2000-02-09,6.625,6.6875,6.5,6.5625,2433200
2000-02-10,6.5625,6.6875,6.5,6.625,2126000
2000-02-11,6.625,8.25,6.5625,7.875,2928600
2000-02-14,7.75,8.375,7.75,7.75,2669900
2000-02-15,7.8125,7.875,7.3125,7.5,1043100
2000-02-16,7.75,8.1875,7.5625,8.0625,1792200
2000-02-17,8.1875,8.375,8,8.25,974000
2000-02-18,8.3125,8.3125,7.8125,7.8125,689200
2000-02-22,7.875,8.0625,7.75,7.75,283000
2000-02-23,7.9375,8,7.5625,7.625,1606600
2000-02-24,7.6875,7.6875,7.375,7.625,1712900
2000-02-25,7.625,8.25,7.3125,8.25,630300
2000-02-28,8.125,8.125,7.625,7.875,524900
2000-02-29,7.5625,7.625,7.5,7.5625,812100
2000-03-01,7.5625,7.5625,7.25,7.25,3371900
2000-03-02,7.375,7.5,7.25,7.3125,2389900
2000-03-03,7.25,8,7,7.0625,1496900
2000-03-06,7.125,7.25,7.0625,7.0625,997200
2000-03-07,7.0625,7.125,6.9375,7.0625,2005600
2000-03-08,7,7.125,6.9375,7.0625,1594800
2000-03-09,7.125,7.4375,7.125,7.375,1174800
2000-03-10,7.5,7.5625,7.375,7.375,657100
2000-03-13,7.375,7.375,7.1875,7.3125,752800
2000-03-14,7.375,7.375,7,7.0625,865800
2000-03-15,7.125,7.875,7.125,7.875,1157000
2000-03-16,7.9375,8.1875,7.8125,8.1875,1785600
2000-03-17,8.1875,8.25,7.875,8.125,1652300
2000-03-20,8.125,8.125,8,8.125,985400
2000-03-21,8.125,8.125,7.875,8,680300
2000-03-22,8,8.25,8,8.125,1184900
2000-03-23,8.1875,8.25,7.875,8.0625,2561800
2000-03-24,8.125,8.125,7.625,7.75,1309700
2000-03-27,7.8125,8,7.75,7.8125,751300
2000-03-28,7.8125,7.9375,7.75,7.875,924300
2000-03-29,7.8125,7.9375,7.75,7.8125,504900
2000-03-30,7.8125,7.9375,7.75,7.875,487900
2000-03-31,7.9375,8.0625,7.875,7.9375,1133600
2000-04-03,8.0625,9,8,8.875,2886300
2000-04-04,8.875,8.875,8.25,8.4375,1011500
2000-04-05,8,8.4375,8,8.25,453200
2000-04-06,8.5,8.6875,8.3125,8.375,803600
2000-04-07,8.25,8.375,8.125,8.1875,835400
2000-04-10,8.0625,8.3125,7.9375,8.1875,338600
2000-04-11,8.1875,8.5625,8.125,8.5625,988200
2000-04-12,8.5,8.5625,8.25,8.3125,493600
2000-04-13,8.375,8.4375,8.1875,8.25,867100
2000-04-14,8.125,8.125,7.6875,7.75,879500
2000-04-17,7.6875,7.8125,7.625,7.8125,766600
2000-04-18,7.8125,8.25,7.6875,8.1875,549200
2000-04-19,8.0625,8.125,7.8125,7.9375,782500
2000-04-20,8,8.25,7.9375,8.0625,1287600
2000-04-24,8.125,8.1875,8,8.1875,419900
2000-04-25,8.1875,8.875,8.125,8.875,762500
2000-04-26,8.5625,8.5625,8.25,8.375,547100
2000-04-27,8.375,9.0625,8.3125,8.625,1101900
2000-04-28,8.875,9.1875,8.8125,9.125,929600
2000-05-01,9,9.8125,9,9.5,1205900
2000-05-02,9.625,9.875,9.4375,9.5,1117200
2000-05-03,9.4375,9.5625,9.0625,9.1875,1285300
2000-05-04,9.1875,9.375,9.125,9.375,506300
2000-05-05,9.375,9.375,9.0625,9.3125,595700
2000-05-08,9.25,9.5625,9.25,9.4375,371600
2000-05-09,9.4375,9.5,9.375,9.4375,407400
2000-05-10,9.375,9.375,8.9375,9.0625,495900
2000-05-11,9.0625,9.3125,9,9.3125,429200
2000-05-12,9.3125,9.9375,9.3125,9.9375,1208200
2000-05-15,10,10.5625,9.75,10.125,1296200
2000-05-16,10.0625,10.375,10.0625,10.25,1095800
2000-05-17,10.25,10.75,9.875,9.9375,1055400
2000-05-18,9.8125,9.875,9.5,9.5625,466600
2000-05-19,9.125,9.5,9.0625,9.1875,468100
2000-05-22,9.1875,9.25,8.5,8.6875,827400
2000-05-23,8.6875,8.6875,8.4375,8.5625,792000
2000-05-24,8.4375,8.5,8,8.125,1245200
2000-05-25,8.1875,8.1875,8,8.0625,979200
2000-05-26,8.0625,8.5,8.0625,8.1875,1479800
2000-05-30,8.25,8.25,7.9375,8,959700
2000-05-31,8,8,7.6875,7.875,1951600
2000-06-01,8.125,8.1875,7.9375,8.0625,862200
2000-06-02,8.125,8.375,8,8.3125,975100
2000-06-05,8.3125,8.4375,8.25,8.375,371200
2000-06-06,8.375,8.4375,7.8125,7.9375,1154600
2000-06-07,7.75,7.75,7.4375,7.625,4017800
2000-06-08,7.625,8,7.5,7.6875,2260200
2000-06-09,7.75,7.8125,7.625,7.6875,199900
2000-06-12,7.6875,7.8125,7.4375,7.5625,1406400
2000-06-13,7.5,7.75,7.4375,7.6875,1060900
2000-06-14,7.625,7.8125,7.5625,7.8125,518100
2000-06-15,7.875,7.9375,7.75,7.9375,648700
2000-06-16,7.875,7.9375,7.75,7.9375,544100
2000-06-19,7.875,7.875,7.5625,7.75,531400
2000-06-20,7.8125,7.875,7.5625,7.6875,331400
2000-06-21,7.625,7.625,7.4375,7.5,336000
2000-06-22,7.25,7.375,7.125,7.375,908900
2000-06-23,7.3125,7.3125,7.1875,7.25,1618200
2000-06-26,7.25,7.4375,7.25,7.375,316700
2000-06-27,7.375,7.4375,7.25,7.3125,328100
2000-06-28,7.25,7.4375,7.1875,7.375,476300
2000-06-29,7.375,7.4375,7.1875,7.25,579600
2000-06-30,7.25,7.3125,7,7.0625,863200
2000-07-03,6.875,6.9375,6.625,6.6875,273100
2000-07-05,6.6875,7,6.4375,6.875,726800
2000-07-06,6.9375,7.125,6.8125,7.0625,445400
2000-07-07,7.125,7.3125,7,7.125,699900
2000-07-10,7.1875,7.1875,7,7,349200
2000-07-11,7.0625,7.0625,6.75,7,1342700
2000-07-12,6.9375,7.125,6.875,6.9375,235100
2000-07-13,7,7,6.875,6.9375,304900
2000-07-14,7,7,6.375,6.625,902800
2000-07-17,6.625,6.6875,6.5,6.625,425900
2000-07-18,6.625,6.625,6.1875,6.375,703900
2000-07-19,6.3125,6.5625,6.3125,6.4375,857300
2000-07-20,6.5,6.875,6.4375,6.8125,923900
2000-07-21,6.6875,6.8125,6.625,6.6875,310700
2000-07-24,6.625,6.6875,6.3125,6.5,431800
2000-07-25,6.375,6.5625,6.25,6.375,508200
2000-07-26,6.5625,6.5625,6.25,6.5,581700
2000-07-27,6.5,6.875,6.4375,6.875,1345500
2000-07-28,6.875,6.875,6.625,6.75,1201600
2000-07-31,6.875,6.9375,6.75,6.875,878500
2000-08-01,6.9375,7,6.8125,6.9375,993300
2000-08-02,6.9375,7.0625,6.9375,7.0625,1049500
2000-08-03,7,7,6.875,7,410600
2000-08-04,7,7,6.625,6.6875,263800
2000-08-07,6.6875,6.8125,6.6875,6.8125,362900
2000-08-08,6.75,6.9375,6.75,6.875,240200
2000-08-09,6.8125,6.875,6.5,6.625,217200
2000-08-10,6.5625,6.625,5.75,6.375,2830500
2000-08-11,6.25,6.5,6,6.5,529800
2000-08-14,6.5,6.5625,6.25,6.3125,449900
2000-08-15,6.375,6.5,6.3125,6.4375,308600
2000-08-16,6.4375,6.5,6.3125,6.5,427300
2000-08-17,6.5,6.625,6.4375,6.5,298400
2000-08-18,6.5,6.625,6.5,6.5625,556500
2000-08-21,6.5625,6.6875,6.5,6.625,5401000
2000-08-22,6.625,6.75,6.5625,6.625,671900
2000-08-23,6.6875,6.6875,6.25,6.4375,320900
2000-08-24,6.3125,6.5,6.1875,6.1875,290800
2000-08-25,6.25,6.375,6.1875,6.3125,421700
2000-08-28,6.25,6.375,6.1875,6.25,617800
2000-08-29,6.25,6.3125,6.1875,6.25,376800
2000-08-30,6.25,6.4375,6.25,6.375,707400
2000-08-31,6.3125,6.5625,6.25,6.5,2115800
2000-09-01,6.4375,6.5,6.125,6.125,297900
2000-09-05,6.25,6.25,6.125,6.1875,524200
2000-09-06,6.1875,6.3125,6.125,6.1875,374200
2000-09-07,6.1875,6.1875,6.125,6.1875,311300
2000-09-08,6.125,6.1875,6.0625,6.125,395200
2000-09-11,6.0625,6.125,6.0625,6.0625,152500
2000-09-12,6.0625,6.0625,5.9375,6,872500
2000-09-13,6,6.125,6,6,274300
2000-09-14,6,6.125,6,6.0625,262700
2000-09-15,6.0625,6.0625,5.9375,6.0625,1006000
2000-09-18,6.125,6.125,5.875,5.875,792200
2000-09-19,5.875,5.9375,5.625,5.75,597000
2000-09-20,5.75,5.8125,5.625,5.6875,419600
2000-09-21,5.6875,6.0625,5.6875,6,701100
2000-09-22,5.9375,6.0625,5.875,6.0625,387900
2000-09-25,6.0625,6.0625,5.875,6,520500
2000-09-26,6,6.1875,5.9375,6.125,561300
2000-09-27,6.0625,6.1875,5.9375,6.125,1357600
2000-09-28,6.0625,6.3125,6,6.0625,711700
2000-09-29,6.125,6.125,5.9375,6,646700
2000-10-02,6,6.125,6,6,236700
2000-10-03,6,6.0625,5.9375,6,285200
2000-10-04,6,6.0625,5.9375,6,554600
2000-10-05,6,6.0625,5.875,5.9375,334300
2000-10-06,5.9375,6,5.875,5.9375,596400
2000-10-09,5.9375,5.9375,5.625,5.75,1697500
2000-10-10,5.75,5.875,5.75,5.8125,374800
2000-10-11,5.8125,5.875,5.75,5.8125,673200
2000-10-12,5.75,5.9375,5.625,5.875,723100
2000-10-13,5.875,6,5.875,6,742000
2000-10-16,5.9375,6,5.8125,5.9375,398200
2000-10-17,5.9375,5.9375,5.8125,5.875,748800
2000-10-18,5.8125,5.8125,5.625,5.75,751700
2000-10-19,5.75,5.9375,5.6875,5.9375,478700
2000-10-20,5.875,6.125,5.75,6,4524500
2000-10-23,5.9375,6,5.8125,5.875,1483500
2000-10-24,5.875,6,5.8125,5.875,500100
2000-10-25,5.9375,6,5.8125,6,397700
2000-10-26,6.125,6.125,5.875,5.875,471500
2000-10-27,5.875,6.25,5.875,6.1875,1869900
2000-10-30,6.1875,6.3125,6.125,6.3125,784700
2000-10-31,6.4375,7.0625,6.4375,6.75,2958500
2000-11-01,6.8125,7.1875,6.6875,7,1139900
2000-11-02,7,7,6.8125,6.875,450400
2000-11-03,6.875,6.875,6.625,6.8125,287500
2000-11-06,6.8125,6.9375,6.6875,6.9375,694600
2000-11-07,6.875,7,6.6875,6.9375,1225000
