Date,Open,High,Low,Close,Volume
2005-01-03,19.01,19.2,18.74,18.83,785900
2005-01-04,18.81,19.13,18.72,18.95,1194200
2005-01-05,19.14,19.22,18.96,19,976700
2005-01-06,18.9,18.9,18.47,18.68,1328400
2005-01-07,18.69,18.77,18.47,18.66,727000
2005-01-10,18.67,18.69,18.5,18.56,741800
2005-01-11,18.47,18.64,18.35,18.6,986700
2005-01-12,18.61,18.88,18.48,18.88,559900
2005-01-13,18.77,19,18.68,18.97,962900
2005-01-14,18.97,19.13,18.87,19.06,407800
2005-01-18,19,19.1,18.82,19.04,896100
2005-01-19,19.01,19.18,19,19.09,582900
2005-01-20,18.9,18.98,18.71,18.86,762700
2005-01-21,18.92,18.97,18.66,18.69,601900
2005-01-24,18.73,18.78,18.54,18.56,679200
2005-01-25,18.56,18.97,18.55,18.72,560900
2005-01-26,18.76,18.81,18.67,18.7,374100
2005-01-27,18.65,18.9,18.65,18.73,546300
2005-01-28,18.79,18.79,18.37,18.61,875600
2005-01-31,18.74,19.04,18.67,19.04,554300
2005-02-01,18.98,19.23,18.94,19.1,797500
2005-02-02,18.95,19.08,18.83,18.97,857000
2005-02-03,19.11,19.82,19.11,19.74,3806400
2005-02-04,19.75,19.85,19.56,19.79,1428300
2005-02-07,19.7,19.93,19.52,19.75,1264900
2005-02-08,19.75,19.93,19.64,19.76,1043700
2005-02-09,19.8,19.85,19.65,19.68,982400
2005-02-10,19.62,19.7,19.55,19.61,695700
2005-02-11,19.64,19.9,19.48,19.66,751700
2005-02-14,19.74,19.89,19.59,19.7,882700
2005-02-15,19.71,19.82,19.65,19.77,1059300
2005-02-16,19.6,19.8,19.55,19.67,674600
2005-02-17,19.68,19.83,19.65,19.73,953500
2005-02-18,19.77,19.88,19.71,19.74,765900
2005-02-22,19.6,19.65,19.2,19.26,820600
2005-02-23,19.29,19.5,19.26,19.42,677100
2005-02-24,19.42,19.49,19.26,19.41,637500
2005-02-25,19.34,19.46,19.1,19.37,343800
2005-02-28,19.38,19.57,19.24,19.53,870600
2005-03-01,19.65,19.95,19.55,19.94,1544400
2005-03-02,19.91,19.92,19.73,19.88,1052400
2005-03-03,19.88,19.92,19.73,19.9,1090800
2005-03-04,19.92,20.04,19.85,19.99,918900
2005-03-07,19.98,19.99,19.65,19.72,959400
2005-03-08,19.73,20.01,19.71,20,1043100
2005-03-09,20,20.05,19.69,19.73,1196600
2005-03-10,19.71,19.71,19.43,19.44,1122600
2005-03-11,19.48,19.57,19.26,19.28,735300
2005-03-14,19.36,19.75,19.36,19.68,1121200
2005-03-15,19.67,19.73,19.4,19.4,765800
2005-03-16,19.33,19.34,18.51,18.89,2060400
2005-03-17,18.95,19.04,18.82,18.84,1348500
2005-03-18,18.85,18.91,18.47,18.5,4457000
2005-03-21,18.65,18.78,18.5,18.66,1755500
2005-03-22,18.66,19,18.64,18.69,2403600
2005-03-23,18.7,18.87,18.6,18.82,1313600
2005-03-24,18.87,18.87,18.66,18.82,1028200
2005-03-28,18.89,19.1,18.85,19.02,1078200
2005-03-29,19,19.02,18.8,18.82,1751500
2005-03-30,18.85,18.87,18.68,18.78,1288500
2005-03-31,18.85,19.01,18.77,18.94,1581800
2005-04-01,18.95,19.06,18.66,18.72,1042600
2005-04-04,18.71,18.72,18.43,18.69,938800
2005-04-05,18.67,19.06,18.57,19.01,1167700
2005-04-06,19.08,19.25,18.94,19.13,767600
2005-04-07,19.14,19.2,18.91,19.13,657200
2005-04-08,19.14,19.19,18.95,18.97,475900
2005-04-11,18.96,18.96,18.76,18.84,483900
2005-04-12,18.84,18.84,18.36,18.66,1412100
2005-04-13,18.67,18.72,18.45,18.46,541300
2005-04-14,18.45,18.53,18.31,18.33,991300
2005-04-15,18.25,18.29,17.92,17.92,1183500
2005-04-18,17.98,18.23,17.91,18.15,999000
2005-04-19,18.14,18.51,18,18.45,1075700
2005-04-20,18.43,18.53,18.12,18.2,1262800
2005-04-21,18.34,18.53,18.17,18.39,646700
2005-04-22,18.35,18.35,17.97,18.04,843500
2005-04-25,18.16,18.33,18.13,18.26,835200
2005-04-26,18.29,18.45,18.08,18.08,776800
2005-04-27,18.08,18.29,17.94,18.22,1316700
2005-04-28,18.08,18.79,18.02,18.07,1944500
2005-04-29,18.28,18.4,18.07,18.27,1103200
2005-05-02,18.35,18.75,18.34,18.57,1148700
2005-05-03,18.61,19.3,18.61,19,1626300
2005-05-04,19.05,19.26,19.01,19.25,980800
2005-05-05,19.25,19.39,18.98,19,765100
2005-05-06,19.1,19.22,18.94,18.94,725400
2005-05-09,18.95,19.19,18.87,19.15,893700
2005-05-10,19.15,19.25,19,19.1,1122700
2005-05-11,19.12,19.5,19.04,19.31,772900
2005-05-12,19.34,19.37,19.17,19.23,1018900
2005-05-13,19.3,19.47,19.21,19.22,1231900
2005-05-16,19.27,19.78,19.25,19.76,1907200
2005-05-17,19.76,19.99,19.7,19.72,2030700
2005-05-18,19.95,20.06,19.87,19.91,1874400
2005-05-19,19.96,20.02,19.81,19.93,636800
2005-05-20,19.93,19.93,19.38,19.74,1641600
2005-05-23,19.78,19.91,19.72,19.81,635900
2005-05-24,19.84,19.84,19.66,19.69,1099700
2005-05-25,19.73,19.8,19.57,19.75,1062100
2005-05-26,19.79,19.79,19.58,19.65,730700
2005-05-27,19.65,19.81,19.61,19.8,637700
2005-05-31,19.87,20.02,19.72,20,2339600
2005-06-01,19.95,20.03,19.75,19.99,1094200
2005-06-02,20.03,20.1,19.95,20.05,1347000
2005-06-03,20,20.14,19.87,19.9,781900
2005-06-06,19.9,20.09,19.82,20.07,823700
2005-06-07,20.07,20.39,20,20.2,1762200
2005-06-08,20.28,20.31,20.11,20.11,739500
2005-06-09,20.13,20.25,19.93,20.2,754900
2005-06-10,20.2,20.23,20.11,20.21,497200
2005-06-13,20.2,20.45,20.1,20.18,862700
2005-06-14,20.17,20.45,20.12,20.35,902500
2005-06-15,20.4,20.5,20.14,20.19,752700
2005-06-16,20.23,20.3,20.16,20.18,893600
2005-06-17,20.23,20.42,20.13,20.34,1539100
2005-06-20,20.22,20.49,20.17,20.47,931600
2005-06-21,20.44,20.74,20.34,20.71,896300
2005-06-22,20.77,21.02,20.75,20.93,1390900
2005-06-23,20.95,20.99,20.51,20.52,647300
2005-06-24,20.53,20.53,20.32,20.32,584600
2005-06-27,20.31,20.9,20.31,20.86,1375900
2005-06-28,21.02,21.69,20.94,21.54,1835800
2005-06-29,21.29,21.34,20.88,20.91,1411200
2005-06-30,20.83,20.88,20.47,20.52,982400
2005-07-01,20.7,20.75,20.49,20.63,909100
2005-07-05,20.68,21.1,20.56,21.02,793000
2005-07-06,20.95,21.13,20.91,20.98,738100
2005-07-07,20.3,20.58,20.22,20.55,1620800
2005-07-08,20.35,20.99,20.35,20.86,728000
2005-07-11,20.71,21.31,20.66,21.07,831500
2005-07-12,20.96,21.11,20.8,20.99,924100
2005-07-13,20.89,21.17,20.88,21.04,720200
2005-07-14,21.05,21.25,20.97,21.02,614900
2005-07-15,21,21.18,20.99,21.13,810300
2005-07-18,21.08,21.17,21,21.07,623100
2005-07-19,21.14,21.7,21.12,21.65,1153600
2005-07-20,21.66,21.7,21.43,21.47,1293300
2005-07-21,21.55,21.59,21.26,21.38,777000
2005-07-22,21.32,21.56,21.26,21.46,495100
2005-07-25,21.37,21.67,21.37,21.4,690100
2005-07-26,21.41,21.53,21.18,21.28,618400
2005-07-27,21.32,21.45,21.24,21.43,695800
2005-07-28,21.43,22,21.4,21.88,1216400
2005-07-29,21.82,21.91,21.49,21.59,895900
2005-08-01,21.48,22.54,21.31,21.41,658400
2005-08-02,21.47,21.85,21.41,21.64,863300
2005-08-03,21.65,21.67,21.32,21.48,1104600
2005-08-04,21.49,21.58,21.39,21.43,900100
2005-08-05,21.43,21.44,21.06,21.19,1339200
2005-08-08,21.23,21.4,21.06,21.08,749300
2005-08-09,21.1,21.29,21.05,21.19,688800
2005-08-10,21.25,21.65,21.15,21.18,576600
2005-08-11,21.24,21.3,20.79,21.08,783200
2005-08-12,21.13,21.29,20.93,21.08,764200
2005-08-15,21.11,21.36,20.9,21.15,671900
2005-08-16,21.19,21.19,20.9,20.91,804900
2005-08-17,20.92,21.09,20.81,20.94,608700
2005-08-18,20.88,20.9,20.72,20.8,600400
