Date,Open,High,Low,Close,Volume
2001-01-02,1320.28,1320.28,1276.05,1283.27,1129400000
2001-01-03,1283.27,1347.76,1274.62,1347.5601,1880700000
2001-01-04,1347.5601,1350.24,1329.14,1333.34,2131000000
2001-01-05,1333.34,1334.77,1294.95,1298.35,1430800000
2001-01-08,1298.35,1298.35,1276.29,1295.86,1115500000
2001-01-09,1295.86,1311.72,1295.14,1300.8,1191300000
2001-01-10,1300.8,1313.76,1287.28,1313.27,1296500000
2001-01-11,1313.27,1332.1899,1309.72,1326.8199,1411200000
2001-01-12,1326.8199,1333.21,1311.59,1318.55,1276000000
2001-01-16,1318.3199,1327.8101,1313.33,1326.65,1205700000
2001-01-17,1326.65,1346.92,1325.41,1329.47,1349100000
2001-01-18,1329.89,1352.71,1327.41,1347.97,1445000000
2001-01-19,1347.97,1354.55,1336.74,1342.54,1407800000
2001-01-22,1342.54,1353.62,1333.84,1342.9,1164000000
2001-01-23,1342.9,1362.9,1339.63,1360.4,1232600000
2001-01-24,1360.4,1369.75,1357.28,1364.3,1309000000
2001-01-25,1364.3,1367.35,1354.63,1357.51,1258000000
2001-01-26,1357.51,1357.51,1342.75,1354.95,1098000000
2001-01-29,1354.92,1365.54,1350.36,1364.17,1053100000
2001-01-30,1364.17,1375.6801,1356.2,1373.73,1149800000
2001-01-31,1373.73,1383.37,1364.66,1366.01,1295300000
2001-02-01,1366.01,1373.5,1359.34,1373.47,1118800000
2001-02-02,1373.47,1376.38,1348.72,1349.47,1048400000
2001-02-05,1349.47,1354.5601,1344.48,1354.3101,1013000000
2001-02-06,1354.3101,1363.55,1350.04,1352.26,1059600000
2001-02-07,1352.26,1352.26,1334.26,1340.89,1158300000
2001-02-08,1341.1,1350.3199,1332.42,1332.53,1107200000
2001-02-09,1332.53,1332.53,1309.98,1314.76,1075500000
2001-02-12,1314.76,1330.96,1313.64,1330.3101,1039100000
2001-02-13,1330.3101,1336.62,1317.51,1318.8,1075200000
2001-02-14,1318.8,1320.73,1304.72,1315.92,1150300000
2001-02-15,1315.92,1331.29,1315.92,1326.61,1153700000
2001-02-16,1326.61,1326.61,1293.1801,1301.53,1257200000
2001-02-20,1301.53,1307.16,1278.4399,1278.9399,1112200000
2001-02-21,1278.9399,1282.97,1253.16,1255.27,1208500000
2001-02-22,1255.27,1259.9399,1228.33,1252.8199,1365900000
2001-02-23,1252.8199,1252.8199,1215.4399,1245.86,1231300000
2001-02-26,1245.86,1267.6899,1241.71,1267.65,1130800000
2001-02-27,1267.65,1272.76,1252.26,1257.9399,1114100000
2001-02-28,1257.9399,1263.47,1229.65,1239.9399,1225300000
2001-03-01,1239.9399,1241.36,1214.5,1241.23,1294900000
2001-03-02,1241.23,1251.01,1219.74,1234.1801,1294000000
2001-03-05,1234.1801,1242.55,1234.04,1241.41,929200000
2001-03-06,1241.41,1267.42,1241.41,1253.8,1091800000
2001-03-07,1253.8,1263.86,1253.8,1261.89,1132200000
2001-03-08,1261.89,1266.5,1257.6,1264.74,1114100000
2001-03-09,1264.74,1264.74,1228.42,1233.42,1085900000
2001-03-12,1233.42,1233.42,1176.78,1180.16,1229000000
2001-03-13,1180.16,1197.83,1171.5,1197.66,1360900000
2001-03-14,1197.66,1197.66,1155.35,1166.71,1397400000
2001-03-15,1166.71,1182.04,1166.71,1173.5601,1259500000
2001-03-16,1173.5601,1173.5601,1148.64,1150.53,1543560000
2001-03-19,1150.53,1173.5,1147.1801,1170.8101,1126200000
2001-03-20,1170.8101,1180.5601,1142.1899,1142.62,1235900000
2001-03-21,1142.62,1149.39,1118.74,1122.14,1346300000
