Date,Open,High,Low,Close,Volume
2015-03-31,20,20,20,20,0
2015-04-01,26.15,26.84,25.49,26.15,23177400
2015-04-02,26.72,27.27,25.83,26.5,5166100
2015-04-06,26.72,26.8,25.35,25.8,2090200
2015-04-07,25.84,25.85,25.16,25.24,939400
2015-04-08,25.35,25.48,25,25.15,921500
2015-04-09,25.1,26.47,25.05,26.32,751600
2015-04-10,26.34,26.8,25,25.29,966300
2015-04-13,25.24,25.59,25.12,25.37,347100
2015-04-14,25.25,25.9,25.25,25.8,274600
2015-04-15,25.88,26.05,25.03,25.12,355300
2015-04-16,25.04,25.25,24.55,24.78,1111000
2015-04-17,24.55,25.6,24.5,25.16,493400
2015-04-20,25.19,25.49,25.04,25.14,322500
2015-04-21,25.18,25.24,24.64,24.78,533200
2015-04-22,24.76,24.88,24.73,24.77,190000
2015-04-23,24.75,25.08,24.75,25.05,225800
2015-04-24,24.9,25.66,24.9,25.63,370100
2015-04-27,25.75,26.4,25.73,26.16,715600
2015-04-28,26.22,26.22,24.87,25.15,474600
2015-04-29,24.86,25.25,24.79,24.88,251300
2015-04-30,24.9,25.42,24.9,25.07,149300
2015-05-01,25.19,26.05,24.91,25.96,483200
2015-05-04,26,26.25,25.681,25.98,207400
2015-05-05,25.96,26.1,25.29,25.42,185100
2015-05-06,25.45,25.55,24.15,24.54,718200
2015-05-07,24.69,25.49,24.525,24.81,363300
2015-05-08,25.28,25.4,24.53,24.88,525500
2015-05-11,26.25,26.29,25.57,25.68,1211100
2015-05-12,26.1,27.73,25.75,26.77,2299800
2015-05-13,26.69,27.5,26.4,26.5,1450000
2015-05-14,26.64,27.1,26.12,26.23,445500
2015-05-15,26.23,26.89,26.05,26.51,423500
2015-05-18,26.5,26.99,26.22,26.23,393900
2015-05-19,26.31,26.5,25.512,25.94,418300
2015-05-20,25.89,26.8,25.89,26.38,315100
2015-05-21,26.62,26.68,25.49,25.6,587300
2015-05-22,25.75,26.65,25.75,26.1,519300
2015-05-26,26.03,26.75,25.56,26.42,332500
2015-05-27,26.5,27.21,26.39,26.98,348900
2015-05-28,26.87,27.2,26.63,26.66,257500
2015-05-29,26.62,27.07,26.335,26.93,276800
2015-06-01,27.13,27.48,26.86,27.09,281200
2015-06-02,27.09,28.15,27.059,27.63,429000
2015-06-03,27.85,29.06,27.805,28.91,493500
2015-06-04,29,29.43,28.2,28.92,576200
2015-06-05,28.88,29.116,28.31,28.69,387000
2015-06-08,28.67,29.78,28.63,29.1,708700
2015-06-09,29.18,29.63,28.64,29.5,550900
2015-06-10,29.52,30.25,29.18,30.16,469200
2015-06-11,30.18,30.86,29.65,29.69,488500
2015-06-12,29.94,29.94,28.73,29.28,388500
2015-06-15,29.14,29.85,29,29.41,379000
2015-06-16,29.32,30.71,29.19,30.46,635400
2015-06-17,30.59,30.64,30.2,30.54,645500
2015-06-18,30.69,31.75,30.68,31.35,890600
2015-06-19,31.37,33,31.189,31.8,2050100
2015-06-22,32.1,32.1,30.79,31.36,502200
2015-06-23,31.34,32.03,31.25,31.82,471100
2015-06-24,31.84,32.06,31.25,31.46,423500
2015-06-25,31.56,31.78,30.67,31.01,432400
2015-06-26,30.96,30.96,29.37,29.54,1697500
2015-06-29,29.28,29.5,27.92,28.18,824000
2015-06-30,28.26,28.92,27.65,28.19,660600
2015-07-01,28.49,28.9,28.17,28.29,1241800
2015-07-02,28.29,28.29,26.89,27.14,1284300
2015-07-06,26.85,27.8,26.39,27.27,1009200
2015-07-07,27.14,27.47,26.72,26.83,1233000
2015-07-08,26.69,26.755,25.73,26.08,1290500
2015-07-09,26.21,26.82,26.18,26.61,636400
2015-07-10,27.07,27.2,26.7,26.98,539900
2015-07-13,27.25,27.51,26.26,26.65,387100
2015-07-14,26.51,27,26.44,26.95,355100
2015-07-15,26.81,26.965,26.11,26.43,320000
2015-07-16,26.45,26.88,26.45,26.69,299000
2015-07-17,26.74,26.96,26.05,26.29,617000
2015-07-20,26.24,26.69,25.702,26.6,649100
2015-07-21,26.48,26.89,26.23,26.65,236900
2015-07-22,26.45,27.02,26.45,26.98,337700
2015-07-23,26.91,27.2,26.6,26.91,326000
2015-07-24,27.03,27.13,26.42,26.54,278700
