Date,Open,High,Low,Close,Volume
2014-06-30,79.15,79.39,78.65,79.2,6562000
2014-07-01,79.35,79.82,78.93,79.73,5872300
2014-07-02,79.81,80.43,79.7,80.17,5440100
2014-07-03,80.5,81.28,80.09,80.99,5735700
2014-07-07,80.67,80.95,80.21,80.82,5873900
2014-07-08,80.63,80.86,80.42,80.65,7787900
2014-07-09,81.11,81.11,80.38,80.77,5071200
2014-07-10,79.93,80.68,79.8,80.43,5090200
2014-07-11,79.9,80.2,79.15,79.6,8623300
2014-07-14,79.44,79.78,79.38,79.52,7609800
2014-07-15,79.39,79.91,79.15,79.44,5984000
2014-07-16,79.72,79.94,79.58,79.62,6266900
2014-07-17,79.11,79.21,77.88,78.11,12569900
2014-07-18,78.55,79.43,78.25,79.39,8373000
2014-07-21,79.41,79.97,79.11,79.67,7654300
2014-07-22,80.09,81.87,79.99,81.53,10753200
2014-07-23,81.89,81.97,81.42,81.6,10326300
2014-07-24,77.6,77.63,75.66,76.17,37728500
2014-07-25,76,76.58,75.82,76.1,13574800
2014-07-28,76.1,76.25,75.53,75.83,10938900
2014-07-29,75.65,75.95,75.26,75.31,11324900
2014-07-30,75.68,76.23,75.15,76.04,10726100
2014-07-31,75.39,75.6,73.65,73.72,15257100
2014-08-01,73.67,73.85,71.82,72.55,15202500
2014-08-04,72.87,73.47,72.83,73.26,13114200
2014-08-05,73.2,73.35,72.56,72.75,10306400
2014-08-06,72.42,73.15,72.16,72.89,7324400
2014-08-07,73.28,73.35,72.34,72.49,9402400
2014-08-08,72.72,73.96,72.5,73.88,9140700
2014-08-11,74.2,74.98,73.92,74.73,8818500
2014-08-12,74.86,74.93,73.9,74.14,7790000
2014-08-13,74.58,74.65,74.04,74.5,7047800
2014-08-14,74.76,74.99,74.6,74.76,6482100
2014-08-15,75.13,75.13,73.99,74.41,9794400
2014-08-18,74.83,75.1,74.61,75.03,5180200
2014-08-19,75.05,75.22,74.91,75.13,7903300
2014-08-20,74.55,76.64,74.55,76.44,12123300
2014-08-21,76.61,77.31,76.45,76.77,8646500
2014-08-22,76.71,77.22,76.71,76.82,5082400
2014-08-25,77.17,77.3,76.34,76.59,4752000
