Date,Open,High,Low,Close,Volume
2019-01-02,56.2,58,55.92,57.4,9896600
2019-01-03,55.95,56.84,55.52,55.7,14422200
2019-01-04,56.5,56.83,55.21,56.6,14177300
2019-01-07,56.39,57.16,55.95,56.44,12352000
2019-01-08,56.71,56.88,55.61,55.95,12110000
2019-01-09,56.26,57.11,56.14,56.61,10971000
2019-01-10,56.19,56.99,56.1,56.8,10958200
2019-01-11,56.47,58.17,56.33,57.5,12024300
2019-01-14,57.02,57.65,56.37,57.3,9449400
2019-01-15,57.32,57.4,55.56,55.73,17423400
2019-01-16,55.75,56.08,55.16,55.27,13856000
2019-01-17,54.97,55.2,54.37,54.77,18365000
2019-01-18,55.39,55.9,54.99,55.27,28020000
2019-01-22,54.97,54.99,53.94,54.29,17867500
2019-01-23,52.92,53.57,51.22,51.77,33788600
2019-01-24,51.95,51.98,50.41,50.81,32782700
2019-01-25,50.93,52.03,50.28,51.3,19516200
2019-01-28,50.32,51.29,50.24,50.64,24457600
2019-01-29,50.49,50.84,49.34,49.4,26266600
2019-01-30,49.68,50.87,49.21,50.17,18124100
2019-01-31,51.2,51.28,49.1,49.52,24736300
2019-02-01,49.58,50.28,49.4,49.61,15533200
2019-02-04,49.71,49.8,49.47,49.69,10880000
2019-02-05,49.73,51.08,49.72,50.73,15454200
2019-02-06,50.94,51.64,50.93,51.1,11052900
2019-02-07,50.83,51.12,50.27,50.55,10623300
2019-02-08,50.24,50.68,49.91,50.29,12461200
2019-02-11,50.55,51.3,50.38,50.83,9971800
2019-02-12,51.3,52.18,51.02,51.66,16637600
2019-02-13,52,52.49,51.56,51.59,11004000
2019-02-14,51.5,51.77,51.09,51.57,17895000
2019-02-15,52.08,52.36,51.6,51.98,12239500
2019-02-19,52,52.48,51.75,52.01,8258400
2019-02-20,52.25,52.92,52.14,52.45,12863700
2019-02-21,52.5,52.59,51.9,52.35,7826200
2019-02-22,52.69,53.15,52.64,53.12,13394500
2019-02-25,53.78,53.97,52.9,52.99,15341700
2019-02-26,53.08,53.22,52.28,53.03,11366700
2019-02-27,52.95,53.13,52.27,53.04,10426200
2019-02-28,53,53.76,52.71,53.39,19000200
2019-03-01,54,54.4,53.71,54.2,12659000
2019-03-04,54.58,54.7,53.26,53.78,14021700
2019-03-05,53.9,54.23,53.7,53.94,10092800
2019-03-06,53.89,55.46,53.73,54.8,20521300
2019-03-07,54.83,55.05,53.61,54.03,13667300
2019-03-08,53.45,53.63,53.03,53.53,10117100
2019-03-11,53.72,54.75,53.65,54.35,10738800
2019-03-12,54.66,55.31,54.54,54.84,9575300
2019-03-13,55.03,55.94,55,55.39,9198900
2019-03-14,55.53,55.87,55.25,55.4,7306100
2019-03-15,55,57.34,54.92,56.6,27985600
2019-03-18,56.62,57.19,56.44,56.83,13089300
2019-03-19,57.17,57.68,56.78,56.97,9363700
2019-03-20,57.03,57.69,56.75,57.16,8804800
2019-03-21,57.23,58.28,57.2,57.77,19542700
2019-03-22,57.68,58.09,56.75,56.82,10243500
2019-03-25,56.58,56.94,56.07,56.64,6929600
2019-03-26,57.15,58.39,56.67,58,16051800
2019-03-27,57.35,57.67,56.32,56.91,11934400
2019-03-28,57.03,57.39,56.34,56.55,11064300
2019-03-29,57,57.56,56.94,57.03,8529100
2019-04-01,57.64,58.15,57.11,57.81,12066500
2019-04-02,57.98,58.53,57.66,58.09,7614500
2019-04-03,58.2,58.29,57.18,57.68,11563400
2019-04-04,57.75,58.61,57.69,57.86,9905100
2019-04-05,57.98,58.19,57.69,57.99,12332600
2019-04-08,57.79,58.49,57.51,57.76,8942400
2019-04-09,57.57,57.66,57.03,57.44,11713400
2019-04-10,57.71,57.86,56.1,56.33,15976500
2019-04-11,56.44,56.9,55.79,55.9,13903800
2019-04-12,56.28,57.17,56.07,56.95,13483500
2019-04-15,57.14,57.67,57.03,57.18,10712500
2019-04-16,57.46,71.03,57.29,70.45,86755900
2019-04-17,78.82,82.52,76.49,79.08,156019300
2019-04-18,78.72,80.2,78.02,79.89,41621200
2019-04-22,79.83,82.5,79.34,81.97,33292500
2019-04-23,83.9,87.96,83.27,86.72,56973700
2019-04-24,87.04,88.63,85.3,86.83,40290400
2019-04-25,86.17,86.32,84.52,85.07,20732200
2019-04-26,84.51,86.76,84.21,86.64,18860600
2019-04-29,86.4,87.98,85.84,87.25,17930000
2019-04-30,86.98,87.46,86.05,86.13,17582400
2019-05-01,87.17,88.22,86.15,86.37,28211500
2019-05-02,87.5,90.34,86.15,87.14,40342000
2019-05-03,87.76,89.82,87.06,89.29,21068400
2019-05-06,86.33,88.7,86.14,88.25,15682100
2019-05-07,87.2,88.15,84.78,85.2,21579500
2019-05-08,84.85,85.72,84.11,84.54,15500700
2019-05-09,83.37,84.84,82.26,83.78,14516000
2019-05-10,83.38,86.33,83.35,85.84,15955600
2019-05-13,83.24,84.85,82.99,83.89,16689000
2019-05-14,84.27,86.44,84,86.13,14353700
2019-05-15,85.55,87,84.89,86.26,11784800
2019-05-16,83.79,84.8,82.13,82.81,22498800
2019-05-17,80.49,83.12,80,81.5,19523400
2019-05-20,77.95,78.33,76.07,76.62,32679300
2019-05-21,78.91,79.04,77.22,77.75,17282200
2019-05-22,69.13,71.74,67.97,69.31,66150700
2019-05-23,67.02,68.27,65.9,68.26,31820700
2019-05-24,68.93,69.15,65.97,66.21,21420000
2019-05-28,66.64,67.71,65.24,65.37,22667300
2019-05-29,65.36,66.15,64.76,65.76,16312600
2019-05-30,65.97,67.07,65.93,66.59,11554600
2019-05-31,65.78,67.84,65.53,66.82,15060300
2019-06-03,67.09,68.13,66.28,66.66,13620700
2019-06-04,67.61,68.5,66.7,68.45,15866700
2019-06-05,68.04,68.33,65.83,67.02,11779200
2019-06-06,66.92,67.97,66.27,67.59,10781700
2019-06-07,67.69,68.78,67.3,68.69,10495600
2019-06-10,69,71.46,69,70.54,15229200
2019-06-11,71.58,72.22,70.27,71.24,11839500
2019-06-12,69.53,70.37,69.2,69.59,9396200
2019-06-13,69.97,70.49,69.38,69.93,6790500
2019-06-14,68.35,69.12,67.9,68.72,12119500
2019-06-17,69.09,69.98,68.9,69.11,9411100
2019-06-18,69.69,72.39,69.67,71.96,14508000
2019-06-19,72.37,72.62,70.8,71.8,11999300
2019-06-20,73.19,73.67,72.23,72.74,9871800
2019-06-21,72.31,73.17,72.31,72.72,15244500
2019-06-24,72.97,73.45,72.2,73.16,8893000
2019-06-25,73.23,74.14,72.52,72.55,8953400
2019-06-26,73.76,75.69,73.65,74.95,13808000
2019-06-27,75.34,75.9,75.17,75.43,11151900
2019-06-28,75.66,76.44,74.81,76.07,29217500
2019-07-01,80.67,80.76,77.08,77.52,17693000
2019-07-02,77.28,77.48,76.62,77.01,7075600
2019-07-03,77.07,77.23,76.05,76.63,5290400
2019-07-05,74.2,76.72,74.1,76.66,9220800
2019-07-08,75.98,77.03,75.93,76.63,7924900
2019-07-09,76.44,76.84,75.84,76.55,7506500
2019-07-10,76.83,76.91,74.08,74.36,15075700
2019-07-11,74.52,75.78,73.3,73.71,14298400
2019-07-12,74.25,74.98,73.66,74.9,8028100
2019-07-15,75.15,75.9,74.79,75.43,8898200
2019-07-16,75.11,76.5,74.55,75.67,9909600
2019-07-17,78.57,79.4,75.71,75.76,20602300
2019-07-18,74.97,75.35,74.05,74.37,12580800
