Date,Open,High,Low,Close,Volume
2025-01-02,32.97,33.2,32.455,32.61,2364200
2025-01-03,32.75,32.88,32.37,32.68,2566200
2025-01-06,32.64,33.52,32.64,33.38,3793400
2025-01-07,33.38,33.8,32.34,32.4,4910900
2025-01-08,32.02,32.2,31.61,31.86,3461100
2025-01-10,31.33,31.427,30.78,30.81,4092500
2025-01-13,30.78,31.25,30.685,31.17,5288700
2025-01-14,31.02,32.09,31.02,31.69,3066900
2025-01-15,32.36,32.59,32.01,32.07,3982400
2025-01-16,31.96,32.82,31.8,32.72,3194400
2025-01-17,33.14,33.18,32.45,32.74,4687200
2025-01-21,32.82,33.027,32.44,32.74,4097200
2025-01-22,32.69,33.15,32.42,32.58,2883100
2025-01-23,32.44,33.32,32.32,33.26,3322000
2025-01-24,33.24,34.19,33.195,34.06,3637900
2025-01-27,34.06,35.68,34.06,34.99,4581800
2025-01-28,34.98,35.605,34.61,35.42,3436100
2025-01-29,35.54,35.92,35.09,35.18,3170700
2025-01-30,35.47,35.71,34.99,35.21,3872300
2025-01-31,35.21,36.08,35.115,35.7,4195900
2025-02-03,35.08,35.86,35.08,35.4,4324700
2025-02-04,35.4,36.52,35.36,36.47,8982800
2025-02-05,34.9,34.9,33.12,33.58,10689200
2025-02-06,33.79,34.77,33.79,34.59,6763700
2025-02-07,34.7,34.78,33.39,33.8,5404300
2025-02-10,34.035,34.2,33.58,33.63,3577600
2025-02-11,34.22,34.425,33.315,33.93,6173000
2025-02-12,33.78,34.15,33.515,34,4203100
2025-02-13,34,34.21,33.67,34.01,4747800
2025-02-14,34.32,34.895,34.22,34.69,4674800
2025-02-18,34.89,35.383,34.77,35.23,4722600
2025-02-19,35.02,35.1,34.16,34.47,5879600
2025-02-20,34.54,34.68,33.1,33.87,4679300
2025-02-21,33.905,34.035,32.73,32.77,3272500
2025-02-24,32.75,32.94,32.1,32.85,4580000
2025-02-25,32.91,32.98,31.92,32.48,4801300
2025-02-26,32.38,33.35,32.38,32.6,4947700
2025-02-27,32.55,32.61,31.78,31.88,4630500
2025-02-28,31.38,31.83,31.143,31.71,20830100
2025-03-03,31.96,32.1,30.045,30.19,7610400
2025-03-04,29.9,31.47,29.72,30.72,8287700
2025-03-05,30.89,31.655,30.75,31.515,4345000
2025-03-06,31.36,31.92,31.04,31.33,4277700
2025-03-07,31.12,33.485,31.06,32.62,7333100
2025-03-10,32.36,32.77,31.71,32.03,4409600
2025-03-11,32.07,32.72,31.27,31.36,4387500
2025-03-12,31.64,31.755,30.625,30.74,3220000
2025-03-13,30.62,30.92,30.06,30.08,3915800
2025-03-14,30.51,31.2,30.29,30.94,3591500
2025-03-17,30.87,31.72,30.87,31.36,2934000
2025-03-18,31.31,31.46,30.75,30.99,2764700
2025-03-19,31,31.7,31,31.44,3163200
2025-03-20,31.1,31.72,31.005,31.21,2959100
2025-03-21,30.98,30.99,30.3,30.49,18725400
2025-03-24,31,31.825,30.925,31.66,3982000
2025-03-25,31.72,31.97,31.21,31.27,2509100
2025-03-26,31.31,31.905,31.14,31.83,4605300
2025-03-27,31.73,32.275,31.58,31.84,2769900
2025-03-28,31.76,31.76,30.395,30.63,3651000
2025-03-31,30.49,31.3,30.13,31.2,10750100
2025-04-01,30.94,31.69,30.555,31.41,4490200
2025-04-02,30.88,31.73,30.88,31.47,3824200
2025-04-03,30.33,31.27,29.94,30.18,7911700
