Date,Open,High,Low,Close,Volume
2020-01-02,75.26,75.4,74.61,75.25,1310700
2020-01-03,74.16,75.33,74.13,75.08,937700
2020-01-06,74.84,75.61,74.83,75.55,1668500
2020-01-07,75.18,75.4,74.5,75.11,1177900
2020-01-08,75.08,75.58,74.65,75.53,1217900
2020-01-09,75.64,75.93,75.16,75.58,1404400
2020-01-10,75.86,75.99,75.39,75.95,852400
2020-01-13,76.1,76.98,75.9,76.92,921200
2020-01-14,77.11,77.93,76.92,77.75,823300
2020-01-15,77.59,78.43,77.59,78.05,669200
2020-01-16,78.39,79.03,78.11,78.99,588900
2020-01-17,79.13,79.5,78.96,79.47,815600
2020-01-21,79.47,80.08,79.03,79.9,1028200
2020-01-22,79.95,80.67,79.53,80.55,860200
2020-01-23,80.24,80.53,79.15,80.5,970200
2020-01-24,82.11,85.59,82.01,83.19,2203900
2020-01-27,82.1,82.69,81.59,82.03,1086700
2020-01-28,82.4,83.13,82.22,82.9,546900
2020-01-29,82.85,83.7,82.23,83.08,1009500
2020-01-30,82.47,82.72,80.97,82.66,1006800
2020-01-31,82.15,82.59,79.41,79.87,1723500
2020-02-03,80,80.3,79.16,79.22,708900
2020-02-04,80.24,81.16,80.12,80.67,701800
2020-02-05,80.72,82.63,80.72,82.17,836600
2020-02-06,82.53,83.38,81.5,83.07,1135800
2020-02-07,82.86,83.08,81.24,81.34,1194900
2020-02-10,81.36,82.77,80.86,82.75,1414400
2020-02-11,84,89.65,83.69,88.5,3517400
2020-02-12,89.65,90.15,86.77,87,2203600
2020-02-13,86.65,87.24,86,86.24,1025200
2020-02-14,86.41,86.41,84.78,85.98,863600
2020-02-18,85.7,86.42,85.08,85.4,1146800
2020-02-19,85.5,85.76,84.96,85.49,777800
2020-02-20,85.03,85.47,83.99,84.65,859200
2020-02-21,84.23,84.46,83.47,84.09,755400
2020-02-24,82.71,83.29,81.71,82.86,1393600
2020-02-25,83.16,83.68,80.18,81.05,2456600
2020-02-26,81.6,82.52,80.53,81.04,1276300
2020-02-27,79,81.08,77.95,79.23,2633000
2020-02-28,76.99,77.91,75.18,77.62,2977000
2020-03-02,77.76,82.26,77.76,82.23,1701400
2020-03-03,82.08,83.79,77.23,77.56,2513100
2020-03-04,80.05,82.89,79.14,82.7,2078900
2020-03-05,80.56,82.93,80.08,81.11,1299400
2020-03-06,78.77,82.87,78.26,81.84,1952000
2020-03-09,76.04,79.28,75.3,77.2,2564700
2020-03-10,79.29,79.69,74.55,77.72,2069700
2020-03-11,75.9,77.21,73.24,74.87,2692700
2020-03-12,70.06,72.81,67.8,68.25,3071500
2020-03-13,71.39,76.21,67.98,75.95,3427200
2020-03-16,68,76,67.01,71.74,2446500
2020-03-17,73.3,80.72,73.27,75.13,3082600
2020-03-18,70.62,75.79,68.62,75.25,2514900
2020-03-19,74.33,76.09,69.61,71.34,2250800
2020-03-20,71.25,71.25,64.16,64.99,3321800
2020-03-23,64.71,66.48,62.2,65.74,1743900
2020-03-24,68.22,70.95,66.66,68.65,2066200
2020-03-25,68.04,74.5,67.07,70.2,1620600
2020-03-26,70.95,74.76,70.46,73.74,1380300
2020-03-27,72.02,74.36,70.52,73.09,921000
2020-03-30,74.19,76.88,73.68,76.41,1235200
2020-03-31,76.57,77.76,75.33,76.06,1699900
2020-04-01,73.64,76.83,70.71,72.6,1430400
2020-04-02,71.79,74.17,68.76,70.3,1896800
2020-04-03,69.36,69.98,64.51,65.52,2429800
2020-04-06,67.26,71.58,67.14,71.01,1709600
2020-04-07,72.36,74.65,71.03,71.99,1700700
2020-04-08,72.82,78.65,72.34,76.96,1618800
2020-04-09,76.83,78.29,74.4,74.82,1313300
2020-04-13,74.4,75.25,71.88,73.59,1144100
2020-04-14,75.18,77.4,74.85,76.82,1379500
2020-04-15,76.14,76.35,74.18,76.26,1213300
2020-04-16,76.54,78.44,75.26,76.65,1231200
2020-04-17,78,78.59,75.6,78.16,1119900
2020-04-20,77.34,78.03,76.51,77.52,1361000
2020-04-21,76.77,76.93,72.01,72.53,1109900
2020-04-22,74.01,74.98,72.34,72.41,770600
2020-04-23,72.57,74.69,72.45,73.35,772200
