Date,Open,High,Low,Close,Volume
2008-01-02,21.7,21.74,20.75,20.97,3124500
2008-01-03,20.81,21.12,20,20.08,2879600
2008-01-04,19.59,19.73,18.36,18.67,5319100
2008-01-07,18.54,19.13,18.08,18.48,5288000
2008-01-08,17.76,18.86,16.67,16.78,9895400
2008-01-09,16.5,17.13,15.76,16.97,8751500
2008-01-10,16.51,18.68,16.37,17.86,9450300
2008-01-11,17.88,18.62,17.18,17.81,6501400
2008-01-14,18.21,18.37,17.5,18.21,4742300
2008-01-15,17.85,17.9,16.89,17,5211400
2008-01-16,16.47,18.72,16.47,18.13,7140500
2008-01-17,18.85,18.85,17.52,18.05,6088500
2008-01-18,18.14,18.9,17.76,18.52,6568400
2008-01-22,17.85,20.31,17.27,20.11,7132000
2008-01-23,19.87,23.96,19.36,22.88,12754700
2008-01-24,23.01,24.36,22.54,23.72,7403900
2008-01-25,24.06,25.75,23.28,23.65,7280400
2008-01-28,23.83,25.93,22.25,25.76,7726800
2008-01-29,25.88,26.53,24.75,26.18,6558700
2008-01-30,25.92,27.03,25.1,25.18,10012300
2008-01-31,24.81,28.25,24,27.5,11246900
2008-02-01,27.01,28.99,26.42,28.75,7152100
2008-02-04,28.68,28.68,25.62,26.41,8670800
2008-02-05,26.05,27.6,24.65,24.65,13571100
2008-02-06,25.13,25.97,24.02,24.22,9879000
2008-02-07,23.85,26.09,23.8,24.46,8908800
2008-02-08,24.37,24.99,23.52,24.21,5648800
2008-02-11,24.16,25.37,23.47,24.91,5044300
2008-02-12,25.17,25.54,24.05,24.46,4630100
2008-02-13,24.59,25.46,24.12,25.27,4813200
2008-02-14,25.75,25.75,24.22,24.46,4150600
2008-02-15,23.95,24.51,23.07,23.85,5279500
2008-02-19,24.07,24.24,23.31,23.72,6026500
2008-02-20,23.49,24.84,22.97,24.68,6854300
2008-02-21,24.99,25.55,24.19,24.52,6226400
2008-02-22,24.28,24.88,23.32,24.34,4426300
2008-02-25,24.01,25.09,23.79,24.99,4414400
2008-02-26,24.91,27.06,24.66,26.21,8581000
2008-02-27,25.99,27.5,25.9,27.22,6711100
2008-02-28,27.35,27.35,25.34,25.75,4532500
2008-02-29,25.01,25.35,23.69,23.93,4708400
2008-03-03,23.84,23.87,21.84,22.05,7493400
2008-03-04,21.79,23.01,21.51,22.83,6031300
2008-03-05,22.81,23.68,22.61,23.06,5947000
2008-03-06,22.95,22.97,21.61,22.05,5717400
2008-03-07,21.49,22.6,21.02,22.16,6254800
2008-03-10,22.2,22.79,21.13,21.51,5744800
2008-03-11,22.6,24.39,22.17,24.28,7520300
2008-03-12,24.36,24.65,22.95,23.07,5230300
2008-03-13,22.48,24.54,22.09,24.33,7863200
2008-03-14,24.72,24.8,22.23,23.2,6398300
2008-03-17,21.5,22.79,19.62,21,11732000
2008-03-18,22,23.56,21.6,23.06,8384700
2008-03-19,23.23,24.38,22.87,23.04,4706700
2008-03-20,23.07,25.69,22.89,25.26,6793900
2008-03-24,25.66,28.34,25.66,27.45,8080200
2008-03-25,27.4,27.64,26.32,27.05,6627000
2008-03-26,26.78,27.14,25.36,25.54,6780200
2008-03-27,25.84,27.07,25.39,25.79,6648300
2008-03-28,24.32,25.09,24.02,24.54,7307000
2008-03-31,24.48,25.71,24,24.73,6898300
2008-04-01,25.67,27.13,25.05,26.93,8707000
2008-04-02,26.74,28.93,26.5,28,10186500
2008-04-03,27.79,28.79,27.12,28.51,5185800
2008-04-04,28.55,28.73,26.97,27.13,7201600
2008-04-07,27.28,28.5,27.1,27.34,4658500
2008-04-08,27.19,27.19,25.32,26.01,5878400
2008-04-09,26.22,26.29,24.39,24.52,5879000
2008-04-10,24.46,25.53,24.33,24.72,4596700
2008-04-11,24.37,24.75,23.65,23.88,4647100
2008-04-14,23.63,23.8,22.52,22.82,4808900
2008-04-15,23.08,23.5,22.17,22.9,4267900
2008-04-16,23.31,24.59,22.81,24.41,4817100
2008-04-17,24.24,24.41,23.44,24.23,3757400
2008-04-18,24.73,25.38,23.92,24.51,4459400
2008-04-21,24.42,24.61,23.7,24.4,3461900
2008-04-22,24.27,24.5,23.46,23.55,3122300
2008-04-23,23.89,23.89,22.31,22.48,4529400
2008-04-24,22.66,23.97,22,23.55,5437500
2008-04-25,23.72,24.1,22.82,23.97,2787500
2008-04-28,24.06,24.15,23.01,23.72,4030800
2008-04-29,23.48,24.03,22.95,23.81,3097000
2008-04-30,23.89,23.98,22.45,22.5,3431800
