Date,Open,High,Low,Close,Volume
2020-01-02,120.01,120.36,117.46,118,1071900
2020-01-03,117.23,120.18,117.08,119.94,869400
2020-01-06,119.47,119.65,118.05,118.86,1151000
2020-01-07,118.38,118.53,116.76,117.69,1006400
2020-01-08,117.84,118.95,117.24,118.71,2553900
2020-01-09,118.3,119.67,118.07,118.72,980000
2020-01-10,119.06,120.67,118.45,120.37,2048800
2020-01-13,120.61,122.2,119.76,121.97,2072100
2020-01-14,121.97,122.7,119.98,120.75,2408200
2020-01-15,120.96,121.92,120.62,120.99,1443700
2020-01-16,122.85,123.99,122.1,123.67,2232100
2020-01-17,123.82,124.78,123.15,124.44,1355000
2020-01-21,124.43,125.81,123.8,125.73,1286400
2020-01-22,126.1,127.17,125.81,126.28,1648000
2020-01-23,126.12,127.52,126.05,127.11,1258900
2020-01-24,127.44,129.16,126.97,128.26,1916300
2020-01-27,127.52,129.47,127.52,129.02,1527000
2020-01-28,129.13,130.31,129.13,129.82,1678100
2020-01-29,130.22,130.44,127.5,127.63,1895900
2020-01-30,127.21,128.3,125.52,125.74,1594700
2020-01-31,125.61,126.14,122.4,122.99,1923000
2020-02-03,123.37,124.51,122.72,123.14,1396000
2020-02-04,123.64,125.48,123.33,124.99,1222500
2020-02-05,125.12,125.15,123.46,123.86,1748300
2020-02-06,123.95,124.34,123.27,124.02,1127800
2020-02-07,124.19,124.29,122.85,123.28,922800
2020-02-10,123.79,126.11,123.1,126.08,1854200
2020-02-11,126.44,127.64,125.31,125.52,1869900
2020-02-12,125.36,127.89,125.29,127.05,1829700
2020-02-13,126.49,127.7,126.43,126.53,1610100
2020-02-14,125.91,131.83,125.2,131.5,3785900
2020-02-18,131.54,133.23,131.17,133.2,3167800
2020-02-19,133.04,133.73,132.05,132.41,2250500
2020-02-20,133.38,136.36,132.88,136.3,3939700
2020-02-21,136.53,138.46,136.03,138.13,3346800
2020-02-24,136.98,137.23,134.67,135.27,3314000
2020-02-25,136.38,137.18,132.92,133.54,5027100
2020-02-26,133.5,133.95,130.32,130.38,2665400
2020-02-27,129.22,129.36,122.98,123.19,2844900
2020-02-28,121.13,121.13,115.4,120.11,5045700
2020-03-02,120.9,130.77,120.61,130.49,6312700
2020-03-03,130.73,133.22,127.16,129.59,4144400
2020-03-04,131.69,135.03,130.55,134.98,2950400
2020-03-05,132.62,134.31,128.05,129.87,2408700
2020-03-06,126.22,129.13,124.06,128.24,3622100
2020-03-09,120.49,123.96,119,120.67,2708400
2020-03-10,124.36,135.71,123.41,134.45,9935000
2020-03-11,131,138.2,129.09,137,34673400
2020-03-12,127.99,130.72,124.62,128.37,9406200
2020-03-13,133.37,143.61,127.63,143.34,6545900
2020-03-16,132.42,139.62,127.51,128.31,6914100
2020-03-17,131.68,139.75,128.94,138.24,8061000
2020-03-18,131.81,139.67,128.33,137.34,7986500
2020-03-19,137.2,137.35,121.39,125.27,4429300
2020-03-20,125.95,129.63,119.01,121.2,4732000
2020-03-23,120.48,120.48,105,107.9,3915400
2020-03-24,111.55,118.21,107.63,116.72,4666500
2020-03-25,116.98,128.99,116.98,121.43,3729600
2020-03-26,121.81,134.86,121.21,134.13,3885100
2020-03-27,130.33,135.94,129.64,132.85,3703000
2020-03-30,134.58,140.98,134.31,139.81,3774600
2020-03-31,139.17,139.53,130.02,138.91,3774200
2020-04-01,132.85,135.16,127.12,134.48,2542100
2020-04-02,132.3,136.28,131.06,135.01,2551500
2020-04-03,133.96,137.57,132.19,136.49,2819800
2020-04-06,141.15,142.4,138.96,139.5,2425800
2020-04-07,142.85,144.06,139.23,140.5,2359500
2020-04-08,140.75,147.11,139.03,145.81,2104300
2020-04-09,146.97,152.59,146.63,148.29,3032600
2020-04-13,146.85,146.98,140.19,140.71,2361200
2020-04-14,143.96,147.82,143.53,144.88,3636300
2020-04-15,142.65,144.09,138.85,140.9,4310800
2020-04-16,141.47,142.88,139.3,141.95,4086300
2020-04-17,144.9,149.74,142.69,149.2,1799400
2020-04-20,147.48,148,143.19,143.72,2077900
2020-04-21,142.1,146.16,140.89,144.7,2560700
2020-04-22,146.96,150.51,146.51,149.18,2081400
2020-04-23,148.97,151.65,148.24,148.53,1927400
2020-04-24,149.08,150.42,147.6,150.03,1448200
2020-04-27,151.93,155.06,149.85,154.23,1746300
2020-04-28,156.41,158.36,153.54,154.15,1656900
2020-04-29,155.83,156.6,148.27,148.61,1901400
2020-04-30,146.49,150.6,146.02,149.49,3019700
2020-05-01,146.47,149.21,145.5,145.92,1316900
2020-05-04,146.44,147.12,143.19,145.77,1389700
2020-05-05,145.7,149.11,144.5,148,999100
2020-05-06,149.19,151.72,148,149.7,1107200
2020-05-07,150.29,151,147.2,149.03,1655600
2020-05-08,153,153.18,143,145.06,2077100
2020-05-11,143.63,146.22,143.34,144.36,2087800
2020-05-12,143.82,144.2,132.55,132.93,3860300
2020-05-13,132.7,136.82,131.25,133.42,2474700
