Date,Open,High,Low,Close,Volume
2015-01-02,26.63,26.79,26.394,26.4775,26480000
2015-01-05,26.3575,26.3995,25.8875,25.973,41182000
2015-01-06,26.025,26.0605,25.2775,25.332,54456000
2015-01-07,25.5475,25.5745,25.1825,25.2575,46918000
2015-01-08,25.0755,25.375,24.751,25.3455,73054000
2015-01-09,25.409,25.43,24.9325,25.036,42000000
2015-01-12,24.962,25.014,24.5455,24.853,57138000
2015-01-13,25.1285,25.43,24.863,25.09,60958000
2015-01-14,25.021,25.413,24.908,25.2965,52800000
2015-01-15,25.4445,25.4875,25.1005,25.2005,51068000
2015-01-16,25.1575,25.5425,25.1545,25.523,49658000
2015-01-20,25.6385,25.7805,25.4685,25.497,46796000
2015-01-21,25.542,26.0925,25.4795,26.0195,46356000
2015-01-22,26.15,26.942,26.0955,26.865,56068000
2015-01-23,26.9015,27.2705,26.7875,27.0975,45966000
2015-01-26,27.075,27.075,26.6035,26.836,30932000
2015-01-27,26.57,26.639,26.043,26.0595,39148000
2015-01-28,26.25,26.2845,25.6175,25.6215,35822000
2015-01-29,25.645,25.7595,25.174,25.6615,79018000
2015-01-30,25.95,27.155,25.909,26.8775,121108000
2015-02-02,26.716,26.825,26.086,26.61,75378000
2015-02-03,26.497,26.8725,26.3405,26.665,47062000
2015-02-04,26.657,26.8375,26.2515,26.305,33896000
2015-02-05,26.3965,26.5345,26.282,26.4915,33176000
2015-02-06,26.5505,27.011,26.4325,26.694,42938000
2015-02-09,26.553,26.694,26.3775,26.464,30314000
2015-02-10,26.6075,27.05,26.4585,27.008,47430000
2015-02-11,26.9865,27.0975,26.8,26.9,38306000
2015-02-12,26.983,27.417,26.85,27.3005,48590000
2015-02-13,27.3755,27.627,27.33,27.558,47382000
2015-02-17,27.558,27.65,27.163,27.2505,39174000
2015-02-18,27.191,27.3775,26.9775,27.1325,31164000
2015-02-19,27.1235,27.343,27.0375,27.3225,30834000
2015-02-20,27.379,27.379,26.905,27.09,38234000
2015-02-23,26.95,26.965,26.6,26.75,32906000
2015-02-24,26.5775,26.97,26.55,26.9325,28406000
2015-02-25,26.922,27.4785,26.9005,27.3665,40836000
2015-02-26,27.287,28.0065,27.2545,27.9645,54032000
2015-02-27,27.9075,28.471,27.8515,28.1315,68328000
2015-03-02,28.35,28.7995,28.1575,28.751,50406000
2015-03-03,28.8175,29.0425,28.525,28.9395,50526000
2015-03-04,28.8485,29.0815,28.626,28.9165,37964000
2015-03-05,28.981,29.16,28.9115,29.0715,35918000
2015-03-06,29.1,29.139,28.603,28.645,37592000
2015-03-09,28.546,28.7725,28.4525,28.705,23478000
2015-03-10,28.424,28.488,27.991,27.9925,40080000
2015-03-11,27.99,28.209,27.7705,27.7845,40524000
2015-03-12,27.924,28.092,27.7765,28.0585,35602000
2015-03-13,27.9615,28.218,27.5165,27.65,35428000
2015-03-16,27.8465,28.1875,27.566,28.082,36856000
2015-03-17,27.9145,28.032,27.7205,27.8805,28892000
2015-03-18,27.8865,28.3255,27.675,28.308,35324000
2015-03-19,28.226,28.348,28.106,28.1835,24660000
2015-03-20,28.3355,28.355,28.224,28.2475,44320000
2015-03-23,28.3,28.482,28.153,28.2685,30234000
2015-03-24,28.427,29.094,28.4045,28.877,79156000
2015-03-25,28.8785,29.0035,28.35,28.35,53070000
2015-03-26,28.2325,28.3595,27.9155,28.182,49842000
2015-03-27,28.0915,28.2035,27.8465,27.8775,34552000
2015-03-30,28.0125,28.108,27.8395,28.057,24788000
2015-03-31,27.897,28.1225,27.7335,27.735,34932000
2015-04-01,27.7415,27.925,27.3015,27.4745,38902000
2015-04-02,27.3705,27.4,27.022,27.0655,47760000
2015-04-06,26.942,27.277,26.785,27.1975,33718000
2015-04-07,27.2495,27.508,27.1795,27.243,27318000
2015-04-08,27.3,27.575,27.3,27.442,28386000
2015-04-09,27.4605,27.4685,27.0975,27.401,32366000
2015-04-10,27.4785,27.4925,27.249,27.427,26104000
2015-04-13,27.3525,27.6635,27.315,27.432,29326000
2015-04-14,27.3285,27.3285,26.787,26.989,47206000
2015-04-15,26.898,27.1595,26.6185,27.052,46962000
2015-04-16,26.9175,27.2615,26.905,27.176,31722000
2015-04-17,26.8655,26.99,26.45,26.637,49234000
2015-04-20,26.6875,27.29,26.6675,27.2265,38508000
2015-04-21,27.3155,27.3885,27.1105,27.146,29128000
2015-04-22,27.153,27.55,27.066,27.459,31806000
2015-04-23,27.5205,28.0585,27.504,27.873,78184000
2015-04-24,29.0025,29.235,28.4175,28.683,92168000
2015-04-27,28.6385,28.776,28.115,28.306,48062000
2015-04-28,28.216,28.3915,28.048,28.2185,37178000
2015-04-29,28.0255,28.292,27.95,28.0695,33622000
2015-04-30,27.928,28.0555,27.336,27.4385,47240000
2015-05-01,27.5255,27.561,27.1925,27.558,36572000
2015-05-04,27.5495,27.8345,27.3695,27.642,35260000
2015-05-05,27.508,27.6305,27.1185,27.152,28528000
2015-05-06,27.132,27.1965,26.612,26.754,39034000
2015-05-07,26.795,27.26,26.6725,27.102,31844000
2015-05-08,27.4435,27.64,27.4015,27.4475,28226000
2015-05-11,27.4245,27.6685,27.28,27.289,21858000
2015-05-12,27.1405,27.148,26.75,26.9365,35282000
2015-05-13,27.0235,27.192,26.949,26.9745,24238000
2015-05-14,27.1985,27.4845,27.125,27.46,31736000
2015-05-15,27.5195,27.53,27.125,27.3245,33440000
2015-05-18,27.191,27.417,27.1125,27.3335,26706000
2015-05-19,27.4,27.67,27.356,27.464,47126000
2015-05-20,27.546,27.8035,27.255,27.6255,30840000
