Date,Open,High,Low,Close,Volume
2005-01-03,58.2,58.44,57.04,57.18,1492400
2005-01-04,57.18,57.18,54.72,55.56,3682800
2005-01-05,55.56,56,55.4,55.43,1700100
2005-01-06,55.35,56.81,55.35,56.35,1201800
2005-01-07,56.35,56.57,55.95,56.12,946600
2005-01-10,55.86,56.05,55.41,55.47,1434300
2005-01-11,55.18,55.62,54.81,55,1628900
2005-01-12,54.91,54.98,54.12,54.68,2501200
2005-01-13,54.7,54.82,54.04,54.15,2282100
2005-01-14,54.16,54.48,54.02,54.43,2340000
2005-01-18,54,54.52,53.77,54.5,2237800
2005-01-19,54.5,54.56,53.86,54.2,2776400
2005-01-20,54.22,54.73,54.08,54.5,2146900
2005-01-21,54.45,54.6,54.01,54.32,1616100
2005-01-24,54.33,54.5,54,54.1,1245400
2005-01-25,54.11,54.32,53.9,53.99,1622600
2005-01-26,54.02,54.42,53.62,53.84,1199100
2005-01-27,53.7,54.4,53.65,54.32,1147700
2005-01-28,55.25,56.45,55.19,55.55,2657700
2005-01-31,56,56.32,55.78,56.32,1603700
2005-02-01,56.66,58.56,56.26,58.4,3664800
2005-02-02,58.28,58.66,58.08,58.55,2065000
2005-02-03,59.85,60.67,59.6,60.09,4085600
2005-02-04,56,59.13,55.25,58.18,9280000
2005-02-07,57.76,58.2,57.46,57.73,2784100
2005-02-08,57.47,57.53,56.79,57.38,1810000
2005-02-09,57.25,57.79,55.97,56.5,2195300
2005-02-10,56.56,56.97,55.83,56.8,2166500
2005-02-11,56.7,57.58,56.34,57.23,1170600
2005-02-14,57.07,57.42,56.8,57.15,1169800
2005-02-15,57.15,57.35,56.77,56.94,1656000
2005-02-16,56.84,57.64,56.66,57.38,1281300
2005-02-17,57.22,57.66,56.92,57.4,1095400
2005-02-18,57.5,58.68,57.17,58.35,1651300
2005-02-22,58,58.47,57.04,57.04,1870400
2005-02-23,57.15,58.28,57.15,58.08,1666600
2005-02-24,57.85,58.93,57.35,58.88,1152200
2005-02-25,58.75,59.64,58.17,59.5,1617200
2005-02-28,59.28,59.61,58.54,58.55,2095600
2005-03-01,58.55,59.14,58.54,58.85,1624000
2005-03-02,58.43,58.51,57.5,57.88,1945300
2005-03-03,58.1,58.29,57.28,57.51,1951800
2005-03-04,57.68,58.05,57.45,58,1078800
2005-03-07,58.02,58.16,57.7,57.75,1057200
2005-03-08,57.65,57.92,57.15,57.54,799900
2005-03-09,57.31,57.85,57,57.32,1776900
2005-03-10,57.17,57.47,57,57.12,1161300
2005-03-11,57.07,57.39,56.85,56.98,841800
2005-03-14,56.75,57.31,56.45,57.31,1085300
2005-03-15,57.31,57.4,56.72,56.72,1480600
2005-03-16,56.41,56.68,55.78,55.99,1288900
2005-03-17,56.06,56.28,55.8,56.01,1528900
2005-03-18,56.2,56.33,55.81,56.12,2527200
2005-03-21,56.11,56.4,55.77,55.98,874900
2005-03-22,55.85,56.3,55.46,55.46,1073800
2005-03-23,55.47,57.27,55.16,56.95,1720400
2005-03-24,56.85,57.41,56.33,57.17,1202400
2005-03-28,55.2,55.34,52.85,53.78,6412900
2005-03-29,54.15,54.71,53.75,54.02,3045200
2005-03-30,53.9,54.98,53.87,54.84,1733200
2005-03-31,55,56.04,54.84,55.8,1775400
2005-04-01,55.1,55.99,54.26,54.68,3808700
2005-04-04,54.68,56.12,54.58,55.95,2604900
2005-04-05,55.95,56.63,55.94,56.3,1407300
2005-04-06,56.6,56.78,56.15,56.28,1498400
2005-04-07,56.29,56.88,55.93,56.83,1300900
2005-04-08,56,56.29,55.33,55.53,2596400
2005-04-11,55.53,55.72,55.3,55.46,1934500
2005-04-12,55.25,56,54.81,55.79,1419000
2005-04-13,55.62,55.84,54.99,55.32,2090700
2005-04-14,55.32,56.44,55.32,55.62,2096400
2005-04-15,54.55,55.97,54.55,55.15,3231700
2005-04-18,55.15,55.43,54.13,54.19,1826200
2005-04-19,54.31,54.57,53.72,54.35,1583500
2005-04-20,54.1,54.69,53.2,53.28,1587100
2005-04-21,53.7,55.45,53.67,55.08,1791200
2005-04-22,54.6,55.36,54.17,54.48,1300800
2005-04-25,54.57,54.89,53.75,54.45,1428200
2005-04-26,54.3,54.73,53.97,53.97,903600
2005-04-27,53.97,55.25,53.65,55.12,1584300
2005-04-28,54.5,55.44,54.48,55.01,1823300
2005-04-29,55.25,55.6,54.15,55.57,2867000
2005-05-02,55.57,55.98,55.56,55.73,1355100
2005-05-03,55.65,55.89,54.98,55.33,1907100
2005-05-04,55.69,56.25,55.33,55.9,1641700
2005-05-05,56,56,55.15,55.48,1434800
2005-05-06,55.8,56.13,55.6,55.91,1555300
2005-05-09,55.85,56.43,55.53,56.25,1460700
2005-05-10,55.65,56.82,55.35,56.35,1316800
2005-05-11,56.27,57.16,55.99,57.05,1422000
2005-05-12,57.15,58.77,57.08,58,2374500
2005-05-13,58,58.21,56.95,57.53,1606200
2005-05-16,57.46,58.47,57.4,58.32,1496000
2005-05-17,58,59.36,57.76,59.22,1608100
2005-05-18,59.21,59.66,58.77,59.16,2011800
2005-05-19,59,59.16,58.8,59.16,2015500
2005-05-20,59.24,59.39,58.52,58.91,1263200
2005-05-23,58.75,58.99,58.4,58.72,1202300
2005-05-24,58.53,58.8,58.25,58.6,788000
2005-05-25,58.32,58.58,57.93,58.09,778000
2005-05-26,58.09,58.35,57.93,58.13,1292300
2005-05-27,58.24,58.4,57.58,57.8,1287600
2005-05-31,57.95,58.35,57.67,57.93,1691400
2005-06-01,57.85,58.71,57.8,58.03,1075100
2005-06-02,57.67,57.94,57.34,57.88,629300
2005-06-03,57.8,57.8,57.19,57.48,726100
2005-06-06,57.34,58.63,57.34,58.33,1028800
2005-06-07,58.53,59.44,58.35,58.4,1118400
2005-06-08,58.7,58.8,57.68,57.84,782900
2005-06-09,57.51,58.13,57.51,57.77,1269300
2005-06-10,57.53,57.6,56.61,57.03,1134900
2005-06-13,56.9,58.14,56.87,58,1428000
2005-06-14,57.98,58.57,57.9,58.45,1320700
2005-06-15,58.5,58.5,57.57,58,1363100
2005-06-16,58.1,58.82,58,58.8,1275000
2005-06-17,59.3,59.95,58.81,59.53,2931900
2005-06-20,59.3,60.34,59.3,60.1,3115800
2005-06-21,60.1,60.78,59.92,60.3,1506600
2005-06-22,60.5,60.97,60.34,60.5,1706200
2005-06-23,60.6,61.1,60.48,60.8,2348300
2005-06-24,60.53,60.95,60.27,60.51,2149500
2005-06-27,57.01,57.89,55.15,56.43,9798200
