Date,Open,High,Low,Close,Volume
2007-01-03,66.13,67.1,66.11,66.4,12845300
2007-01-04,65.9,67.62,65.9,67.23,11262000
2007-01-05,66.8,67.25,66.5,66.62,8141100
2007-01-08,66.51,66.75,66.05,66.51,6180400
2007-01-09,66.6,66.85,66.13,66.26,7147100
2007-01-10,66.56,66.56,66.07,66.15,6528700
2007-01-11,66.4,66.84,66.28,66.73,6371500
2007-01-12,66.45,66.8,66.3,66.64,6189400
2007-01-16,66.65,66.75,66.3,66.54,7963700
2007-01-17,66.6,67.38,66.42,66.87,9189900
2007-01-18,66.46,67.99,66.3,67.71,10695600
2007-01-19,68,68.22,67.53,67.76,13473300
2007-01-22,68,68.11,67.17,67.18,10245500
2007-01-23,66.99,67.24,66.13,66.5,9698300
2007-01-24,66.41,67.09,66.3,67.01,7665500
2007-01-25,66.81,67.04,66.5,66.68,7727900
2007-01-26,66.68,66.87,65.99,66.07,10773000
2007-01-29,66.25,66.4,66,66.15,8152700
2007-01-30,66.15,66.6,66.1,66.39,7171900
2007-01-31,66.39,67.02,66.15,66.8,8171600
2007-02-01,66.8,67.07,66.5,67.01,9232500
2007-02-02,67,67.15,66.49,66.58,11317500
2007-02-05,66.38,66.6,66.1,66.3,7526200
2007-02-06,66.39,66.43,65.79,66,8180100
2007-02-07,66,66.1,65.65,65.8,7795300
2007-02-08,65.76,65.97,65.6,65.76,7340100
2007-02-09,65.86,66.1,65.53,65.6,7107600
2007-02-12,65.72,65.87,65.36,65.46,6067300
2007-02-13,65.41,65.52,65.28,65.38,8583600
2007-02-14,65.56,65.9,65.4,65.85,7254900
2007-02-15,65.75,65.93,65.59,65.79,7350800
2007-02-16,65.65,65.74,65.24,65.51,12927000
2007-02-20,65.4,65.83,65.26,65.46,9384300
2007-02-21,65.26,65.4,64.96,65,12036200
2007-02-22,64.97,65.07,64.65,64.78,12930900
2007-02-23,64.61,64.61,63.99,64.15,11586300
2007-02-26,64.25,64.49,64.01,64.3,10483200
2007-02-27,64,64.24,62.72,63.05,18581000
2007-02-28,63.27,63.72,62.82,62.93,16690600
2007-03-01,62.35,62.93,61.75,62.45,14589700
2007-03-02,62.3,62.45,61.73,61.95,13773000
2007-03-05,61.45,62.35,61.45,61.83,16009400
2007-03-06,62.15,62.22,61.37,61.7,19244300
2007-03-07,61.65,62.53,61.59,61.86,14139300
2007-03-08,62,62.25,61.65,61.72,14670100
