Date,Open,High,Low,Close,Volume
2021-01-04,157.24,157.38,154.13,156.5,11765900
2021-01-05,156.25,158.76,155.07,158.34,9602300
2021-01-06,157.24,160.23,156.72,159.83,8230100
2021-01-07,159,161.03,158.35,160.37,7747200
2021-01-08,160.51,161.1,159.88,160.04,8228900
2021-01-11,160.56,161.32,158.77,159.37,7066200
2021-01-12,159.15,159.66,157.33,158.13,6903200
2021-01-13,158.23,158.46,156.75,157.89,6643100
2021-01-14,160.45,161.95,159.61,160.65,10030800
2021-01-15,160.3,161.41,159.11,160.3,7630800
2021-01-19,162,163.04,161.1,162.78,9057600
2021-01-20,163.2,164.14,161.8,162.38,6839900
2021-01-21,161.32,162.48,160.06,161.73,6818000
2021-01-22,162.36,165.16,161.87,163.55,8137000
2021-01-25,165.01,166.09,163.66,165.98,9924400
2021-01-26,169.7,173.65,169.39,170.48,14205700
2021-01-27,169.12,170.92,167.45,167.88,14207300
2021-01-28,168.2,170.86,167.8,169.16,8944400
2021-01-29,164.26,166,160.55,163.13,22505900
2021-02-01,165.31,165.31,162.6,162.71,9971400
2021-02-02,163.38,163.66,161.18,161.25,11443300
2021-02-03,160.94,161.52,159.57,160.5,8601900
2021-02-04,161,162.09,159.76,161.99,7758100
2021-02-05,164.86,165.44,163.86,164.45,9495300
2021-02-08,165.03,165.92,163.88,164.92,6035300
2021-02-09,165.2,166.59,164.97,166.27,5544200
2021-02-10,167.89,167.94,165.7,166.81,5921300
2021-02-11,167,167.38,165.6,166.06,4871300
2021-02-12,164.4,166.85,164,166.58,4413100
2021-02-16,166.58,167.05,164.64,165.07,5656100
2021-02-17,164.97,166.09,164.36,165.66,6676700
2021-02-18,164.96,166.16,164.3,165.74,5189100
2021-02-19,165.6,165.96,162.91,162.98,8190900
2021-02-22,161.87,162.54,160.29,161.87,6447100
2021-02-23,161.48,163.19,160.4,160.44,7042800
2021-02-24,162.4,164.39,160.92,162.59,10286100
2021-02-25,163.13,163.7,161.99,162.76,9719700
2021-02-26,162,162.41,157.97,158.46,14417500
2021-03-01,161.45,161.53,159.09,159.32,10551400
2021-03-02,159.78,160.78,158.6,159.02,7610900
2021-03-03,158.25,158.9,156.06,156.22,8499600
2021-03-04,155.99,156.1,151.47,153.07,11033200
2021-03-05,153.98,156.69,153.13,156.1,8331600
2021-03-08,157,159.33,155.98,157.4,6546700
2021-03-09,156.89,160.75,156.89,157.7,7461300
2021-03-10,158.82,159.9,157.36,159.15,6635600
2021-03-11,159.54,160.63,158.92,159.14,6305600
2021-03-12,159.28,160.31,159.19,159.6,5474800
2021-03-15,159.75,160.66,158.5,160.42,5524100
2021-03-16,160.46,161.68,160.24,161.37,6369100
2021-03-17,160.83,161.73,159.53,160.77,6001400
2021-03-18,160.21,161.49,159.96,160.47,4801800
2021-03-19,160.69,161.5,159.47,160.04,14891500
2021-03-22,158.31,160.65,158,160.5,7544100
2021-03-23,160.21,161.2,158.88,160.35,7178300
2021-03-24,160.1,162.48,159.82,161.91,6370100
2021-03-25,162.44,162.45,160.64,161.97,6269800
2021-03-26,162.09,165.1,161.38,164.93,7619200
2021-03-29,163.83,167.03,163.63,166.04,8535100
2021-03-30,165.02,165.66,164.23,165.01,7236300
2021-03-31,164.96,165.39,163.7,164.35,8281500
2021-04-01,162.6,163.84,162.26,162.83,7229700
2021-04-05,163.64,164.75,162.66,163.43,7387100
2021-04-06,164.08,164.52,163,163.39,5074200
2021-04-07,163.55,164.28,163.32,163.61,4608000
2021-04-08,164,164.11,162.85,162.97,5039400
2021-04-09,162.12,162.93,159.78,161.25,8418300
2021-04-12,161.09,162.08,160.34,161.64,5022800
2021-04-13,156.86,159.93,156.53,159.48,18424100
2021-04-14,157.83,160.11,157.54,159.92,7718300
2021-04-15,160.72,162.39,160.23,160.39,7524600
2021-04-16,161.34,162.51,160.56,162.24,9049400
2021-04-19,162.5,163.11,160.84,162.69,8353500
2021-04-20,161,167.79,161,166.48,14050700
2021-04-21,166.37,166.91,165.29,166.59,6333200
2021-04-22,165.84,166.28,164.62,165.18,7233000
2021-04-23,164.53,166.06,164,165.52,6015300
2021-04-26,165.21,165.41,163.76,164.12,6027800
2021-04-27,163.76,163.91,162.47,163.18,6217700
2021-04-28,162.86,163.2,161.65,161.98,7448000
2021-04-29,161.9,164.26,161.81,164.2,6394300
2021-04-30,164.15,164.33,162.52,162.73,9079100
2021-05-03,163.6,165.32,163.12,165.21,6594100
2021-05-04,164.83,167.85,164.67,167.77,10179500
2021-05-05,167.5,168.4,166.79,167.07,7792300
2021-05-06,166.79,167.89,166.24,167.74,5529900
2021-05-07,168.3,169.18,167.83,168.5,5316200
2021-05-10,169.9,171.53,169.23,170.27,8357500
2021-05-11,170.65,170.87,168.28,168.88,8217900
2021-05-12,168.54,169.8,167.95,168.2,6758300
2021-05-13,166.97,170.7,166.97,169.96,8018600
2021-05-14,171.48,171.61,170.17,170.22,5797700
2021-05-17,170.4,171.89,170.31,170.39,5722600
2021-05-18,169.98,171.37,169.53,170.45,5846000
2021-05-19,169.91,170.16,168.04,170.08,5533800
2021-05-20,169.94,171.59,169.69,171.07,4853200
2021-05-21,171.33,172.74,170.87,170.96,6501800
2021-05-24,170.9,171.35,169.77,170.55,5195100
2021-05-25,170.67,171.03,169.74,170.08,7444700
2021-05-26,170,170.08,168.28,169.07,5726400
2021-05-27,169.26,170.17,168.38,168.81,8114700
2021-05-28,169.52,171.01,169.17,169.25,6400800
2021-06-01,170.15,170.2,165.38,165.53,10448400
2021-06-02,165.3,166.73,165.11,166.2,6806000
2021-06-03,165.89,167.15,165.71,166.04,5808800
2021-06-04,167.01,167.57,165.87,165.97,6510300
2021-06-07,166,166.32,164.63,164.84,5362800
2021-06-08,165.28,165.66,162.07,163.39,7746800
2021-06-09,163.99,165.78,163.66,165.59,5552600
