Date,Open,High,Low,Close,Volume
2000-01-03,8.5,8.5,8.0625,8.125,442500
2000-01-04,8.09375,8.1875,7.703125,8.0625,2393500
2000-01-05,8.09375,8.125,8,8.0625,319600
2000-01-06,8.0625,8.125,8,8.125,1003300
2000-01-07,8.0625,8.4375,8.0625,8.34375,192200
2000-01-10,8.5,8.5625,8.125,8.5,1484800
2000-01-11,8.375,8.5625,8.25,8.25,216500
2000-01-12,8.375,8.5,8.25,8.484375,57000
2000-01-13,8.5,8.6875,8.375,8.5625,200400
2000-01-14,8.5,8.625,8.125,8.1875,274800
2000-01-18,8.34375,8.5625,8.125,8.125,206900
2000-01-19,8.125,8.5,8.125,8.4375,174800
2000-01-20,8.375,8.625,8.3125,8.5625,3940800
2000-01-21,8.65625,8.75,8.5,8.625,311800
2000-01-24,8.625,8.6875,8.3125,8.375,386600
2000-01-25,8.5,8.5,8.3125,8.46875,232200
2000-01-26,8.5,8.75,8.375,8.625,168200
2000-01-27,8.71875,9.125,8.6875,8.875,256500
2000-01-28,8.8125,8.9375,8.5,8.5625,239700
2000-01-31,8.8125,8.875,8.5625,8.59375,170600
2000-02-01,8.6875,8.75,8.5,8.6875,141900
2000-02-02,8.875,9.0625,8.5,9.03125,223100
2000-02-03,9.03125,9.125,8.625,8.75,125100
2000-02-04,8.9375,9.0625,8.5,8.65625,119300
2000-02-07,8.84375,9.125,8.8125,9.0625,140000
2000-02-08,8.9375,9.0625,8.75,9.03125,179100
2000-02-09,9,9.4375,8.875,8.875,356200
2000-02-10,8.875,8.9375,8.875,8.875,152400
2000-02-11,9,9,8.4375,8.4375,1448800
2000-02-14,8.5,8.5,7.5625,7.875,360700
2000-02-15,7.9375,8.625,7.875,8.375,308800
2000-02-16,8.25,8.5,8.25,8.46875,939400
2000-02-17,8.375,8.4375,8.125,8.125,358600
2000-02-18,8.125,8.4375,8.125,8.1875,329800
2000-02-22,8.0625,8.25,7.9375,8.125,398900
2000-02-23,8,8,7.5,7.5625,280000
2000-02-24,7.59375,7.625,7.5,7.59375,222800
2000-02-25,7.59375,7.75,7.5,7.5625,278000
