Date,Open,High,Low,Close,Volume
2025-01-02,705.34,711.96,696.34,700.42,1115100
2025-01-03,703.16,717.57,702.58,714.36,1062900
2025-01-06,751.06,781.09,749.65,768.51,2761100
2025-01-07,775,778.39,753.49,757.58,1490200
2025-01-08,753,753.33,737,743.98,1185400
2025-01-10,751,751.3,735.4,739.01,1515800
2025-01-13,721.2,729,717.59,727.41,1321800
2025-01-14,737.54,739.52,728.06,736.29,1022600
2025-01-15,739.46,744.47,725.19,726.3,1864400
2025-01-16,758.8,771.56,748.46,750.28,2407600
2025-01-17,767.91,769.2,751.5,756.33,1933600
2025-01-21,763,767.73,755.49,763,1332000
2025-01-22,777.75,784.82,765.89,766.71,1699900
2025-01-23,740.01,747.75,736,746.24,1751100
2025-01-24,749.36,750,729.3,732.25,1505700
2025-01-27,672.79,690.6,671.94,690.15,4947800
2025-01-28,678.8,693.45,666.6,683.35,2811900
2025-01-29,727.16,728.46,704.6,712.65,4971500
2025-01-30,740.1,745.59,730.58,736.99,2745600
2025-01-31,748.09,754.6,737.77,739.31,2125700
2025-02-03,719.13,735.45,717.92,731.06,1647200
2025-02-04,736.9,742.69,729.28,731.41,1497000
2025-02-05,729.24,743.21,722.4,742.59,1249700
2025-02-06,737.69,742.41,735.01,739.13,1120200
2025-02-07,739.05,742.32,723.75,727.7,1312400
2025-02-10,736.72,745.56,735.88,744.08,985700
2025-02-11,744.67,753.49,743.88,752.98,1096700
2025-02-12,738.35,756.79,733.56,756.17,1077800
2025-02-13,754.77,776.99,752.75,776.99,1674100
2025-02-14,778.22,778.36,748.68,751.55,2047300
2025-02-18,757.44,758.93,738.6,744.22,1715400
2025-02-19,743.96,752.87,741.69,744.8,1457900
2025-02-20,751.35,755.51,740.42,743.09,1185900
2025-02-21,744.15,745.71,733.2,737.21,1472300
2025-02-24,746.13,750.88,734.7,735.96,1471200
2025-02-25,732.19,738.98,726.21,730.19,1691200
2025-02-26,743.82,753.77,738.91,746.93,1401400
2025-02-27,743.42,744.8,696.91,697.7,2342800
2025-02-28,706.82,713.5,697.51,709.08,1773400
2025-03-03,722.05,732.35,692.48,699.86,2284100
2025-03-04,698.27,721.3,692.69,708.22,2044700
2025-03-05,731.62,740.55,719.3,739.75,1754300
2025-03-06,718.85,731.17,711,714.84,1427900
2025-03-07,726.16,734,715.5,732.22,1426400
2025-03-10,697.98,699,676,683.11,2321500
2025-03-11,698.82,702,681.26,690.21,1616800
2025-03-12,704.14,708.3,696.74,703.37,1306300
2025-03-13,697.84,705.3,688.26,694.59,1399500
2025-03-14,707.68,720.03,705.36,714,1367500
2025-03-17,718.05,734.55,717.21,730.33,1423300
2025-03-18,729.9,734.19,719.99,731.11,1007300
2025-03-19,729.11,746.75,725.06,734.91,1080500
2025-03-20,725.01,735.4,724.23,734.06,1282400
2025-03-21,711.79,721.36,711.21,716.22,1967200
2025-03-24,728.03,731.95,726.34,727.84,1104400
2025-03-25,732.06,735,725.42,726.74,1244300
2025-03-26,715.9,719.99,702.24,705.76,1266500
2025-03-27,698.49,702.48,689,690.63,1285500
2025-03-28,685.13,687.44,672.05,674.58,1393000
2025-03-31,660.26,665.16,652.88,662.63,1685000
2025-04-01,664.57,670.64,656.35,667.34,1212600
2025-04-02,664.39,676.39,660.83,669.01,1119000
2025-04-03,649.53,650.97,622.82,623.22,2877100
2025-04-04,621.95,626.38,597.69,605.55,4017000
2025-04-07,586.5,652.85,578.51,615.84,4179100
2025-04-08,632.02,637.9,582.89,595.37,2585200
2025-04-09,618.02,692.29,606.87,687.26,3866700
2025-04-10,656.17,661.66,627.63,649.55,2989900
2025-04-11,656.06,672,651.39,668.81,2163600
2025-04-14,676.44,680.03,662.73,672.87,1574000
2025-04-15,679.38,687.53,676.69,683.16,2105600
2025-04-16,647,653.13,624.17,634.93,4028300
2025-04-17,644.36,647.66,636.93,640.16,1439900
2025-04-21,632,633.66,614.06,624.69,1555100
2025-04-22,638.81,645.61,631,638.69,1967000
2025-04-23,664.25,666.49,654.79,657.98,1849700
2025-04-24,666.53,678.32,662.56,675,1770700
2025-04-25,666.9,681.75,664.59,677.27,1280900
2025-04-28,672.17,674.44,661.08,672.76,1007600
2025-04-29,665.61,673.63,663,666.11,1104000
2025-04-30,657.59,669.5,651.46,668.08,1042100
2025-05-01,675.15,675.15,662.46,666.72,1066300
2025-05-02,686.32,695,685.6,690.33,1215500
2025-05-05,685,690.42,682.73,683.36,903700
2025-05-06,676.31,686.37,675.5,679.99,765100
2025-05-07,685.78,701.96,683.46,700.39,1041400
2025-05-08,711.12,716.81,705.7,708.03,1040500
2025-05-09,709.21,710.51,703.9,706.21,884000
2025-05-12,730.42,750.52,729.38,750.2,2571500
2025-05-13,745.26,764.87,744.54,763.9,1815600
2025-05-14,765,773.7,764.27,768.91,1156100
2025-05-15,763.67,767,755.21,758.36,1511000
2025-05-16,752.88,753.45,742.21,748.1,1095100
2025-05-19,739.73,750,737.27,749.13,977900
2025-05-20,745.63,748.98,741.3,748.76,777200
2025-05-21,749.01,755.79,735.49,737.17,1058700
2025-05-22,736.32,747.21,734.15,740.7,863500
2025-05-23,724.6,735.99,722.52,732.49,1525200
2025-05-27,751.37,761.21,749.95,756.79,1385100
2025-05-28,752.14,756.39,744.81,746.51,1244000
2025-05-29,757.83,759.55,744.84,747.07,1166000
2025-05-30,745.01,745.96,723,736.77,1785400
2025-06-02,733.29,746.95,732.66,746.53,812600
2025-06-03,732.66,748.55,732.2,747.25,1085100
2025-06-04,751.18,752.77,740.41,742.78,1160000
2025-06-05,754.13,756.46,744,747.76,1506500
2025-06-06,756.06,762.1,752.8,753.02,1345100
2025-06-09,757.06,782.2,757.06,770.2,1769400
2025-06-10,779.11,788.29,776.49,784.97,1715500
2025-06-11,790.05,797.25,780.69,784.09,1365900
2025-06-12,785.44,789.57,782.34,786.21,999600
2025-06-13,766.89,772.93,759.87,761,1742900
2025-06-16,766.37,779.19,765.98,775.23,1454500
2025-06-17,766.78,773.21,758.21,759.86,1422800
2025-06-18,764.73,768,754.24,761.64,1372500
2025-06-20,768.37,769.01,736.25,756.53,2303900
2025-06-23,761.26,780.75,759.81,779.72,1302800
2025-06-24,786.11,813.46,786.11,813.36,2039600
2025-06-25,816.75,819.54,806.22,815.24,1400100
2025-06-26,799.76,800.88,786.5,798.09,1705800
2025-06-27,802.94,805.49,788.45,795.95,1201000
2025-06-30,796.48,802.44,794.04,801.39,1080400
2025-07-01,788.05,795.5,782.54,790.47,1065800
2025-07-02,776.24,800.5,772.86,799.59,1383000
2025-07-03,786.97,798.53,786.61,794.5,910700
2025-07-07,785.46,793.49,783.8,785.09,1363700
2025-07-08,782.66,798.39,778.73,794.1,1327800
2025-07-09,792.91,800.9,792.47,799.83,1334300
2025-07-10,808.93,811.1,798,802.09,1498900
2025-07-11,797.07,803.19,796.52,801.93,932400
2025-07-14,797.62,812.77,789.87,806.73,1456900
2025-07-15,822.98,826.56,814.21,823.02,2099600
2025-07-16,754.36,760.9,730.6,754.45,10789600
2025-07-17,746.82,756.85,742,744.91,4078500
2025-07-18,752.08,752.09,734.33,734.58,2567200
2025-07-21,731,732.9,719.32,719.68,2650300
2025-07-22,718.31,719.06,701.19,705.48,3425100
2025-07-23,715.21,719.97,708.13,716.93,3379400
2025-07-24,723.01,726.63,718.36,725.08,2037100
2025-07-25,709.14,713.15,706.6,711.25,2312100
2025-07-28,735.15,735.41,728.49,729.99,2253900
2025-07-29,722.73,726.92,715.7,718.49,2292900
2025-07-30,716.89,724.02,715.5,721.45,1407000
2025-07-31,706.4,707.54,691.21,694.71,2892200
2025-08-01,690,693.43,683.48,689.82,1627100
2025-08-04,695.58,699.45,692.9,699.36,1025600
2025-08-05,694.72,695.63,684.24,689.63,1261200
2025-08-06,687.65,692.43,685.44,690.96,1218700
2025-08-07,714.02,716.9,706.62,713.12,1723800
2025-08-08,712.41,723.5,710.45,722.32,1042900
2025-08-11,724,731.86,719.52,721.31,1179700
2025-08-12,725.53,743.35,723.48,741.79,1461800
2025-08-13,750.63,756.2,747.54,755.57,2011900
2025-08-14,747.28,757,744.56,755.21,1577400
