Date,Open,High,Low,Close,Volume
2017-01-03,69.29,70.86,69,70.54,8112200
2017-01-04,71.08,73.07,70.76,72.8,9289500
2017-01-05,72.81,73.66,72.53,72.79,4695600
2017-01-06,72.89,74.13,72.55,73.8,4466100
2017-01-09,74.05,74.44,73.51,73.96,3933100
2017-01-10,74.12,74.3,73.44,73.98,3994800
2017-01-11,74.27,76.08,74.06,75.77,7591300
2017-01-12,75.17,75.75,74,75.21,4681700
2017-01-13,74.84,75.78,74.7,75.64,3690000
2017-01-17,75.3,75.3,74.37,75.02,3152500
2017-01-18,75.59,76.22,75.08,75.78,3969500
2017-01-19,75.72,76.17,75.34,75.57,3274300
2017-01-20,75.76,76.12,75.43,76.03,4593600
2017-01-23,75.7,76.96,75.7,76.16,3770900
2017-01-24,76.32,77.46,75.95,77.11,3730300
2017-01-25,77.53,78.59,77.25,78.47,5690400
2017-01-26,79,79.08,77.28,77.95,4121000
2017-01-27,78.19,78.57,77.92,78.21,2219300
2017-01-30,77.8,78.78,77.1,78.71,4964000
2017-01-31,78.45,80,78.17,79.1,7835200
2017-02-01,78.91,79.3,77.45,78.58,6199700
2017-02-02,78.33,80.26,77.89,80.13,7676100
2017-02-03,80.39,80.71,79.81,80.21,4975400
2017-02-06,80.02,80.12,79.35,79.75,2664200
2017-02-07,80.28,80.53,79.54,80.21,3628200
2017-02-08,80,80.83,79.63,80.7,2568000
2017-02-09,80.7,81.98,80.49,81.03,5147500
2017-02-10,81.41,82,80.54,80.64,3061900
2017-02-13,81.18,81.3,80.46,80.91,4327500
2017-02-14,80.95,81.3,80.56,80.92,4809500
2017-02-15,81.23,82.83,80.89,81.67,5271900
2017-02-16,81.52,81.72,80.5,80.82,5234700
2017-02-17,80.57,81.47,80.25,81.47,3674100
2017-02-21,81.68,82.42,81.29,82.18,4325000
2017-02-22,82,82.39,81.71,82.08,2741400
2017-02-23,82.33,83.13,81.83,82.07,5595200
2017-02-24,81.41,81.82,80.97,81.78,4434200
2017-02-27,81.63,81.92,80.9,81.54,3289300
2017-02-28,81.5,81.83,80.69,81.35,10533000
2017-03-01,82.87,84.4,82.11,83.81,14319200
2017-03-02,83.56,83.7,82.35,82.67,5884800
2017-03-03,82,82.59,81.65,82.22,6217200
2017-03-06,81.76,82.72,81.62,82.5,5328500
2017-03-07,83.36,84.39,82.81,82.97,5431800
2017-03-08,82.96,83.84,82.94,83.48,3732400
2017-03-09,83.19,83.58,82.81,83.28,3646900
2017-03-10,83.56,83.95,83.24,83.51,3930000
2017-03-13,83.47,83.74,83.08,83.61,3463700
2017-03-14,83.42,83.62,82.73,83.51,2933500
2017-03-15,83.56,83.77,83,83.48,3074100
2017-03-16,83.95,84,83.27,83.52,3762100
2017-03-17,83.94,83.98,83.02,83.03,7828200
2017-03-20,83.03,83.63,82.81,82.9,3428700
2017-03-21,83,83.18,81.37,81.55,4206200
2017-03-22,81.69,81.97,81.14,81.88,3057000
2017-03-23,82,82.4,81.46,81.52,3056700
2017-03-24,81.88,82.25,81.29,81.61,3701800
2017-03-27,81,81.79,80.5,81.61,3403000
2017-03-28,81.44,82.35,81.3,82.14,3216000
2017-03-29,82.04,82.44,81.66,82.38,2874000
2017-03-30,82.25,82.59,82.02,82.56,3483000
2017-03-31,82.27,82.93,82.19,82.49,3174000
2017-04-03,82.61,82.98,81.55,82.31,4224200
2017-04-04,82.74,83.13,82.53,82.97,4441500
2017-04-05,83.19,86.42,83.01,85.34,13289300
2017-04-06,85.42,85.45,84.37,85,5014400
2017-04-07,84.7,84.85,83.82,84.38,4876400
2017-04-10,84.13,84.61,83.86,84.24,3401300
2017-04-11,84.07,84.27,83.3,83.86,2536200
2017-04-12,83.83,84.08,83.2,83.37,3098400
2017-04-13,83.2,84.06,83.13,83.13,2594700
2017-04-17,83.25,84.23,83,84.2,2960800
2017-04-18,84,84.4,83.53,83.71,2498200
2017-04-19,84.08,84.21,83.35,83.5,2840600
2017-04-20,83.95,84.36,83.46,84.05,4012300
2017-04-21,84.01,84.4,83.65,83.79,2946100
2017-04-24,84.51,84.65,83.75,84.17,3193800
2017-04-25,84.57,85.13,84.35,84.75,3016500
2017-04-26,84.75,85.12,84.39,84.95,2165000
2017-04-27,85.38,86.32,85.29,85.85,2944500
2017-04-28,85.78,86.22,85.28,86.12,2919200
2017-05-01,86.25,86.88,86.25,86.66,3290000
2017-05-02,86.79,87.2,86.11,87.09,3503200
2017-05-03,86.97,87.06,86.19,86.55,2786700
2017-05-04,86.75,87.13,86.29,86.52,2140100
2017-05-05,86.44,86.98,86.22,86.97,2595800
2017-05-08,86.93,87.17,86.62,86.86,2168400
2017-05-09,87.03,87.62,86.9,87.13,2887000
2017-05-10,87.38,87.62,86.9,87.31,2920700
2017-05-11,87.38,87.95,86.57,87.71,2731600
2017-05-12,87.97,89.28,87.57,89.04,5586600
2017-05-15,89.27,89.94,89.05,89.8,4053900
2017-05-16,90.01,90.28,89.41,89.75,6422300
2017-05-17,89.75,89.75,87.57,87.84,5619200
2017-05-18,87.88,88.4,87.17,87.75,10180000
2017-05-19,90.95,91,86.44,87.4,15733500
2017-05-22,87.54,89.05,86.87,88.94,6058400
2017-05-23,88.73,89.25,88.16,88.49,4344600
2017-05-24,88.43,89.72,88.33,89.6,4577200
2017-05-25,89.97,91.81,89.91,91.27,7407100
2017-05-26,90.93,91.1,90.46,90.83,5284500
2017-05-30,90.5,91.07,90.47,90.86,4626500
2017-05-31,90.69,90.97,89.48,89.64,6030100
2017-06-01,90,90.64,89.32,90.05,4890600
2017-06-02,90.24,91.09,89.83,90.86,4969200
