Date,Open,High,Low,Close,Volume
2025-01-02,236.16,239.5,230.24,231.98,31525800
2025-01-03,233.59,236.49,229,232.55,24973200
2025-01-06,236.5,241.75,233.3,236.41,34028400
2025-01-07,239.5,239.5,227.6,228.64,25928600
2025-01-08,229.7,232.47,226.06,229.31,18756500
2025-01-10,227.3,227.83,221.25,224.31,23864000
2025-01-13,219.99,229.26,219.51,225.29,23772100
2025-01-14,226.57,230.26,223.1,224.7,18143100
2025-01-15,228.55,230.34,225.58,228,21745600
2025-01-16,235.22,238.6,229.21,229.41,23471900
2025-01-17,237.08,238.1,232.66,237.44,31196600
2025-01-21,241.5,242.75,237.4,240.31,30903200
2025-01-22,246.75,246.99,240.69,240.91,29610500
2025-01-23,238.41,240.4,236.12,240.28,17653900
2025-01-24,244.7,249.59,241.91,244.7,25387800
2025-01-27,213.4,218.43,196.23,202.13,90569400
2025-01-28,208.01,209.95,198.89,207.36,50316000
2025-01-29,208.84,211.45,202.77,206.35,32533700
2025-01-30,218.57,221.96,213.7,215.66,42449500
2025-01-31,219.66,226.8,216.3,221.27,41104700
2025-02-03,215.46,220.94,213.51,217.73,24507300
2025-02-04,219.35,223.03,215.3,222.43,23768500
2025-02-05,233.94,237.93,227.5,232,29196000
2025-02-06,234.5,234.8,228.56,231.36,21169500
2025-02-07,235,235.65,224.11,224.87,22117500
2025-02-10,227.43,235.82,227.12,235.04,23901600
2025-02-11,232.48,237.89,229.97,235.04,18476200
2025-02-12,230.36,236.48,230,236.35,16397300
2025-02-13,236.06,236.95,230.73,235.8,20962000
2025-02-14,234.53,235.74,228.9,233.04,16988800
2025-02-18,230.1,232.2,224.3,228.53,26080500
2025-02-19,227.85,229.07,224.4,228.73,16375500
2025-02-20,228.65,228.98,222.75,226.74,16104000
2025-02-21,225.65,227.75,215.63,218.66,24883600
2025-02-24,218.6,219.48,207.54,207.93,33050400
2025-02-25,207,208.64,200.92,202.54,33100800
2025-02-26,206.91,213.54,206,212.94,21368300
2025-02-27,217.28,219.25,197.4,197.8,27572900
2025-02-28,195.76,201.19,193.15,199.43,39747200
2025-03-03,204,204.06,184.53,187.37,37435600
2025-03-04,189.22,193.95,180.48,187.48,37910500
2025-03-05,191.86,194.08,187.1,191.58,25644500
2025-03-06,181.04,186.83,177.61,179.45,56864100
2025-03-07,187.73,195.48,181.56,194.96,74528900
2025-03-10,189.6,191.98,180.43,184.45,44217100
2025-03-11,188.05,195.62,185.35,190.09,42153200
2025-03-12,196.22,199.98,192.45,194.23,30409700
2025-03-13,193.15,196.32,189.47,191.36,27236100
2025-03-14,196.2,197.5,193.2,195.54,25900900
2025-03-17,188.05,196.72,187.5,194.5,26830600
2025-03-18,190.44,192.89,186.9,188.67,24951000
2025-03-19,189.34,198.27,186.9,195.57,37962700
2025-03-20,191.52,193.84,188.94,190.54,31430000
2025-03-21,188.21,192.07,187.37,191.66,43086500
2025-03-24,194.3,196.69,190.67,191.25,33180300
2025-03-25,190.89,191.6,187.68,188.26,23417300
2025-03-26,186.66,188.06,177.58,179.27,30578500
2025-03-27,177.66,178.38,170.46,171.99,32151700
2025-03-28,171.93,173.3,166.47,169.12,30391500
2025-03-31,164.49,167.94,160.62,167.43,35656400
