Date,Open,High,Low,Close,Volume
2012-01-03,27.25,27.53,27,27.15,726500
2012-01-04,27.19,27.26,26.36,26.4,726900
2012-01-05,26.07,27.06,25.5,26.45,785100
2012-01-06,26.45,26.72,25.95,26,1680800
2012-01-09,25.87,26.27,25.87,26.2,635100
2012-01-10,26.47,26.63,26.24,26.42,926800
2012-01-11,26.29,26.61,26.13,26.14,759700
2012-01-12,26.47,26.47,25.75,26.1,599700
2012-01-13,25.93,26.56,25.93,26.56,613300
2012-01-17,26.78,28.55,26.75,28.05,2405400
2012-01-18,28.11,28.85,27.95,28.4,899900
2012-01-19,28.69,28.8,28.5,28.68,699100
2012-01-20,28.75,29.61,28.72,29.35,1809700
2012-01-23,29.71,29.88,28.75,29.76,831700
2012-01-24,30.22,30.25,29.21,29.5,1218500
2012-01-25,29.76,30.5,29.65,30.5,919900
2012-01-26,30.58,30.65,29.28,29.78,688600
2012-01-27,29.74,30.13,29.4,29.85,890100
2012-01-30,29.86,29.95,29.32,29.84,307200
2012-01-31,29.95,31.37,29.45,30.95,1919900
2012-02-01,31,31.74,30.76,31.3,745100
2012-02-02,31.57,32,31.38,31.67,1047200
2012-02-03,31.81,32.82,31.81,32.51,936900
2012-02-06,32.64,33.81,32.39,33.13,1030700
2012-02-07,33.31,33.78,32.65,32.66,1001800
2012-02-08,32.98,33.33,31.75,33.21,1187500
2012-02-09,33.71,34.24,33.13,33.97,1025400
2012-02-10,33.51,33.82,33.38,33.47,896100
2012-02-13,34.2,34.87,33.02,33.61,2767800
2012-02-14,39.49,43,39.25,42.85,11284200
2012-02-15,43.47,44.97,41.88,42.85,5557000
2012-02-16,42.75,43.81,41.51,42.25,1622400
2012-02-17,42.35,42.7,41.75,41.82,752000
2012-02-21,42.07,42.11,40.17,41.1,1417300
2012-02-22,40.66,42.05,39.62,41.05,1773300
2012-02-23,40.76,42.8,40.67,40.76,1174600
2012-02-24,41.07,42.2,40.61,41.51,683200
2012-02-27,41.82,44.02,41.57,43.66,1631400
2012-02-28,43.9,43.9,42.26,42.69,1029500
2012-02-29,42.72,44.15,42.24,43.25,1183000
2012-03-01,43.69,46.5,43.6,45.73,2651200
2012-03-02,46.4,48.83,45.34,47.95,2688000
2012-03-05,48.31,49.75,46.34,48.63,3750400
2012-03-06,47.1,47.8,46.36,46.81,2034300
2012-03-07,47.26,47.5,45.44,46.1,1725500
2012-03-08,46.87,47.64,46.29,47.08,1137000
2012-03-09,47.7,50.69,47.49,49.59,3940400
2012-03-12,46.94,48.6,46.3,48.57,3081100
2012-03-13,48.52,49.93,48.13,48.75,2468100
2012-03-14,48.9,48.9,47.17,47.57,1576600
2012-03-15,48.03,48.17,46.7,47.65,1219700
2012-03-16,47.72,47.97,45.72,46.28,1299600
2012-03-19,46.51,47.41,44.59,45.32,2699400
2012-03-20,47.02,48.33,44.31,48.09,5487100
2012-03-21,48.87,49.25,47.97,48.63,2443300
2012-03-22,48.2,50.48,47.97,48.72,3695200
2012-03-23,46.78,47.83,46.62,47,18077000
2012-03-26,47.63,47.75,46.94,47.08,3688100
2012-03-27,47.27,47.35,46.35,46.53,2376700
2012-03-28,46.07,46.42,44.95,45.02,3189100
2012-03-29,44.5,45.98,44.46,45.69,2601900
2012-03-30,46.24,46.75,45,46.59,4633700
2012-04-02,46.8,47,45.92,46.15,1475400
2012-04-03,46.22,47.49,46.22,47.01,1619500
2012-04-04,46.45,47.94,46.3,47.45,1964300
2012-04-05,47.27,48,46.96,47.53,3722600
2012-04-09,46.59,47.27,46.4,46.8,1495600
2012-04-10,46.51,46.71,42.3,43.17,5875100
2012-04-11,43.74,44.2,41.39,42.9,4165800
2012-04-12,42.9,44.07,42.79,43.98,1526900
2012-04-13,44,44.74,43.03,43.62,1304100
2012-04-16,44.32,44.6,41.08,42.1,3018800
2012-04-17,42.3,43.2,41.91,42.88,1175100
2012-04-18,42.6,43.29,42.25,42.98,1003800
