Date,Shares
2024-11-22,1331020032
2024-11-23,1331020032
2024-11-26,1331020032
2024-11-28,1331020032
2024-11-30,1331020032
2024-12-03,1331020032
2024-12-04,1337549952
2024-12-05,1331020032
2024-12-06,1338989952
2024-12-13,1341219968
2024-12-14,1331020032
2024-12-24,1331020032
2024-12-25,1331020032
2024-12-31,1331020032
2025-01-01,1331020032
2025-01-04,1332620032
2025-01-07,1351660032
2025-01-09,1331020032
2025-01-11,1331020032
2025-01-17,1331020032
2025-01-22,1331020032
2025-01-24,1331020032
2025-01-28,1331020032
2025-01-31,1331020032
2025-02-01,1331330048
2025-02-05,1332120064
2025-02-08,1340760064
2025-02-11,1332120064
2025-02-12,1332120064
2025-02-13,1356600064
2025-02-14,1332120064
2025-02-19,1332120064
2025-02-20,1332120064
2025-02-21,1332120064
2025-02-22,1332120064
2025-02-28,1332120064
2025-03-05,1332120064
2025-03-06,1332120064
2025-03-12,1335090048
2025-03-13,1335090048
2025-03-14,1335090048
2025-03-18,1335090048
2025-03-19,1335090048
2025-03-20,1335090048
2025-03-21,1335090048
2025-03-22,1335090048
2025-03-27,1335090048
2025-03-28,1335090048
2025-04-03,1335090048
2025-04-09,1335090048
2025-04-10,1349379968
2025-04-11,1335090048
2025-04-12,1335090048
2025-04-22,1364409984
2025-04-23,1335090048
2025-04-24,1335949952
2025-04-26,1335949952
2025-05-02,1335949952
2025-05-06,1335949952
2025-05-07,1340440064
2025-05-09,1335949952
2025-05-13,1335949952
2025-05-16,1336349952
2025-05-17,1335949952
2025-05-20,1335949952
2025-05-21,1335949952
2025-05-28,1335949952
2025-05-29,1335949952
2025-05-30,1335949952
2025-05-31,1335949952
2025-06-03,1335949952
2025-06-05,1335949952
2025-06-06,1335949952
2025-06-10,1335949952
2025-06-11,1335949952
2025-06-12,1335949952
2025-06-14,1335949952
2025-06-18,1335949952
2025-06-19,1335949952
2025-06-28,1335949952
2025-07-01,1352909952
2025-07-02,1335949952
2025-07-04,1335949952
2025-07-08,1335949952
2025-07-09,1335949952
2025-07-10,1335949952
2025-07-11,1335949952
2025-07-12,1335949952
2025-07-18,1335949952
2025-07-24,1338540032
2025-07-25,1338540032
2025-07-28,1345490048
2025-07-29,1338540032
2025-07-30,1338540032
2025-07-31,1338540032
2025-08-01,1338540032
2025-08-02,1338540032
2025-08-05,1338540032
2025-08-06,1338540032
2025-08-07,1338540032
2025-08-08,1346320000
2025-08-09,1338540032
2025-08-12,1338540032
2025-08-13,1338540032
2025-08-19,1338540032
2025-08-23,1338540032
2025-08-28,1338540032
2025-08-30,1338540032
2025-09-04,1338540032
2025-09-05,1348400000
2025-09-06,1338540032
2025-09-09,1338540032
2025-09-10,1338540032
2025-09-12,1338540032
2025-09-16,1338540032
2025-09-17,1338541827
2025-09-18,1338541827
2025-09-23,1338541827
2025-09-24,1338541827
2025-09-25,1338541827
2025-09-26,1338541827
2025-09-27,1338541827
2025-10-03,1343120647
2025-10-06,1338943598
2025-10-07,1338541827
2025-10-08,1338541827
2025-10-10,1338541827
2025-10-15,1338541827
2025-10-16,1338541827
2025-10-18,1338541827
2025-10-21,1338541827
2025-10-23,1340771942
2025-10-25,1346700908
2025-10-28,1345049325
2025-10-29,1340771942
2025-10-31,1340771942
2025-11-01,1340771942
2025-11-04,1340771942
2025-11-06,1340771942
2025-11-08,1340771942
2025-11-11,1340771942
2025-11-13,1340771942
2025-11-14,1340771942
2025-11-17,1340771942
2026-02-10,1342287676
2026-03-12,1345974220
2026-04-23,1346683428
2026-07-25,1347758144
