Date,Open,High,Low,Close,Volume
2012-06-29,4.75,4.95,4.566,4.92,54612000
2012-07-02,4.95,5.04,4.82,4.954,3283500
2012-07-03,4.97,5.064,4.92,5.062,2005500
2012-07-05,5.1,5.252,5.028,5.192,2705000
2012-07-06,5.15,5.224,5.02,5.168,1775500
2012-07-09,5.192,5.26,5.036,5.054,762000
2012-07-10,5.044,5.138,5.01,5.01,1520000
2012-07-11,5.004,5.07,4.698,4.748,1482500
2012-07-12,4.66,4.894,4.524,4.816,1627500
2012-07-13,4.938,4.984,4.796,4.836,445500
2012-07-16,4.816,4.912,4.76,4.876,590500
2012-07-17,4.896,4.896,4.786,4.854,1137500
2012-07-18,4.886,4.938,4.8,4.846,519000
2012-07-19,4.934,4.934,4.78,4.8,1272500
2012-07-20,4.808,5.046,4.78,5.046,1304500
2012-07-23,5.002,5.002,4.782,4.87,3017000
2012-07-24,4.966,5.192,4.92,4.968,1457500
2012-07-25,5.012,5.094,4.968,4.986,554000
2012-07-26,4.986,5.07,4.8,4.884,790000
2012-07-27,4.896,5.088,4.864,5.066,500500
2012-07-30,5.05,5.09,5.01,5.078,421500
2012-07-31,5.088,5.512,5.082,5.4,1420000
2012-08-01,5.464,5.596,5.352,5.542,559500
2012-08-02,5.5,5.86,5.4,5.816,2784500
2012-08-03,5.886,6.286,5.716,5.734,2155000
2012-08-06,5.8,5.832,5.446,5.604,2919000
2012-08-07,5.66,5.75,5.558,5.6,990000
2012-08-08,5.582,5.582,5.402,5.514,1483500
2012-08-09,5.496,6.004,5.46,5.902,677500
2012-08-10,5.874,6.4,5.874,6.33,1100000
2012-08-13,6.406,6.51,6.344,6.486,1074500
2012-08-14,6.53,6.792,6.44,6.456,2762000
2012-08-15,6.422,6.422,5.894,5.936,2339000
2012-08-16,6.012,6.114,5.92,5.95,1502500
2012-08-17,6,6.008,5.888,5.92,1946500
2012-08-20,5.91,5.99,5.91,5.978,1388500
2012-08-21,6.038,6.122,5.99,6.052,983500
2012-08-22,6.054,6.104,5.966,5.97,3089000
2012-08-23,5.986,6.134,5.762,5.806,1461000
2012-08-24,5.758,5.988,5.758,5.94,728000
2012-08-27,5.94,6.262,5.826,5.854,1300000
2012-08-28,5.854,5.94,5.81,5.864,762500
2012-08-29,5.878,5.958,5.85,5.898,583000
