Date,Open,High,Low,Close,Volume
2007-01-03,1.7592,1.7968,1.734,1.7588,32542500
2007-01-04,1.7616,1.7848,1.7436,1.7776,23015000
2007-01-05,1.7728,1.7796,1.7464,1.7548,12262500
2007-01-08,1.7588,1.76,1.7384,1.7504,15352500
2007-01-09,1.76,1.774,1.7476,1.7624,14077500
2007-01-10,1.7544,1.7968,1.746,1.7936,30227500
2007-01-11,1.7972,1.7972,1.7704,1.786,15970000
2007-01-12,1.7748,1.788,1.7664,1.78,10652500
2007-01-16,1.7852,1.7912,1.7684,1.782,12067500
2007-01-17,1.782,1.784,1.756,1.7612,15265000
2007-01-18,1.7716,1.7716,1.7012,1.726,22132500
2007-01-19,1.7216,1.7304,1.7036,1.7196,11617500
2007-01-22,1.7288,1.7288,1.704,1.7096,11095000
2007-01-23,1.7016,1.716,1.7012,1.7088,7222500
2007-01-24,1.7188,1.7324,1.7092,1.7236,10390000
2007-01-25,1.7264,1.728,1.6884,1.6952,16270000
2007-01-26,1.6916,1.6992,1.672,1.6916,11905000
2007-01-29,1.6784,1.7136,1.6784,1.7028,17592500
2007-01-30,1.7056,1.7132,1.702,1.708,16542500
2007-01-31,1.708,1.7156,1.6924,1.7048,23825000
2007-02-01,1.716,1.7356,1.7104,1.7268,16892500
2007-02-02,1.7288,1.776,1.7288,1.7604,22070000
2007-02-05,1.7552,1.7988,1.7552,1.7824,29720000
2007-02-06,1.7812,1.7952,1.7596,1.7832,35057500
2007-02-07,1.7916,1.8392,1.7836,1.8256,30317500
2007-02-08,1.8324,1.8324,1.7988,1.8,15497500
2007-02-09,1.8064,1.8364,1.8064,1.8236,28315000
2007-02-12,1.8348,1.852,1.812,1.8372,65362500
2007-02-13,1.986,2.0556,1.95,2.032,211467500
2007-02-14,2.032,2.05,2.0224,2.0404,36795000
2007-02-15,2.0396,2.0724,2.0144,2.0328,33865000
2007-02-16,2.0256,2.0808,2.0144,2.0748,39427500
2007-02-20,2.0748,2.1556,2.0668,2.14,43947500
2007-02-21,2.132,2.1784,2.1088,2.1664,52870000
2007-02-22,2.1672,2.1876,2.1272,2.1448,21440000
2007-02-23,2.1448,2.1832,2.1444,2.16,16410000
2007-02-26,2.176,2.1872,2.08,2.1504,21302500
2007-02-27,2.1216,2.1428,2.0912,2.0912,32722500
2007-02-28,2.0916,2.138,2.074,2.0964,29835000
2007-03-01,2.068,2.156,2.0512,2.1264,68180000
2007-03-02,2.1216,2.126,2.0744,2.0772,37267500
2007-03-05,2.0548,2.0868,2.0108,2.0528,30807500
2007-03-06,2.066,2.0992,2.0608,2.0808,42215000
2007-03-07,2.0816,2.1064,2.0568,2.086,29447500
2007-03-08,2.0992,2.1524,2.0992,2.1124,25822500
2007-03-09,2.1332,2.138,2.0644,2.0908,15975000
2007-03-12,2.092,2.124,2.0836,2.1156,10415000
2007-03-13,2.0968,2.102,2.0492,2.0536,19117500
2007-03-14,2.0468,2.0736,1.992,2.0708,21222500
2007-03-15,2.0648,2.0796,2.0504,2.0664,10450000
2007-03-16,2.07,2.0896,2.0512,2.0684,11860000
2007-03-19,2.0704,2.0988,2.0644,2.0932,18110000
2007-03-20,2.0988,2.134,2.094,2.134,16937500
2007-03-21,2.1384,2.1592,2.1104,2.1592,13035000
2007-03-22,2.174,2.2444,2.1736,2.2104,29232500
2007-03-23,2.1988,2.208,2.1256,2.168,18750000
2007-03-26,2.1704,2.1796,2.1128,2.1444,14112500
2007-03-27,2.1476,2.148,2.1044,2.1176,30492500
2007-03-28,2.1012,2.1072,2.0824,2.0968,13315000
2007-03-29,2.1116,2.1184,2.08,2.1036,23317500
2007-03-30,2.1004,2.1384,2.0848,2.1304,18870000
2007-04-02,2.1364,2.192,2.1332,2.1816,26517500
2007-04-03,2.1948,2.2016,2.1652,2.174,17877500
2007-04-04,2.1788,2.184,2.1604,2.1764,15545000
2007-04-05,2.1804,2.194,2.1724,2.1816,9477500
2007-04-09,2.198,2.2172,2.1568,2.1684,18592500
2007-04-10,2.1704,2.1992,2.1636,2.1956,9822500
2007-04-11,2.1956,2.2216,2.194,2.2108,18975000
2007-04-12,2.2096,2.2288,2.1776,2.2028,16355000
2007-04-13,2.2,2.2228,2.1832,2.2228,16677500
2007-04-16,2.228,2.2556,2.1928,2.252,42102500
2007-04-17,2.2516,2.278,2.2272,2.2696,17462500
2007-04-18,2.2528,2.2684,2.236,2.2468,11667500
2007-04-19,2.238,2.238,2.1748,2.1776,15917500
2007-04-20,2.1976,2.1976,2.1724,2.1756,12540000
2007-04-23,2.174,2.196,2.162,2.1724,14650000
2007-04-24,2.1796,2.2064,2.1716,2.1888,15422500
