Date,Open,High,Low,Close,Volume
2010-01-04,81.38,82.23,80.5,81.95,1010100
2010-01-05,81.92,81.95,80.56,81.78,1209300
2010-01-06,81.73,82.44,80.87,81.06,1335100
2010-01-07,81.73,83.49,81.06,82.8,1567300
2010-01-08,82.43,84.73,82.43,84.56,1357200
2010-01-11,84.82,85.17,83.88,84.02,848100
2010-01-12,83.24,83.24,81.55,82.35,852600
2010-01-13,83.07,83.36,82.03,83.07,721300
2010-01-14,82.81,84,82.75,83.17,592500
2010-01-15,83.14,83.85,81.95,82.3,728600
2010-01-19,82,82.69,81.34,82.64,703800
2010-01-20,82.25,82.25,80.02,81.36,981200
2010-01-21,81.25,81.59,78.1,78.83,1368200
2010-01-22,78.17,78.96,75.94,77.57,2366900
2010-01-25,79.34,79.39,76.03,76.72,1076100
2010-01-26,76.35,77.45,75.35,76.1,996300
2010-01-27,75.79,76.37,74.54,75.88,848700
2010-01-28,76.05,76.88,74.75,75.68,1024900
2010-01-29,76.12,76.98,74.87,75.18,1282300
2010-02-01,75.63,76.32,75.33,76.06,1160200
2010-02-02,78.86,83.27,78.85,82.23,5826000
2010-02-03,81.26,82.57,80.58,82.08,2072800
2010-02-04,80.93,81.06,78.38,78.63,2354100
2010-02-05,78.45,79.1,73.3,76.12,2661100
2010-02-08,76.19,77.38,74.25,75.61,1987600
2010-02-09,76.8,78.23,75.18,77.88,1725000
2010-02-10,77.95,78.71,76.38,77.64,1134600
2010-02-11,77.93,80.48,77.39,80.34,1273100
2010-02-12,79.03,81.25,79.03,81.17,1163000
2010-02-16,80.37,82.39,79.69,82.31,1473700
2010-02-17,82.2,83.21,82.03,83.06,975500
2010-02-18,82.89,84.85,82.03,84.56,1501500
2010-02-19,83.93,85.14,83.93,84.67,1175900
2010-02-22,84.9,85.12,84.13,84.52,1336600
2010-02-23,84.01,84.53,82.41,82.92,1211700
2010-02-24,83.02,83.65,81.85,83.55,1121100
2010-02-25,82.09,83.79,82.06,83.61,1205500
2010-02-26,83.54,84.44,82.99,84.16,1013700
2010-03-01,84.5,85.92,83.67,85.89,884200
2010-03-02,86.35,86.94,85.91,86.38,961600
2010-03-03,86.49,87.52,86.09,86.69,884900
2010-03-04,86.81,86.96,85.31,85.5,1046200
2010-03-05,86.19,86.99,85.8,86.67,796600
2010-03-08,86.84,87.22,86.26,86.87,838400
2010-03-09,86.77,88.08,86.54,87.25,998900
2010-03-10,87.07,87.76,86.49,86.94,829300
2010-03-11,86.87,86.87,85.76,86.53,939700
2010-03-12,86.73,86.89,85.58,86,891400
2010-03-15,85.69,87.76,84.96,86.29,1434000
2010-03-16,86.36,88.23,85.94,88.07,998500
2010-03-17,88.37,89.16,88.05,88.61,1045600
2010-03-18,88.62,89.4,88.62,88.9,807100
2010-03-19,86.28,88.9,85.98,86.28,1575800
2010-03-22,85.93,88.77,85.5,88.45,1049700
2010-03-23,88.83,89.95,88.34,89.83,960200
2010-03-24,89.58,89.88,88.72,89.14,704000
2010-03-25,90.05,91.11,89.06,89.13,723800
2010-03-26,89.61,90.84,89,90.01,728400
2010-03-29,90.24,90.64,89.51,90.08,339400
2010-03-30,90.03,90.3,88.57,89,714600
2010-03-31,88.45,88.86,86.92,87.25,848400
2010-04-01,88.08,88.99,86.86,87.77,849800
2010-04-05,88.14,90.99,88.14,90.74,1077200
2010-04-06,90.57,91.62,89.74,91.48,909300
2010-04-07,91.2,91.6,88.8,89.11,1115200
2010-04-08,88.68,92.31,88.66,92.06,1461400
2010-04-09,92.13,93.54,91.12,93.31,1588800
2010-04-12,93.47,94.91,93.04,94.44,1316100
2010-04-13,93.98,94.25,91.68,92.13,1768000
2010-04-14,92.65,93.02,91.58,92.86,1151200
2010-04-15,92.23,94.71,92.08,93.22,1420400
2010-04-16,94.61,94.74,91.6,93.41,1424500
2010-04-19,92.81,94.31,91.69,93.6,1129700
2010-04-20,94.34,96.91,94.34,96.09,1679900
