Date,Open,High,Low,Close,Volume
2020-01-02,53.04,53.37,52.82,53.35,3363200
2020-01-03,52.82,53.22,52.77,52.98,2125400
2020-01-06,52.65,52.92,52.62,52.83,2760700
2020-01-07,52.75,52.86,52.25,52.33,3922100
2020-01-08,52.44,52.95,52.38,52.49,2854900
2020-01-09,52.6,52.76,52.35,52.5,3646500
2020-01-10,52.68,53.03,52.05,52.07,2842800
2020-01-13,52.15,52.51,52.11,52.5,3201000
2020-01-14,52.45,52.5,52.12,52.2,3212500
2020-01-15,52.16,52.57,52.12,52.3,4637100
2020-01-16,52.55,52.92,52.47,52.79,3048600
2020-01-17,52.89,53.46,52.79,53.42,3369800
2020-01-21,53.2,53.39,52.83,52.84,2968700
2020-01-22,53.02,53.06,52.47,52.53,2523400
2020-01-23,52.24,52.67,51.92,52.56,3005700
2020-01-24,52.73,52.8,52.01,52.39,2793800
2020-01-27,51.72,52.1,51.65,51.83,2619600
2020-01-28,52.07,52.69,52,52.37,2576700
2020-01-29,52.56,52.78,52.35,52.38,1566400
2020-01-30,51.94,53.12,51.94,53.04,2552000
2020-01-31,52.72,52.8,51.52,51.57,4313400
2020-02-03,51.85,52.45,51.85,52.01,4109800
2020-02-04,52.5,52.82,52.17,52.17,3685200
2020-02-05,52.65,53.28,52.42,53.28,4929500
2020-02-06,53.24,53.38,52.46,52.74,3480500
2020-02-07,52.71,53.29,52.67,52.93,2341700
2020-02-10,52.83,52.91,52.44,52.74,2168600
2020-02-11,52.89,53.35,52.83,52.94,2026700
2020-02-12,53.02,53.09,52.38,52.4,2474400
2020-02-13,52.41,52.66,52.12,52.46,2568500
2020-02-14,52.5,52.82,52.4,52.81,2073500
2020-02-18,52.4,52.5,51.74,51.88,2210000
2020-02-19,51.92,51.95,51.55,51.55,2182600
2020-02-20,51.48,51.65,51.14,51.49,2623700
2020-02-21,51.28,51.72,51.12,51.53,2977600
2020-02-24,50.54,50.7,49.19,49.23,4080300
2020-02-25,49.3,49.42,47.51,47.7,4013900
2020-02-26,48.05,48.3,46.1,46.55,5292000
2020-02-27,45.77,46.39,44.38,44.4,6232300
2020-02-28,43.31,43.87,41.92,42.85,8935600
2020-03-02,43.12,45.3,42.92,45.29,6569000
2020-03-03,45.03,45.65,43.08,43.33,7325900
2020-03-04,44.19,44.62,43.12,44.55,7922500
2020-03-05,43.21,43.21,41.19,41.58,5574500
2020-03-06,39.72,40.96,39.27,40.78,6310800
2020-03-09,38,40.15,36.75,37.59,7871300
2020-03-10,39.04,39.27,37.21,39.22,6962000
2020-03-11,37.91,38.09,36.33,36.94,5903400
2020-03-12,33.41,34.69,31.41,31.42,6057800
2020-03-13,33.54,34.85,31.16,34.69,6242000
2020-03-16,30.1,32.52,28.82,28.99,5979300
2020-03-17,29.51,30.35,27.01,30.15,7086300
2020-03-18,27.86,28.59,23.07,25.27,7493400
2020-03-19,25.17,28.45,24.19,26.9,7171300
2020-03-20,27.32,29.35,26.23,26.73,6985900
2020-03-23,26.43,26.99,25.13,25.69,6925700
2020-03-24,27.5,29.22,26.68,29.11,6025300
