Date,Open,High,Low,Close,Volume
2008-04-17,49.51,49.99,49.21,49.77,460700
2008-04-18,50.43,50.99,50.19,50.45,712800
2008-04-21,50.2,50.53,49.45,50.44,506400
2008-04-22,50.3,50.33,49.26,49.77,551300
2008-04-23,50.04,50.86,49.44,50.02,595100
2008-04-24,48.94,49.28,46.42,48.32,1484300
2008-04-25,48.09,49.11,48.06,48.93,781600
2008-04-28,48.78,49.74,48.78,49.19,808600
2008-04-29,49.3,49.65,48.86,49.52,717800
2008-04-30,49.55,49.62,48.07,48.24,829900
2008-05-01,48.27,49.69,48.09,49.66,501200
2008-05-02,49.78,50.16,49.27,50.05,621000
2008-05-05,49.95,50.09,49.22,49.69,557100
2008-05-06,49.36,49.77,48.87,49.55,512900
2008-05-07,49.65,50,48.68,48.77,565800
2008-05-08,48.82,49.53,48.37,48.81,481700
2008-05-09,48.4,48.8,48.18,48.64,359800
2008-05-12,48.93,49.17,48.5,49.17,471200
2008-05-13,49.36,50.03,49.01,49.76,1090700
2008-05-14,50.13,50.84,49.76,50,837800
2008-05-15,49.94,50.22,49.7,50.14,840900
2008-05-16,50.03,50.27,49.38,49.92,483100
2008-05-19,49.75,50.79,49.45,50.13,440800
2008-05-20,49.94,50.05,49.46,49.86,469000
2008-05-21,49.84,50.11,48.85,48.85,590100
2008-05-22,48.94,49.46,48.69,49,668200
2008-05-23,48.71,48.82,48,48.33,363300
2008-05-27,48.35,48.5,47.57,48.27,663500
2008-05-28,48.48,49.11,48.37,48.93,614400
2008-05-29,48.7,49.1,48.29,48.91,624900
2008-05-30,48.88,48.94,48.16,48.58,668400
2008-06-02,48.35,48.37,47.09,47.46,716900
2008-06-03,47.29,47.5,46.57,47.18,763600
2008-06-04,46.8,47.67,46.7,47.49,902200
2008-06-05,47.72,48.5,47.72,48.5,613300
2008-06-06,48,48.32,47.39,47.44,760900
2008-06-09,47.54,47.84,47.09,47.69,557000
2008-06-10,47.26,48.14,47.16,47.6,916400
2008-06-11,47.19,47.47,46.3,46.3,720600
2008-06-12,46.77,47.51,46.63,46.89,489200
2008-06-13,47.44,48.34,47.22,48.34,572700
2008-06-16,47.72,48.11,47.55,47.9,490500
2008-06-17,47.92,48,46.9,46.93,479800
2008-06-18,46.77,46.77,45.61,45.87,555100
2008-06-19,45.95,46.97,45.77,46.87,504200
2008-06-20,46.42,46.61,45.56,45.77,614200
2008-06-23,46.21,46.31,45.06,45.49,980500
2008-06-24,45.36,46.28,44.78,45.53,556400
2008-06-25,45.48,46.5,45.48,46.01,392900
2008-06-26,45.22,45.62,44.82,44.82,678500
2008-06-27,44.83,45.19,44.5,44.87,822800
2008-06-30,44.5,45.32,44.48,44.83,598200
2008-07-01,44.22,45.18,43.62,44.2,880500
2008-07-02,44.38,44.64,43.31,43.31,744900
2008-07-03,43.64,44.65,43.15,44.37,557300
2008-07-07,44.37,44.95,43.62,44,677800
2008-07-08,44.03,45.19,43.79,45.11,750000
2008-07-09,45.07,45.35,43.86,43.9,544300
2008-07-10,43.84,43.95,43,43.51,678000
2008-07-11,43.1,43.1,41.74,42.43,1094800
2008-07-14,43.03,43.16,41.7,42.12,727000
2008-07-15,41.7,41.99,40.56,41.45,946700
2008-07-16,41.58,43.09,41.24,43.07,599100
2008-07-17,43.09,45.89,42.98,45.78,1283700
2008-07-18,46.01,46.05,44.43,45.25,766800
2008-07-21,43.86,44.05,42.56,43.44,1173500
2008-07-22,41.35,48.14,41.35,46.68,2287700
2008-07-23,46.59,46.59,45.15,46.18,1145400
2008-07-24,45.95,45.95,44.85,45.25,987300
2008-07-25,45.41,45.99,44.97,45.16,604900
2008-07-28,45.06,45.73,44.56,44.56,522700
2008-07-29,44.67,45.47,44.41,45.25,701100
2008-07-30,45.56,45.79,44.93,45.45,553900
2008-07-31,44.78,45.46,44.32,44.48,640700
2008-08-01,44.55,45.08,43.86,44.72,490800
2008-08-04,44.7,44.8,43.72,44.18,453000
2008-08-05,44.53,46.35,44.31,46.25,839100
2008-08-06,45.92,46.57,45.77,46.38,358700
2008-08-07,46.28,46.35,45.36,45.6,438100
2008-08-08,45.57,47.75,45.47,47.5,634500
2008-08-11,47.48,49.57,47.16,48.96,673800
2008-08-12,48.7,48.72,47.25,47.54,549100
2008-08-13,47.54,47.68,46.54,46.98,500700
2008-08-14,46.6,48.44,46.48,47.95,529100
2008-08-15,47.86,48.07,47.11,47.67,663200
2008-08-18,48.14,48.29,47.02,47.41,609300
2008-08-19,47.28,47.28,46.1,46.52,440000
2008-08-20,46.65,46.65,45.58,46.4,545500
2008-08-21,45.9,47.41,45.9,47.33,672100
2008-08-22,48.17,48.17,47.29,47.93,434800
2008-08-25,47.59,47.68,46.8,47.32,393600
2008-08-26,47.2,47.32,46.15,46.68,622100
2008-08-27,46.84,47.13,46.64,47,459500
2008-08-28,47.2,47.93,46.9,47.8,592700
2008-08-29,47.71,48.33,47.42,47.95,409900
2008-09-02,48.05,49.38,47.67,48.05,709500
2008-09-03,47.82,49.58,47.76,49.46,1029900
2008-09-04,49,49,47.14,47.45,738900
2008-09-05,47.21,47.69,46.31,47.6,462400
2008-09-08,48.52,49.49,47.96,48.25,1192900
2008-09-09,48.43,49.06,47.19,47.28,916800
2008-09-10,47.56,47.76,46.6,46.85,841700
2008-09-11,46.25,47.02,45.09,46.87,1167700
2008-09-12,46.44,48.18,46.03,48.12,711000
2008-09-15,46.6,47.8,46.11,46.6,818300
2008-09-16,45.49,46.62,44.89,45.98,1084100
2008-09-17,45.03,45.67,43.55,43.55,1072400
2008-09-18,44.17,45.68,42.63,45.04,1783700
2008-09-19,46.34,48.5,45.22,47.27,1075900
2008-09-22,46.67,47.13,45.85,46,724700
2008-09-23,46.04,47.11,45.45,45.7,696000
2008-09-24,45.96,46.41,45.11,45.67,519600
2008-09-25,45.91,47.09,45.89,46.07,634400
2008-09-26,46,46,44.14,44.7,789200
2008-09-29,43.87,43.93,39.98,40.55,1740000
2008-09-30,41.45,42.13,39.69,41.74,1125900
2008-10-01,41.36,42.64,40.81,42.49,783600
2008-10-02,42.25,42.47,40.89,41.06,1037600
2008-10-03,41.59,42.38,39.65,39.73,804700
2008-10-06,38.27,39.33,36.41,38.23,1373100
2008-10-07,38.35,38.6,35.64,35.76,1820500
2008-10-08,34.55,37.29,34.32,36.66,1178000
2008-10-09,36.48,37.51,34.19,34.19,1180300
2008-10-10,32.74,35,31.49,33.43,1187500
2008-10-13,35.38,36.76,34.32,36.36,896100
2008-10-14,38.41,38.41,35.53,36.61,730400
2008-10-15,36.04,36.18,33.03,33.13,670900
2008-10-16,32.87,34.31,31.1,34.07,950600
2008-10-17,31.05,35.74,31.05,34.81,1232400
2008-10-20,35.58,35.96,34.41,35.96,756600
2008-10-21,36.51,36.99,35.15,35.75,971100
2008-10-22,34.09,35.05,32.16,32.99,919500
2008-10-23,33.7,33.85,30.64,32.17,762000
2008-10-24,30.18,32.01,29.97,31.02,867800
2008-10-27,29.9,31.85,29.7,29.86,847900
2008-10-28,30.69,31.76,28.18,31.73,1208000
2008-10-29,31.79,32.74,31.16,31.31,910800
2008-10-30,32.03,32.49,30.97,32.22,682700
2008-10-31,32.02,33.64,31.73,32.74,859900
2008-11-03,32.59,33.96,32.34,33.66,783700
2008-11-04,34.21,37.6,34.21,37.43,1653100
2008-11-05,37.11,37.42,35.73,35.88,1332800
2008-11-06,35.54,36.08,33.65,33.73,1043800
2008-11-07,33.5,34.15,33.04,33.83,983100
2008-11-10,34.42,34.54,32.94,33.28,661500
2008-11-11,32.73,33.38,31.53,32.16,955500
2008-11-12,31.47,31.95,30.07,30.16,995900
2008-11-13,30.4,33.23,29.66,33.23,1020500
2008-11-14,32.61,32.99,31.03,31.12,830300
2008-11-17,30.7,31.62,30.44,30.49,502300
2008-11-18,30.37,31.05,29.72,30.59,767400
2008-11-19,30.38,30.62,27.36,27.43,1389900
2008-11-20,27.25,28.52,25.37,25.38,1343100
2008-11-21,25.73,26.24,24.19,26.24,1374000
2008-11-24,26.79,29.28,26.62,28.8,1182900
2008-11-25,29.13,29.71,28.15,29.38,597000
2008-11-26,28.51,31.27,28.14,31.27,670800
2008-11-28,31.16,31.79,30.81,31.79,247100
2008-12-01,31.04,31.04,29.16,29.25,577600
2008-12-02,29.66,30.46,29.21,30.24,592800
2008-12-03,29.17,30.98,28.81,30.88,589600
2008-12-04,30.3,31.86,30.06,30.59,780800
2008-12-05,30.05,32.41,29.36,32.35,761700
2008-12-08,33.25,34.14,32.87,33.15,1097100
2008-12-09,33.01,34.21,32.48,32.84,942500
2008-12-10,33.34,34.79,33.21,34.32,936000
2008-12-11,33.22,34.05,31.99,32.3,1979300
2008-12-12,31.16,31.93,30.05,31.4,1330900
2008-12-15,31.65,31.65,29.2,29.68,1384100
2008-12-16,29.69,32.07,29.39,32.06,1083800
2008-12-17,31.89,33.39,31.55,33.19,1067800
2008-12-18,33.44,33.6,32.34,33.2,1095800
2008-12-19,33.57,34.12,32.38,32.49,1173300
2008-12-22,32.46,32.86,31.08,31.69,718800
2008-12-23,32.44,32.44,31.2,31.55,519700
2008-12-24,31.8,32.45,31.5,32.13,227100
2008-12-26,32.4,32.47,31.91,32.44,188700
2008-12-29,32.39,32.6,31.68,31.95,622900
2008-12-30,32.18,33.03,31.94,32.99,432800
2008-12-31,33.15,34.39,32.88,34.1,716000
