Date,Open,High,Low,Close,Volume
2007-01-03,14.185,14.29,13.97,14.115,1197600
2007-01-04,14.085,14.095,13.95,14.06,862000
2007-01-05,14.025,14.13,13.955,14.05,901800
2007-01-08,14.05,14.055,13.865,14,963000
2007-01-09,13.965,13.99,13.875,13.95,971000
2007-01-10,13.9,13.99,13.8,13.915,614400
2007-01-11,13.945,14.04,13.82,14.025,827000
2007-01-12,14.025,14.09,14.005,14.08,460400
2007-01-16,14.095,14.225,14.045,14.125,1049200
2007-01-17,14.075,14.105,14,14.05,677200
2007-01-18,14.04,14.1,14,14.01,895400
2007-01-19,13.96,14.15,13.925,14.125,758000
2007-01-22,14.1,14.125,13.78,13.82,1717400
2007-01-23,13.795,13.92,13.75,13.86,949200
2007-01-24,13.875,14.015,13.84,14.015,707000
2007-01-25,14.015,14.035,13.89,13.94,1191800
2007-01-26,13.95,14.025,13.915,13.975,631000
2007-01-29,13.93,14.045,13.93,14,1136000
2007-01-30,14.04,14.075,14,14.06,475200
2007-01-31,14.015,14.19,13.995,14.16,855200
2007-02-01,14.17,14.38,14.17,14.33,1317800
2007-02-02,14.31,14.38,14.215,14.37,868200
2007-02-05,14.32,14.41,14.305,14.345,938800
2007-02-06,14.35,14.4,14.285,14.38,817600
2007-02-07,14.425,14.505,14.37,14.48,677200
2007-02-08,14.485,14.51,14.37,14.455,573400
2007-02-09,14.475,14.485,14.305,14.375,733600
2007-02-12,14.4,14.425,14.145,14.22,903400
2007-02-13,14.22,14.26,14.01,14.09,1264000
2007-02-14,14.095,14.23,14.07,14.215,1342600
2007-02-15,14.25,14.335,14.155,14.335,1021200
2007-02-16,14.31,14.36,14.27,14.31,829000
2007-02-20,14.27,14.285,14.105,14.22,979600
2007-02-21,14.195,14.205,14.11,14.14,562200
2007-02-22,14.175,14.26,14.105,14.165,544000
2007-02-23,14.125,14.145,13.975,14.135,626400
2007-02-26,14.225,14.385,14.215,14.35,1114200
2007-02-27,14.25,14.29,14.015,14.06,1139600
2007-02-28,14.095,14.12,13.945,14.075,1011000
2007-03-01,13.94,14.04,13.75,13.965,1091400
2007-03-02,13.915,13.97,13.76,13.81,1107000
2007-03-05,13.75,14.055,13.72,13.95,1626200
2007-03-06,14,14.13,13.945,14.1,1485000
2007-03-07,14.095,14.095,13.88,13.925,985200
2007-03-08,13.985,14.06,13.905,13.99,797000
2007-03-09,14.065,14.085,13.95,13.985,1197000
2007-03-12,13.99,14.035,13.91,14.015,680000
2007-03-13,13.955,13.985,13.715,13.745,936200
2007-03-14,13.715,14.125,13.505,13.78,1090800
2007-03-15,13.745,13.935,13.72,13.885,1051400
2007-03-16,13.875,14.125,13.775,13.815,1121200
2007-03-19,13.885,14,13.79,13.88,1317400
2007-03-20,13.89,14.02,13.845,13.975,1179200
2007-03-21,13.965,14.02,13.8,13.965,910000
2007-03-22,14,14.05,13.815,13.87,1175800
2007-03-23,13.89,13.925,13.665,13.735,1808600
2007-03-26,13.785,13.835,13.65,13.75,944000
2007-03-27,13.7,13.715,13.57,13.6,734200
2007-03-28,13.575,13.64,13.35,13.55,955600
2007-03-29,13.6,13.61,13.355,13.51,1584200
2007-03-30,13.495,13.565,13.38,13.525,1024400
2007-04-02,13.545,13.545,13.13,13.325,1961600
2007-04-03,13.355,13.62,13.355,13.595,1653200
2007-04-04,13.615,13.695,13.45,13.54,1336200
