Date,Open,High,Low,Close,Volume
2001-01-02,15.375,15.5469,14.5312,14.7344,4878000
2001-01-03,14.9844,15.1562,14.25,14.2969,7880400
2001-01-04,14.3125,14.5938,13.2031,13.2969,25899600
2001-01-05,13.5469,13.8125,13.3906,13.4844,8884800
2001-01-08,13.4375,13.8594,13.3438,13.4375,6092000
2001-01-09,13.5938,13.8125,13.3594,13.5781,5587200
2001-01-10,13.5781,14.2969,13.5781,14.125,7573200
2001-01-11,13.875,14.0781,13.5938,13.8438,8792800
2001-01-12,13.7344,13.8906,13.4375,13.5469,6419200
2001-01-16,13.5469,13.8594,13.3125,13.4219,8226800
2001-01-17,13.4688,13.5938,13,13.1719,11669600
2001-01-18,13.1719,13.2969,12.8438,13.0625,10007200
2001-01-19,13.0625,13.1875,12.625,12.8906,13198000
2001-01-22,13.25,13.9531,13.1875,13.8281,10538000
2001-01-23,13.8281,14.6875,13.8281,14.625,10196800
2001-01-24,14.4688,14.9844,14.2969,14.9219,5084800
2001-01-25,14.9219,15.1719,14.8281,15.125,8775200
2001-01-26,15,15.25,14.8281,14.9531,4901600
2001-01-29,14.9525,14.9525,14.655,14.69,4058800
2001-01-30,14.4575,14.495,14.16,14.27,8954000
2001-01-31,14.1875,14.1875,13.73,14.1025,7565600
2001-02-01,14.2,14.475,13.975,14.185,8748000
2001-02-02,14.975,15.5175,14.9625,15.275,18066800
2001-02-05,15.2475,15.635,15.165,15.6025,9640000
2001-02-06,15.7125,15.745,15.225,15.225,9046400
2001-02-07,15.475,16.09,15.465,15.4675,9883200
2001-02-08,15.4875,15.5,15.14,15.225,8996800
2001-02-09,14.85,14.9625,14.5625,14.6375,9462800
2001-02-12,14.8375,15.1225,14.5075,14.78,10798000
2001-02-13,15.1875,15.1875,14.6325,14.6475,6012400
2001-02-14,14.975,15.0175,14.2225,14.25,7660000
2001-02-15,14.5625,14.7,14.06,14.0625,11206400
2001-02-16,14.0625,14.45,14.0625,14.2275,7935200
2001-02-20,14.5875,14.625,13.8125,14.15,7041200
2001-02-21,14.375,14.405,13.9775,14.12,7615200
2001-02-22,14.225,14.2375,13.5025,13.765,8439600
2001-02-23,13.775,13.775,13.2425,13.5825,7837600
2001-02-26,13.82,14.25,13.675,14.0475,7338400
2001-02-27,14.325,14.65,14.1775,14.3525,8135200
2001-02-28,14.5,14.8725,14.4875,14.8075,7023200
2001-03-01,15,15.125,14.3825,14.7475,10278400
2001-03-02,14.8375,15.2475,14.725,15.1975,6264400
2001-03-05,15.1975,15.1975,14.7,15,6898800
2001-03-06,15.05,15.1625,14.825,15.1275,6894000
2001-03-07,15.125,15.25,15.0375,15.125,6291600
2001-03-08,15.1125,15.495,15.0975,15.375,5147600
2001-03-09,15.4375,15.5,15.18,15.2475,5487200
2001-03-12,15.05,15.15,14.775,14.915,5508400
2001-03-13,14.9375,14.995,14.5275,14.725,9993200
2001-03-14,14.625,14.875,14.4625,14.525,6459600
2001-03-15,14.525,14.7,14.4125,14.4775,5696400
2001-03-16,14.4625,14.465,13.9125,13.955,10479200
2001-03-19,14.0375,14.325,13.8,14.1875,7978400
2001-03-20,14.175,14.5275,14.075,14.1875,5508400
2001-03-21,13.9375,14.0875,13.55,13.575,12255200
2001-03-22,13.625,13.675,12.6375,13.175,17008000
2001-03-23,13.37,13.805,13.2425,13.625,8599600
2001-03-26,13.6875,14.3375,13.6875,14.025,5816000
2001-03-27,14.0875,14.1875,14.0375,14.085,9350000
2001-03-28,14.0625,14.37,13.9625,14.025,10938800
2001-03-29,14.125,14.4975,14.1,14.4475,6665200
2001-03-30,14.625,14.925,14.54,14.815,11462400
2001-04-02,14.815,15,14.555,14.625,7739600
2001-04-03,14.75,14.95,14.5,14.5575,9202000
2001-04-04,14.575,15.12,14.475,14.965,8889200
2001-04-05,15.2225,15.25,14.9625,15,15155600
2001-04-06,15,15.05,14.5575,14.735,7660800
2001-04-09,14.875,14.9875,14.7875,14.945,6402800
2001-04-10,14.375,14.9375,14.125,14.7875,21452800
2001-04-11,14.6275,14.8,14.325,14.455,10278400
2001-04-12,14.455,14.825,14.4375,14.6075,6153200
2001-04-16,14.7975,14.985,14.3975,14.5575,6614000
2001-04-17,14.525,15.0175,14.495,14.76,8026800
2001-04-18,14.7625,15.1725,14.725,15.17,12273200
2001-04-19,15.17,15.2475,15.0025,15.1,7152800
2001-04-20,15.05,15.1375,14.9375,15.0525,6340000
2001-04-23,15.1825,15.5,14.9,14.935,7620800
2001-04-24,15.0075,15.2325,15,15.19,4900400
2001-04-25,15.19,15.85,15.0625,15.75,7560000
2001-04-26,15.9,16.3125,15.7575,16.2175,10723200
2001-04-27,16.5625,16.85,16.1525,16.305,12341200
2001-04-30,16.375,16.6,16.1875,16.37,7725200
2001-05-01,16.1375,16.575,16.1375,16.54,7168400
2001-05-02,16.25,16.2525,15.8,15.8,21074800
2001-05-03,15.5,15.8025,15.37,15.4,15918000
2001-05-04,15.2275,15.355,14.95,15.2875,14088400
2001-05-07,15.25,15.2825,15.06,15.2,6767600
2001-05-08,15.15,15.15,14.635,14.7775,10938400
2001-05-09,14.7125,15.0875,14.64,14.8,11662000
2001-05-10,14.8,14.8625,14.3125,14.355,14080800
2001-05-11,14.65,14.7425,14.335,14.6125,6279600
2001-05-14,14.7625,14.925,14.625,14.7875,4814000
2001-05-15,14.7875,15.05,14.7,14.82,6251200
2001-05-16,14.625,15.3125,14.6,15.1925,5676800
2001-05-17,14.825,14.85,14.375,14.5925,13045200
2001-05-18,14.4,14.575,14.0125,14.18,14292000
