Date,Open,High,Low,Close,Volume
2023-01-03,153.94,156.42,136.86,141.97,171200
2023-01-04,140.26,149.51,139.71,148.55,146000
2023-01-05,150.04,152.84,146.79,150.7,144500
2023-01-06,154.1,159,151.35,151.98,116400
2023-01-09,157.6,163.2,151.79,153.76,145900
2023-01-10,157.44,162.06,153.88,161.13,167700
2023-01-11,163.56,164.21,156.1,161.98,128900
2023-01-12,164.82,172.75,161.52,166.99,131900
2023-01-13,166,169.37,159.62,168.95,94000
2023-01-17,173.8,174.23,168.34,173.02,179000
2023-01-18,174.6,175.33,166.45,170.27,191900
2023-01-19,168.37,177,167.77,174.29,207500
2023-01-20,176.99,177.9,173.25,177.62,153700
2023-01-23,179.66,181.2,174.24,179.95,174100
2023-01-24,177.65,180.34,172.41,174.97,102000
2023-01-25,174.6,181.42,170.27,178.22,108200
2023-01-26,180.01,181.98,173.84,176.12,104500
2023-01-27,176.12,182.06,174.74,174.85,88600
2023-01-30,171.76,174.26,169.88,171.36,138500
2023-01-31,172.33,179.83,170.13,177.54,119500
2023-02-01,177,178.7,164.91,176.27,167100
2023-02-02,174.5,175.13,166,168.72,191400
2023-02-03,167.85,176.12,167.85,170.43,117600
2023-02-06,169.5,171.6,168.08,170.43,115300
2023-02-07,170.28,177.63,169.7,176.18,110200
2023-02-08,177.21,190.9,176.56,187.99,284000
2023-02-09,186.48,189,171.65,173.48,263400
2023-02-10,157.9,174.36,157,173.02,1136000
2023-02-13,172.25,175.71,167.23,173.89,214700
2023-02-14,172.14,178.34,165.3,167.45,288500
2023-02-15,164.45,166.64,161.1,165.8,211300
2023-02-16,163.24,170.09,161.54,165.13,211800
2023-02-17,162.2,162.2,152.08,155.46,403100
2023-02-21,152.86,156.49,149.16,149.39,200000
2023-02-22,149,152.77,141.15,144.4,220300
2023-02-23,147.56,148,139.39,142.48,274100
2023-02-24,139.99,148.53,138.62,146.89,212800
2023-02-27,146.91,152,145.33,151.43,159100
2023-02-28,153.23,155.42,150.3,150.31,159900
2023-03-01,150.67,155.66,150.67,153.76,175200
2023-03-02,152.01,159.45,150.31,158.8,120600
2023-03-03,155.99,162.74,155.78,160.62,188100
2023-03-06,159.5,160.3,157.5,158.86,152500
2023-03-07,158.4,160.76,151.3,152.2,191500
2023-03-08,151.4,156.17,142.96,145.48,261700
2023-03-09,146.62,149.4,135.55,136.22,258800
2023-03-10,136.54,140,132.44,133.44,250600
2023-03-13,126.38,132.2,123.54,125.79,316100
2023-03-14,127.33,131.15,121.14,123.97,282100
2023-03-15,115.44,118.95,111.5,116.31,448400
2023-03-16,112.79,118.01,108.48,115.24,420600
2023-03-17,113.71,113.71,106.32,107.56,613200
2023-03-20,108.73,113.94,108.32,112.74,213700
2023-03-21,116.04,120.25,115.35,117.71,310800
2023-03-22,118.9,118.9,111.79,111.95,212200
2023-03-23,113.12,117.64,108.31,110.25,229600
2023-03-24,107.33,110.36,106.35,108.36,299400
2023-03-27,112.55,116.85,108.91,116.1,172300
2023-03-28,115.41,121.83,115.41,119.1,215000
2023-03-29,123,123,118.34,120.02,151700
2023-03-30,122.33,122.33,117.15,119.47,245100
2023-03-31,120.74,122.51,119,121.91,172300
2023-04-03,129.83,135.62,128.86,132.51,419300
2023-04-04,133.78,133.78,124.16,126.55,205600
2023-04-05,126.09,127.55,123.24,125.44,126100
2023-04-06,124.59,125.41,121.18,121.39,112200
2023-04-10,121.25,126.15,121.25,123.21,159500
2023-04-11,123.95,125.14,121.79,122.51,207600
2023-04-12,124.31,125.18,120.42,123.45,196000
2023-04-13,124,126.24,123.47,123.57,167700
2023-04-14,123.16,123.98,117.36,119.01,213200
2023-04-17,119.19,121.26,116.61,118,211900
2023-04-18,119.89,119.89,115.47,118.09,174100
2023-04-19,115.54,119.26,114.29,119.06,244200
2023-04-20,115.71,117.12,113.24,114.63,244700
2023-04-21,115.66,115.66,111.08,112.18,143000
2023-04-24,112.2,121.77,111.44,120.36,357900
2023-04-25,117.95,118.96,107.82,108.26,321900
2023-04-26,107.97,109.92,102.47,104.56,265600
2023-04-27,103.78,105.56,96.32,99.45,530700
2023-04-28,99.45,103,97.47,99.74,347800
2023-05-01,97.79,100.6,96.19,97.84,211000
2023-05-02,96.3,96.71,92.56,94.77,503000
2023-05-03,92.4,96.52,92,92.66,334700
2023-05-04,92.25,95.13,91.11,94.31,283800
2023-05-05,97.68,100,96.66,97.1,256800
2023-05-08,99.68,101.02,95.22,95.91,245400
2023-05-09,93.12,96.47,92.28,94.25,328500
2023-05-10,95.35,96.37,90.52,90.9,244000
2023-05-11,88.9,90.17,87.71,89.75,205200
2023-05-12,90.49,90.94,87.92,88.29,138500
2023-05-15,89,92.6,87.96,90.65,243500
2023-05-16,89.7,89.77,85.35,85.52,257600
2023-05-17,86.7,90.74,85.4,89.5,213900
2023-05-18,87.9,91.57,85.64,91.35,298500
2023-05-19,92.31,93.44,89.62,91,143600
2023-05-22,91.13,95,90.3,93.69,193800
2023-05-23,94.49,96.78,93.61,95.6,178400
2023-05-24,96.28,96.81,93.83,95.88,192300
2023-05-25,93.41,93.66,89.52,90.76,190800
2023-05-26,91.2,92.12,89.59,90.45,108500
2023-05-30,88.24,88.78,84.65,86.77,181700
2023-05-31,84.62,86.5,83.05,83.7,152000
2023-06-01,83.64,90,83.64,87.56,203700
2023-06-02,89.82,96.79,89.06,96.39,517400
2023-06-05,98.21,99.05,91.26,93.24,257000
2023-06-06,91.51,96.9,90.9,96.84,316600
2023-06-07,98.65,105.77,97.88,104.6,448800
2023-06-08,104.29,107.13,100.74,105.28,356400
2023-06-09,104.82,107.02,101.71,102.34,237500
2023-06-12,100,101.15,96.93,97.2,284200
2023-06-13,99.97,105.56,99.86,99.87,225500
2023-06-14,101.87,101.87,96.49,98.51,129000
2023-06-15,98.47,105.58,98.47,104.9,163600
2023-06-16,106.12,106.12,101.49,101.55,283100
2023-06-20,100.44,100.81,97.87,98.38,118300
2023-06-21,97.92,103.79,97.77,101.4,232700
2023-06-22,99.36,99.36,94.27,95.88,181800
2023-06-23,93.36,94.4,90.68,93.83,286700
2023-06-26,94.38,97.18,93.56,94.31,190300
2023-06-27,94.16,97.02,93.19,95.77,138700
2023-06-28,95.44,95.44,92,94.16,202200
2023-06-29,94.21,96.91,93.02,93.85,186500
2023-06-30,95.11,96.11,92.94,93.03,189100
2023-07-03,93.5,96.01,93.46,94.63,136000
2023-07-05,95.11,95.38,91.33,91.55,239100
2023-07-06,90.23,92.53,87.59,90.27,225900
2023-07-07,89.77,99.21,89.77,97.88,307600
2023-07-10,97.1,99.68,96.04,97.8,179200
2023-07-11,98.91,106.02,98.07,104.41,252000
2023-07-12,107.35,111.08,106.07,108.66,441300
2023-07-13,109.09,112,107.98,111.04,379500
2023-07-14,110.31,111.02,105.94,108.42,283300
2023-07-17,106.89,110.48,106.61,110.12,195900
2023-07-18,111.05,116.74,111.05,112.29,335800
2023-07-19,114.93,117.13,112.93,114.04,291400
2023-07-20,114.54,115.56,111.7,115.27,209400
2023-07-21,115.25,115.89,113.18,114.4,183700
2023-07-24,116,120.29,115.1,118.52,262800
2023-07-25,118.4,119.87,116.37,117.23,214400
2023-07-26,112.04,122.57,111,120.9,457700
2023-07-27,122,123.3,119.53,119.8,364500
2023-07-28,119.53,120,117.17,119.87,182000
2023-07-31,120.51,124.04,120.48,122.49,150400
2023-08-01,121.46,122.11,118.48,119.97,180300
2023-08-02,118.04,119.24,115.34,118.11,178000
2023-08-03,118.5,121.45,117.52,119.75,114500
2023-08-04,120.28,121.1,117.39,118.12,112800
2023-08-07,118.59,119.4,115.07,116.56,146000
2023-08-08,113.69,117.05,111.55,117.05,198200
2023-08-09,118,121.84,116.54,116.87,185400
2023-08-10,116.84,118.65,112.72,114.46,177000
2023-08-11,113.87,116.91,113.87,114.38,120000
2023-08-14,113.66,113.66,110.93,112.6,152800
2023-08-15,111.21,111.84,108.01,108.48,156100
2023-08-16,108.64,112.13,107.71,107.76,135700
2023-08-17,109.89,111.3,107.42,107.44,115300
2023-08-18,105.84,110.28,105.77,109.42,196400
2023-08-21,109.42,110.93,108.05,110.12,128700
2023-08-22,110.28,111.11,108.28,109.26,142600
2023-08-23,107.89,109.82,103.82,108.72,159000
2023-08-24,106.56,111.06,106.48,108.07,232000
2023-08-25,109.46,110.12,106.91,108.46,121900
2023-08-28,109.44,112.5,109.21,110.7,122900
2023-08-29,110.6,112.81,109,112.17,90400
2023-08-30,112.64,114.02,111.31,111.96,104400
2023-08-31,112.5,112.79,109.78,110.69,136200
2023-09-01,113.03,122.32,113.03,121.14,260800
2023-09-05,120.86,128.29,120.86,122.09,349600
2023-09-06,121.58,123,118.5,121.79,205200
2023-09-07,120.53,122.13,118.8,121.08,157600
2023-09-08,120.86,126.61,120.86,124.23,156700
2023-09-11,124.99,127.56,123.3,124.36,206000
2023-09-12,125.4,131.97,125.27,130.8,168500
2023-09-13,131.87,132.27,129.01,130.77,220900
2023-09-14,133.88,136.89,132.64,135.9,228700
2023-09-15,134.09,137.47,132.95,136.4,520600
2023-09-18,137.1,138.76,134.28,138.38,410900
2023-09-19,139.97,141.47,133.35,133.99,186400
2023-09-20,133.24,136.36,129,129.34,232400
2023-09-21,129.08,129.08,123.41,123.5,197000
2023-09-22,125.51,126.96,122.18,122.92,257700
2023-09-25,121.64,125.92,120.36,124.97,151500
2023-09-26,123.28,126.68,120.2,121.15,170100
2023-09-27,123.84,129.7,123.25,128.66,157700
2023-09-28,128.08,129.85,124.75,127.43,167500
2023-09-29,127.49,127.94,122.48,123.14,182700
2023-10-02,123.29,123.29,115.05,116.39,221700
2023-10-03,115.7,116.68,113.21,116.62,157100
2023-10-04,113.63,113.63,107.7,109.17,308800
2023-10-05,107.72,111.02,104.72,104.86,269600
2023-10-06,104.4,109.24,101.73,107.05,282900
2023-10-09,109.97,113.98,109.97,112.88,219600
2023-10-10,112.59,115.34,112.59,114.27,144000
2023-10-11,113.25,116.89,112.3,116.58,156800
2023-10-12,118.14,118.97,113.48,115.48,114900
2023-10-13,119,119.89,116.29,118.35,209300
2023-10-16,119.39,120.25,117.1,118.76,185900
2023-10-17,122.61,127.32,121,125.98,207200
2023-10-18,127.29,127.56,123.12,125.24,225200
2023-10-19,123.37,125.87,121.56,123.58,263700
2023-10-20,123.23,123.94,116.83,118.84,261000
2023-10-23,117.51,118,114.18,115.52,197700
2023-10-24,116.3,116.3,113.31,114.66,198300
2023-10-25,114.64,115.23,111.56,113.51,180700
2023-10-26,108.71,109.29,98.55,106.46,689200
2023-10-27,106,107.09,101.79,102.83,346700
2023-10-30,103.42,105.49,97.64,99.31,434800
2023-10-31,100,101.16,96.02,97.64,180100
2023-11-01,98.14,99.29,93.59,95.44,282400
2023-11-02,96.82,99.2,94.82,98.95,374500
2023-11-03,100.37,102.73,100,100.83,219700
2023-11-06,101.65,101.65,96.39,96.77,247100
2023-11-07,94.47,95.4,90.35,90.99,340100
2023-11-08,90.33,93.4,88.17,88.74,327300
2023-11-09,90.49,91.89,88.2,88.31,381900
2023-11-10,89.4,90.03,88.27,89.33,296000
2023-11-13,89.31,92.23,87.16,92.16,204400
2023-11-14,93.59,96.18,93.34,95.66,267800
2023-11-15,95.32,97.9,94.28,94.44,326500
2023-11-16,92.65,93.63,88.58,89.3,282800
2023-11-17,90.96,94.17,89.96,93.4,261300
2023-11-20,95.29,96.67,93.88,94.95,160800
2023-11-21,94,94.02,92,93.11,286200
2023-11-22,90.78,93.97,89.41,92.56,332700
2023-11-24,92.62,95.37,92.56,93.2,70800
2023-11-27,92,93.27,89.68,89.75,309600
2023-11-28,90,90.07,87.5,89.47,375300
2023-11-29,90.42,90.92,87.93,88.28,214800
2023-11-30,89.81,93.1,86.61,86.82,319600
2023-12-01,86.35,90.53,85.13,87.31,547400
2023-12-04,86.16,88.34,85.5,87.46,253400
2023-12-05,87.86,87.86,83.1,83.44,252600
2023-12-06,82.71,84.58,79.08,79.2,343900
2023-12-07,80,81.42,78.97,79.86,286800
2023-12-08,80.66,82.27,79.15,79.55,302900
2023-12-11,79.93,81.79,77.79,78.85,206500
2023-12-12,77.08,78.44,75.64,76.92,302500
2023-12-13,76.81,80.27,75.68,80.04,289300
2023-12-14,82.11,88.66,82.01,88.56,561900
2023-12-15,89.14,89.29,83.79,85.31,595100
2023-12-18,87.74,88.94,85.06,85.26,221600
2023-12-19,86.35,88.07,86.35,87.49,237000
2023-12-20,87.79,88.86,84.21,84.62,212300
2023-12-21,85,85.62,84.09,85.38,131100
2023-12-22,86.07,87.45,84.01,84.03,199700
2023-12-26,85.92,87.38,84.5,86.27,146400
2023-12-27,85.65,86.56,84.94,85.22,106200
2023-12-28,84.93,85.33,82.2,82.5,168800
2023-12-29,82.78,83.11,81.14,81.63,144200
