Date,Open,High,Low,Close,Volume
2020-09-24,36,36,34,34,743500
2020-09-25,34,34,34,34,0
2020-09-28,35,35,33,33,150500
2020-09-29,30.5,30.5,30.5,30.5,220200
2020-09-30,30.75,31,30.75,31,21900
2020-10-01,34,34,34,34,43600
2020-10-02,35,35,35,35,63600
2020-10-05,34.46,34.73,33.72,34.25,1172100
2020-10-06,37.95,39,34.5,35,42400
2020-10-07,35.5,35.5,34.25,34.25,26000
2020-10-08,34.575,34.575,33,33.5,193000
2020-10-09,32.5,32.9,28.1,28.28,19985300
2020-10-12,28.27,29,27.62,27.85,6532300
2020-10-13,28.29,28.42,26.364,26.76,4937300
2020-10-14,26.8,28.2,26.43,28.01,7992200
2020-10-15,27.34,28.11,26.51,27.75,7194600
2020-10-16,28.11,28.95,27.63,28.26,11035000
2020-10-19,28.3,28.56,27.76,28.25,4852700
2020-10-20,28.3,28.88,28.1,28.44,4868800
2020-10-21,28.37,29,28.05,28.55,3869000
2020-10-22,28.68,29.91,28.65,29.86,5510900
2020-10-23,29.6,30.49,29.51,30.29,5701900
2020-10-26,30.26,30.31,29.25,29.49,4594200
2020-10-27,29.5,29.53,28.26,28.66,3144100
2020-10-28,28.16,29.23,27.95,28.26,3398000
2020-10-29,29.12,29.48,28.14,28.28,3320600
2020-10-30,28.15,28.75,27.63,28.74,2948300
2020-11-02,28.91,29.96,28.83,29.96,2303300
2020-11-03,30,30.5,29.43,29.81,1518500
2020-11-04,29.6,30.23,29.21,29.5,2307500
2020-11-05,29.56,30.08,29.08,29.35,2331100
2020-11-06,29.04,29.39,28.1,28.94,2295200
2020-11-09,30.19,31.07,28.5,28.54,3059300
2020-11-10,28.5,29.1,28.15,28.26,3128500
2020-11-11,28.6,29.23,28.6,29.01,2961300
2020-11-12,29.31,29.45,28.1,28.54,2002600
2020-11-13,28.61,28.98,28.29,28.57,1764300
2020-11-16,28.75,29.3,28.5,29.11,1572300
2020-11-17,29.43,30.88,28.96,30.64,4329200
2020-11-18,30.67,32.23,30.25,31.19,4008600
2020-11-19,30.95,31.39,30.14,30.72,1438300
2020-11-20,30.54,31.49,30.23,31.18,1956600
2020-11-23,31.16,32,30.8,31.8,1623000
2020-11-24,32.23,32.96,31.97,32.76,1857700
2020-11-25,32.55,33.83,32.5,33.66,3303400
2020-11-27,33.54,34.34,33.36,34.09,610400
2020-11-30,34.2,34.37,32.19,33.17,3411800
2020-12-01,33.17,33.82,32.81,33,2161800
2020-12-02,32.96,33.46,32.71,33.09,1191800
2020-12-03,33.05,33.6,32.96,33.18,1146700
2020-12-04,32.98,33.53,32.775,33.07,1358100
2020-12-07,33.31,33.42,32.3,32.51,2353400
2020-12-08,32.545,32.77,31.6,32,1424100
2020-12-09,31.99,32.45,31.36,31.96,2818500
2020-12-10,31.65,32.09,31.22,31.91,1614400
2020-12-11,31.97,32,30.13,31.18,2042800
2020-12-14,31.58,32.43,31.17,32.25,2477600
2020-12-15,32.26,33.04,31.92,32.78,1653400
2020-12-16,32.73,33.22,32.39,32.69,2243600
2020-12-17,32.75,33.69,32.68,33.5,1099000
2020-12-18,33.75,34.43,33.33,33.91,3498500
2020-12-21,33.52,34.265,32.915,34.17,2075700
2020-12-22,34.23,34.55,33.69,34.04,1802800
2020-12-23,34.35,34.35,33.94,34.15,1190300
2020-12-24,34.18,34.4,33.84,33.97,772600
2020-12-28,34.02,34.7,33.06,33.38,1308000
2020-12-29,33.17,33.59,32.32,32.68,1296700
2020-12-30,32.65,32.995,32.65,32.86,409900
2020-12-31,33.05,33.5,32.845,33.4,944800
