Date,Open,High,Low,Close,Volume
2020-01-02,378,379,369.24,373.35,512400
2020-01-03,368.21,372.35,367.05,369.16,500800
2020-01-06,368.23,372.14,364.5,371.74,690800
2020-01-07,371.56,373.83,368.02,373.13,736400
2020-01-08,373.18,384.85,370.71,382.42,743100
2020-01-09,383.63,386.54,381.37,383.47,587500
2020-01-10,384.62,386.1,380,381.41,568100
2020-01-13,380.01,380.34,375.13,378.93,637200
2020-01-14,378.3,388.42,375.57,387.62,638900
2020-01-15,387.42,396.47,387.42,390.75,680700
2020-01-16,393.17,394,381.82,385.57,620500
2020-01-17,386.1,386.6,382.53,385.94,862800
2020-01-21,385.9,386.31,363.68,363.71,1488400
2020-01-22,365.72,367.14,356.46,359.14,1320300
2020-01-23,359.42,360.45,354.21,356.6,737600
2020-01-24,359.91,359.91,343.09,345.28,1103100
2020-01-27,341.2,343.32,336.17,339.42,775000
2020-01-28,341.6,345.77,337.3,344.08,729500
2020-01-29,346.25,347.97,338.9,339.25,558600
2020-01-30,335.68,337.57,331.57,336.18,664100
2020-01-31,333.17,338.98,328.13,337.94,988600
2020-02-03,339.69,347,339.39,341.12,930100
2020-02-04,347.9,359.49,347.62,356,956800
2020-02-05,364.84,376.68,363,372.16,1404400
2020-02-06,385.53,394.68,375.03,389.85,1605500
2020-02-07,391.07,391.37,378.51,381.87,1172400
2020-02-10,378.16,389.84,377.44,386.21,939500
2020-02-11,390.21,398,387.98,396.75,992800
2020-02-12,398.13,407.05,397.64,406.3,1076200
2020-02-13,406.44,408,398.1,398.81,656800
2020-02-14,399.1,402.09,393.39,399.55,536800
2020-02-18,396.82,402,395.01,397.65,512200
2020-02-19,397.86,402.21,395.31,400.81,564000
2020-02-20,399.9,401.09,393.76,399.14,660800
2020-02-21,396.07,404.54,392.86,403.15,655300
2020-02-24,395.54,426.36,386.84,425.38,2959700
2020-02-25,437.25,457.6,437,442.35,3568800
2020-02-26,444.02,461.34,442.44,457.92,2299300
2020-02-27,468.56,470,430.7,431.61,2093500
2020-02-28,422.37,445.05,418.22,444.57,1591000
2020-03-02,445,465.51,445,464.75,1713100
2020-03-03,454.72,467.69,448.11,461.55,1210600
2020-03-04,467.96,494.56,467.13,493.48,1960700
2020-03-05,480.94,500,480,488.17,1270200
2020-03-06,477.29,496.99,477,494.43,1130700
2020-03-09,466.94,486.69,466.15,474.44,1344100
2020-03-10,488.45,488.71,460.8,475.02,1390500
