Date,Open,High,Low,Close,Volume
2019-05-07,42.26,42.42,41.2,42.05,9898300
2019-05-08,41.7,42.2,41.26,41.58,7709200
2019-05-09,40.77,41.19,39.85,40.94,11580600
2019-05-10,40.82,41.19,39.79,40.8,9025500
2019-05-13,39.26,39.64,38.67,39.09,10724700
2019-05-14,39.53,40.39,39.4,40.01,8370100
2019-05-15,40.41,41.86,40.11,41.5,12051000
2019-05-16,41.3,42.19,40.96,41.66,11932500
2019-05-17,43.35,44.36,42.57,42.7,20218200
2019-05-20,41.8,42.76,40.22,40.35,21371800
2019-05-21,41.18,41.36,40.82,41.27,8949900
2019-05-22,40.75,40.88,40.15,40.49,5897500
2019-05-23,39.65,40.08,39.15,39.94,8459800
2019-05-24,40.27,40.4,39.45,39.5,8541800
2019-05-28,39.81,40.03,39,39.01,10715500
2019-05-29,38.72,39.55,38.4,39.37,10137000
2019-05-30,39.45,40.4,39.29,39.75,7491700
2019-05-31,39.2,39.96,38.68,38.69,8394900
2019-06-03,38.97,39.66,38.54,38.78,7795300
2019-06-04,39.52,40.65,39.28,40.42,14138900
2019-06-05,40.8,41.17,40.16,40.59,10143400
2019-06-06,40.54,41.49,40.49,41.38,8101700
2019-06-07,41.6,41.88,41.08,41.51,6391200
2019-06-10,42,43.55,41.79,43.14,9651700
2019-06-11,43.91,44.55,43.64,43.75,10536500
2019-06-12,42.64,42.69,41.36,41.5,10059800
2019-06-13,41.61,42.02,41.15,41.65,6979500
2019-06-14,40.96,41.49,40.56,41.23,7695100
2019-06-17,41.11,41.2,40.24,40.5,12453300
2019-06-18,40.93,42.6,40.84,42.31,11291800
2019-06-19,42.69,42.84,42.24,42.53,9333000
2019-06-20,43.74,43.99,43,43.21,8633300
2019-06-21,42.9,43.2,42.61,42.96,12096400
2019-06-24,42.91,42.93,42.24,42.33,10997100
2019-06-25,42.25,42.7,41.9,41.98,9637900
2019-06-26,43,43.8,42.93,43.58,10023900
2019-06-27,43.89,44.87,43.79,44.69,8894400
2019-06-28,45.13,45.39,44.68,44.91,15599700
2019-07-01,46.63,47.55,45.22,45.68,11452200
2019-07-02,45.11,45.22,44.12,44.66,13869000
2019-07-03,44.52,44.78,44.36,44.67,5559100
2019-07-05,44.24,44.42,43.56,43.98,6618200
2019-07-08,43.16,43.75,43.06,43.45,9733000
2019-07-09,43.23,44.06,42.88,43.97,12432400
2019-07-10,44.5,45.43,44.45,44.72,7184700
2019-07-11,45.07,45.37,44.37,45.28,8128500
2019-07-12,45.36,46.55,45.36,46.51,9030900
2019-07-15,46.85,47.43,45.92,46.28,6723200
2019-07-16,46,46.23,45.5,46.01,6671000
2019-07-17,46.26,46.47,45.62,46.22,8459900
2019-07-18,46.47,48.64,46.38,48.17,14577100
2019-07-19,48.31,48.49,47.66,47.81,9415200
2019-07-22,49.32,50.8,49.21,50.73,21604000
2019-07-23,50.64,51.32,50.12,51.03,10063900
2019-07-24,50.99,52.42,50.76,52.14,11289800
2019-07-25,51.72,51.79,50.67,50.82,8301000
2019-07-26,50.89,51.1,50.46,50.74,5737600
2019-07-29,50.46,50.77,50.06,50.67,4485700
2019-07-30,50.06,51.05,49.91,50.73,4666300
2019-07-31,50.53,50.59,48.69,49.37,8334800
2019-08-01,49.44,51.05,47.91,48.47,11076800
2019-08-02,48,48.4,47.19,47.55,8093900
2019-08-05,46.2,46.2,44.97,45.46,12069900
2019-08-06,46.42,46.97,45.68,46.33,7428200
2019-08-07,46.04,46.86,45.75,46.68,7591400
2019-08-08,47.09,47.95,46.89,47.86,6122900
2019-08-09,47.54,47.54,46.56,47.15,5293200
2019-08-12,46.98,47.09,46.23,46.46,7105200
2019-08-13,46.43,48.25,46.07,48.06,9013700
2019-08-14,46.95,47.25,46.39,46.71,7212300
2019-08-15,47,47.31,46.5,47.16,8256800
2019-08-16,45.96,46.99,44.62,46.63,17658200
2019-08-19,47.6,47.93,46.8,47.1,8860000
2019-08-20,46.93,47.14,46.51,46.73,7753800
2019-08-21,47.2,47.52,46.73,46.83,5198200
2019-08-22,47.14,47.28,46.44,47.03,4280700
2019-08-23,46.51,46.84,44.82,45.12,11614800
2019-08-26,46,46.17,45.44,45.61,5715200
2019-08-27,46,46.24,45.11,45.51,5926900
2019-08-28,45.4,46.04,45.05,45.9,4811500
2019-08-29,46.66,47.42,46.63,47.31,6786700
2019-08-30,47.55,48.09,47.39,48.02,7819300
2019-09-03,47.64,47.77,47.16,47.61,7145800
2019-09-04,48.57,49.56,48.4,49.51,10227700
2019-09-05,50.46,51.73,50.27,50.35,10415400
2019-09-06,50.47,50.5,49.8,50.1,6913400
