Date,Open,High,Low,Close,Volume
2019-01-02,20.31,21.48,20.18,21.27,15840000
2019-01-03,20.89,21.14,20.25,20.35,18608000
2019-01-04,20.98,22.68,20.75,22.27,25156900
2019-01-07,22.43,22.85,22.26,22.76,18889800
2019-01-08,22.99,23.18,22.435,22.95,15180400
2019-01-09,23.24,24.12,23.22,23.69,21656200
2019-01-10,23,23.55,22.83,23.4,12368400
2019-01-11,23.19,23.75,22.69,22.88,10034400
2019-01-14,22.25,22.3,21.53,22.04,14129900
2019-01-15,22.25,22.74,22.12,22.25,11862900
2019-01-16,22.37,22.68,22.28,22.33,9761000
2019-01-17,22.05,22.485,22.02,22.14,12013700
2019-01-18,22.45,23.85,22.3,23.26,23275200
2019-01-22,22.88,22.91,21.5,21.68,19538300
2019-01-23,22.05,22.6,21.755,21.97,11262200
2019-01-24,21.98,22.26,21.5,22.1,13846300
2019-01-25,22.48,23.93,22.47,23.63,28024800
2019-01-28,23.43,24.14,23.06,23.72,13925800
2019-01-29,23.74,23.87,23.31,23.52,11310400
2019-01-30,24.01,24.72,23.76,24.64,19832300
2019-01-31,24.5,25.45,24.47,24.85,19318400
2019-02-01,24.74,25.31,24.31,24.63,11938200
2019-02-04,24.5,24.54,24.16,24.29,9054300
2019-02-05,24.45,25.98,24.41,25.42,19165600
2019-02-06,25.47,25.715,24.96,25.11,11083100
2019-02-07,24.77,24.93,23.52,23.98,15836100
2019-02-08,23.65,24.28,23.6,23.99,8246200
2019-02-11,24.35,24.73,24.15,24.28,9035100
2019-02-12,24.67,25.35,24.57,24.68,10932800
2019-02-13,25,25.56,24.49,24.61,12449900
2019-02-14,24.54,24.62,23.885,24.33,10126800
2019-02-15,24.51,24.57,23.91,23.96,11489400
2019-02-19,23.66,24.77,23.65,24.64,12430900
2019-02-20,24.81,25.42,24.51,24.68,13209200
2019-02-21,24.82,24.88,24.01,24.27,13542600
2019-02-22,24.55,25.96,24.48,25.95,27113300
2019-02-25,27.11,27.38,26.04,26.19,29338500
2019-02-26,25.98,26.82,25.66,26.59,20278800
2019-02-27,26.42,26.9,25.87,25.97,22994200
2019-02-28,28.58,28.62,26.58,27.71,66593100
2019-03-01,28.03,29.39,27.97,28.73,37083600
2019-03-04,29.04,29.2,28.14,28.89,23454400
2019-03-05,28.88,29.7,28.7,29.35,19982900
2019-03-06,29.25,29.66,28.72,29.03,21316900
2019-03-07,28.5,28.645,27.6,27.84,20959500
2019-03-08,26.71,27.25,26.37,27.05,28554000
2019-03-11,27.46,27.89,27.16,27.62,21410800
2019-03-12,27.95,28.43,27.53,28.11,18551100
2019-03-13,28.27,28.42,27.86,28.13,13941500
2019-03-14,27.75,27.969,27.385,27.89,17280900
2019-03-15,28.16,28.71,27.78,27.93,16304000
2019-03-18,28.25,28.69,27.92,28.14,12513800
2019-03-19,28.3,28.67,28.01,28.31,12356500
2019-03-20,28.16,28.29,27.67,28.08,12752400
2019-03-21,27.97,28.82,27.87,28.76,14343000
2019-03-22,28.41,28.76,27.84,28,13944200
2019-03-25,27.69,28.55,27.47,28.39,14183100
2019-03-26,28.5,29.05,28.32,28.81,17986900
2019-03-27,28.81,29.71,28.81,29.16,20596600
2019-03-28,29.23,29.45,28.86,29.41,9726700
