Date,Open,High,Low,Close,Volume
2014-01-06,16420,16460,16170,16220,2224096
2014-01-07,16130,16260,16080,16140,810894
2014-01-08,16270,16440,16230,16440,564999
2014-01-09,16300,16310,16150,16200,1059178
2014-01-10,16160,16250,16070,16230,1111422
2014-01-14,15850,15900,15690,15730,2241544
2014-01-15,16000,16110,15950,16110,663793
2014-01-16,16150,16260,16030,16080,603249
2014-01-17,15980,16100,15930,16050,347985
2014-01-20,16030,16040,15880,15960,510982
2014-01-21,16020,16220,16020,16110,411534
2014-01-22,16060,16190,15950,16140,584734
2014-01-23,16220,16280,16000,16020,646768
2014-01-24,15770,15800,15580,15680,1699650
2014-01-27,15270,15380,15220,15300,1422820
2014-01-28,15330,15400,15260,15320,546055
2014-01-29,15510,15690,15500,15670,565561
2014-01-30,15330,15340,15150,15310,1076824
2014-01-31,15450,15460,15060,15200,884827
2014-02-03,15070,15150,14910,14920,863721
2014-02-04,14510,14600,14300,14320,1943800
2014-02-05,14570,14590,14270,14470,995894
2014-02-06,14530,14590,14440,14440,491238
2014-02-07,14690,14760,14650,14760,577394
2014-02-10,14980,15020,14860,15010,651142
2014-02-12,15150,15170,15060,15080,829893
2014-02-13,15070,15070,14760,14830,731264
2014-02-14,14830,14970,14520,14600,775442
2014-02-17,14630,14710,14470,14660,728036
2014-02-18,14790,15200,14740,15130,962293
2014-02-19,14990,15100,14960,15070,349190
2014-02-20,14980,15030,14710,14740,672793
2014-02-21,14890,15190,14890,15150,844765
2014-02-24,15080,15280,14950,15120,780269
2014-02-25,15260,15390,15240,15340,846849
2014-02-26,15200,15390,15190,15280,622982
2014-02-27,15220,15320,15140,15230,345833
2014-02-28,15220,15250,15030,15150,505995
2014-03-03,14950,14980,14740,14930,710590
2014-03-04,14830,15040,14820,15010,465250
2014-03-05,15220,15300,15200,15220,385070
2014-03-06,15240,15510,15170,15440,739077
2014-03-07,15590,15620,15450,15580,636879
2014-03-10,15500,15580,15390,15430,375583
2014-03-11,15490,15560,15430,15540,358910
2014-03-12,15300,15320,15130,15150,856546
2014-03-13,15150,15220,15090,15130,349357
2014-03-14,14770,14780,14570,14630,1054198
2014-03-17,14570,14670,14510,14590,876799
2014-03-18,14830,14850,14700,14730,405550
2014-03-19,14800,14970,14590,14760,585506
2014-03-20,14850,14850,14500,14570,781632
2014-03-24,14560,14810,14560,14780,583685
2014-03-25,14660,14830,14600,14720,301546
2014-03-26,14790,14860,14690,14760,291263
2014-03-27,14650,15070,14620,15030,766349
2014-03-28,14950,15120,14920,15100,357729
2014-03-31,15240,15250,15120,15210,480896
2014-04-01,15230,15270,15150,15190,337162
2014-04-02,15290,15490,15290,15350,768454
2014-04-03,15420,15590,15390,15470,858051
2014-04-04,15400,15510,15400,15480,375929
2014-04-07,15270,15310,15180,15210,568843
2014-04-08,15130,15150,15000,15030,480177
2014-04-09,14850,14910,14680,14720,1289902
2014-04-10,14900,14920,14630,14720,705894
2014-04-11,14310,14420,14260,14340,1514289
2014-04-14,14260,14400,14260,14320,495009
2014-04-15,14480,14500,14350,14400,493105
2014-04-16,14560,14800,14540,14800,627464
2014-04-17,14790,14900,14740,14820,455854
2014-04-18,14880,14930,14840,14900,272071
2014-04-21,14930,15050,14900,14900,425733
2014-04-22,14980,15000,14770,14770,338184
2014-04-23,14890,14950,14850,14950,313654
