Date,Open,High,Low,Close,Volume
2013-01-02,32.84,32.84,32.5,32.71,12153200
2013-01-03,32.73,33.28,32.62,33.24,10281400
2013-01-04,33.33,33.43,33.09,33.35,8631900
2013-01-07,33.27,33.54,33.21,33.4,6047800
2013-01-08,33.36,33.66,33.35,33.49,9651300
2013-01-09,33.5,33.69,33.39,33.68,11742200
2013-01-10,33.75,34.11,33.69,34.09,7943400
2013-01-11,34.01,34.23,33.95,34.13,7067300
2013-01-14,34.13,34.3,34.11,34.22,5599300
2013-01-15,34.03,34.37,34.02,34.3,8170000
2013-01-16,34.2,34.4,34.18,34.33,6278700
2013-01-17,34.42,34.46,34.18,34.27,6719900
2013-01-18,34.21,34.48,34.1,34.46,7424500
2013-01-22,34.37,34.86,34.32,34.85,9315000
2013-01-23,34.75,34.91,34.61,34.9,12752600
2013-01-24,34.94,35.97,34.9,35.81,21433100
2013-01-25,35.86,36.71,35.85,36.69,20038100
2013-01-28,36.18,36.56,36.04,36.41,13034300
2013-01-29,36.23,36.66,36.21,36.54,9501400
2013-01-30,36.52,36.67,36.35,36.62,10978900
2013-01-31,36.49,36.65,35.77,36.14,14268300
2013-02-01,36.42,36.97,36.34,36.91,11810800
2013-02-04,36.49,36.8,36.38,36.52,8562200
2013-02-05,36.67,37.09,36.5,36.51,10766000
2013-02-06,36.41,36.74,36.39,36.55,15233200
2013-02-07,36.58,36.77,36.28,36.49,8029900
2013-02-08,36.5,37.03,36.49,37.03,8462400
2013-02-11,36.85,37.08,36.8,36.93,5318800
2013-02-12,36.91,36.96,36.52,36.52,6692100
2013-02-13,36.49,36.53,36.03,36.12,11953600
2013-02-14,36.06,36.7,36.04,36.58,7408500
2013-02-15,36.69,36.83,36.48,36.58,7038900
2013-02-19,36.58,36.98,36.58,36.94,5517200
2013-02-20,36.85,36.99,36.67,36.69,5774300
2013-02-21,36.61,36.78,36.51,36.69,7056600
2013-02-22,36.71,36.97,36.71,36.9,5027800
2013-02-25,36.98,37.09,36.34,36.34,7779200
2013-02-26,36.54,36.78,36.32,36.39,6688600
2013-02-27,36.42,37.22,36.31,37.1,7366000
2013-02-28,37.07,37.15,36.75,36.97,9315100
2013-03-01,36.89,37.25,36.79,37.15,9749800
2013-03-04,36.43,36.95,36.43,36.94,7199800
2013-03-05,37,37.6,37,37.57,7663900
2013-03-06,37.61,37.85,37.49,37.76,7226200
2013-03-07,37.78,37.81,37.51,37.53,7642000
2013-03-08,37.55,37.65,37.3,37.4,10532000
2013-03-11,37.29,37.66,37.26,37.52,6714900
2013-03-12,37.53,38.22,37.53,38.22,10267000
2013-03-13,38.16,38.57,37.96,38.49,9563400
2013-03-14,38.5,38.61,38.13,38.48,12365700
2013-03-15,38.47,38.98,38.26,38.96,13210500
2013-03-18,38.44,39.13,38.41,38.88,9021500
2013-03-19,38.94,39.41,38.85,39.34,9687100
2013-03-20,39.49,39.96,39.38,39.87,12545500
2013-03-21,39.81,39.9,39.68,39.71,8730500
2013-03-22,39.94,40.48,39.8,40.39,25838700
2013-03-25,40.46,40.46,39.99,40.26,26233800
2013-03-26,40.3,40.74,40.15,40.68,6779100
2013-03-27,40.49,40.84,40.36,40.78,5791800
2013-03-28,40.95,41.25,40.81,41.19,10885800
2013-04-01,41.12,41.36,40.93,41.14,6612500
2013-04-02,41.18,41.79,41.17,41.68,9125800
2013-04-03,41.22,41.37,40.95,41.07,12053600
2013-04-04,40.96,41.21,40.66,40.78,8596200
2013-04-05,40.22,40.76,40.05,40.61,6491800
2013-04-08,40.52,40.74,40.14,40.73,7201600
2013-04-09,40.7,41,40.67,40.83,8696000
2013-04-10,40.84,41.22,40.68,41.19,7595900
2013-04-11,41.27,41.46,41.06,41.3,6937200
2013-04-12,41.03,41.5,41.02,41.42,7196300
2013-04-15,41.36,41.5,40.7,40.75,9015000
2013-04-16,41.08,41.1,40.56,41.06,9873700
2013-04-17,40.88,41.11,40.53,40.81,8612600
2013-04-18,40.72,40.83,40.31,40.55,8538800
2013-04-19,40.71,41.26,40.52,41.15,8233800
2013-04-22,41.17,42,40.95,41.93,10883200
2013-04-23,42.22,42.87,42,42.3,8816400
2013-04-24,42.26,42.28,41.39,41.45,6817200
2013-04-25,40.82,40.91,40.03,40.22,13873200
2013-04-26,40.13,40.41,39.72,40.28,10983900
2013-04-29,40.13,40.28,39.81,39.91,6717600
2013-04-30,39.83,39.83,39.18,39.72,11857100
2013-05-01,39.47,39.83,39.18,39.72,9958300
2013-05-02,39.89,40.03,39.67,40.01,8235800
2013-05-03,40.35,40.38,40.06,40.2,6184200
2013-05-06,40.12,40.16,39.85,40.02,5827200
2013-05-07,40.18,40.2,39.65,40.02,8143400
2013-05-08,40.06,40.19,39.56,39.68,7678900
2013-05-09,39.71,40,39.32,39.93,7654600
2013-05-10,40.06,40.49,39.94,40.49,7725500
2013-05-13,40.4,40.96,40.26,40.94,7298700
2013-05-14,41,42.32,40.95,42.21,16783000
2013-05-15,42.22,45.59,42.16,44.34,33357300
2013-05-16,43.69,44.54,42.63,42.77,26059700
2013-05-17,42.99,43.43,42.7,43.3,11128100
2013-05-20,43.36,44.14,43.35,43.76,9532500
2013-05-21,43.82,44.44,43.45,44.06,10156700
2013-05-22,44.84,47.48,44.84,46.4,25345900
2013-05-23,46.18,47.22,45.87,47,11956400
2013-05-24,46.56,47.55,45.81,47.4,12605100
2013-05-28,47.63,48.83,47.45,47.68,15042500
2013-05-29,47.15,47.29,46.21,46.71,9825100
2013-05-30,46.98,47.83,46.83,47.02,9857700
2013-05-31,46.82,47.44,46,46.01,12289600
2013-06-03,47.1,49.57,46.75,47.59,27384300
2013-06-04,47.03,48.18,46.4,46.83,21511100
2013-06-05,46.73,47.08,45.77,46.17,13964000
2013-06-06,46.38,47.29,45.92,47,12443300
2013-06-07,47.09,47.5,46.85,47.5,11199700
2013-06-10,47.6,47.82,47.11,47.31,7340400
2013-06-11,47,47.72,46.75,47.29,9303200
2013-06-12,47.59,47.93,46.56,46.57,8841600
2013-06-13,46.27,47.25,46.25,47.17,8511600
2013-06-14,47.25,47.49,46.77,46.8,7540700
2013-06-17,46.97,47.08,46.13,46.44,9537100
2013-06-18,46.6,47,46.46,46.85,7155500
2013-06-19,46.6,47.03,46.03,46.05,7826000
2013-06-20,45.81,45.87,44.32,44.58,12529600
2013-06-21,45.01,46.07,44.83,45.73,15314100
2013-06-24,45.32,45.96,44.89,45.47,8740100
2013-06-25,45.77,45.77,45.07,45.18,6949000
2013-06-26,45.56,46.72,45.23,46.47,9040900
2013-06-27,46.57,46.85,46.17,46.3,5895700
2013-06-28,46.01,46.53,44.68,44.69,16318900
2013-07-01,45.06,45.54,44.63,44.82,10018400
2013-07-02,44.42,44.9,43.87,43.99,10519200
2013-07-03,43.95,43.95,42.96,43.32,7264400
