Date,Open,High,Low,Close,Volume
2013-01-02,132.99,133.86,132.89,133.77,9636300
2013-01-03,133.64,134.05,133.31,133.63,8665200
2013-01-04,133.7,134.2,133.49,134.06,4759300
2013-01-07,133.69,133.73,133.16,133.51,6119700
2013-01-08,133.32,133.5,132.74,133.06,4269800
2013-01-09,133.4,133.98,133.4,133.71,3898000
2013-01-10,134.2,134.58,133.63,134.54,6004300
2013-01-11,134.46,134.8,134.21,134.72,4508000
2013-01-14,134.66,135,134.4,134.89,4298000
2013-01-15,134.29,135.26,134.24,135.08,2966100
2013-01-16,134.62,135.05,134.54,134.89,3197800
2013-01-17,135.37,136.19,135.23,135.83,6227500
2013-01-18,135.81,136.16,135.42,136.09,4922500
2013-01-22,136.13,136.77,135.92,136.74,4544900
2013-01-23,137.19,137.63,137.14,137.46,6397800
2013-01-24,137.59,138.49,137.57,138.02,6288000
2013-01-25,138.39,138.63,138.04,138.62,4461000
2013-01-28,138.85,138.88,138.3,138.65,3167700
2013-01-29,138.44,139.38,138.44,139.23,3946700
2013-01-30,139.23,139.37,138.67,138.76,5496100
2013-01-31,138.76,140.22,138.32,138.41,3935300
2013-02-01,139.29,139.89,139.04,139.74,5234900
2013-02-04,138.81,138.98,138.36,138.57,6536200
2013-02-05,139.24,139.85,139.21,139.39,5819800
2013-02-06,138.88,139.7,138.88,139.58,3113900
2013-02-07,139.59,139.64,138.32,139.29,6637600
2013-02-08,139.37,140.03,139.37,139.73,3573800
2013-02-11,139.62,139.68,139.21,139.52,2542800
2013-02-12,139.59,140.21,139.51,140.05,3498600
2013-02-13,140.23,140.36,139.5,139.87,3387800
2013-02-14,139.38,139.96,139.26,139.86,3048800
2013-02-15,139.51,139.71,138.75,139.45,6111300
2013-02-19,139.56,140.16,139.52,139.97,3944000
2013-02-20,140,140.28,138.88,138.88,5974200
2013-02-21,138.65,138.88,138.06,138.51,7517900
2013-02-22,139.24,139.83,138.86,139.81,4158500
2013-02-25,140.33,140.59,137.6,137.66,10031600
2013-02-26,138.35,138.96,137.98,138.78,9236100
2013-02-27,138.74,140.87,138.64,140.6,7404500
2013-02-28,140.45,141.31,140.18,140.28,11383200
2013-03-01,139.89,140.9,139.17,140.74,6506400
2013-03-04,140.36,141.1,140.1,141.07,3619700
2013-03-05,141.69,142.68,141.69,142.34,7962300
2013-03-06,142.91,143.07,142.49,142.84,4481000
2013-03-07,142.98,143.39,142.9,143.14,3689100
2013-03-08,143.95,144.02,143.21,143.76,5680700
2013-03-11,143.73,144.36,143.61,144.36,4373000
2013-03-12,144.29,144.7,144.03,144.4,5166400
2013-03-13,144.44,144.71,144.09,144.46,4319500
2013-03-14,144.81,145.35,144.76,145.33,5361200
2013-03-15,144.82,144.89,144.39,144.82,10835400
2013-03-18,143.85,144.88,143.7,144.17,5511200
2013-03-19,144.51,144.83,143.48,144.3,9298500
2013-03-20,144.86,145.15,144.59,144.81,5924700
