Date,Open,High,Low,Close,Volume
2008-01-02,17.08,17.4,16.9,16.92,1674800
2008-01-03,17.02,17.05,16.44,16.45,1253100
2008-01-04,16.33,16.34,15.67,15.74,1733100
2008-01-07,15.74,16.01,15.4,15.54,1630600
2008-01-08,15.59,15.9,15.11,15.13,1849600
2008-01-09,15.2,15.3,14.82,15.29,1897400
2008-01-10,15.19,16.05,15.14,15.84,1617200
2008-01-11,15.68,15.76,15.4,15.5,1535700
2008-01-14,15.59,15.6,15.31,15.54,2402400
2008-01-15,15.28,15.39,15.14,15.18,2322300
2008-01-16,14.78,15.29,14.61,15.08,2726700
2008-01-17,15.23,15.48,14.8,14.87,1934400
2008-01-18,15,15.43,14.99,15.09,1414200
2008-01-22,14.46,15.62,14.46,15.3,3062300
2008-01-23,14.99,16.5,14.7,16.41,3640800
2008-01-24,16.47,17.31,16.24,17.17,3352900
2008-01-25,17.84,18.31,16.9,17.1,2974200
2008-01-28,17.09,17.7,16.68,17.66,1719200
2008-01-29,17.72,17.97,17.28,17.91,1515800
2008-01-30,17.74,18.31,17.74,17.9,1640500
2008-01-31,17.88,19.54,17.17,18.92,3479300
2008-02-01,18.93,19.63,18.93,19.28,2658500
2008-02-04,19.42,19.42,18.5,18.53,2747500
2008-02-05,18.29,18.78,18.16,18.19,1482500
2008-02-06,18.28,18.3,17.66,17.75,2093100
2008-02-07,17.7,18.18,17.61,17.87,2796300
2008-02-08,17.86,17.99,17.2,17.26,1904400
2008-02-11,17.2,17.71,17.06,17.7,1652000
2008-02-12,17.89,18.18,17.64,17.85,1429800
2008-02-13,18.04,18.29,17.89,17.99,1280300
2008-02-14,17.96,18,17.32,17.35,1914500
2008-02-15,17.3,17.32,16.87,17.03,1392600
2008-02-19,17.21,17.23,16.64,16.74,1123000
2008-02-20,16.69,17.13,16.62,17.1,1565100
2008-02-21,17.18,17.2,16.35,16.39,1832600
2008-02-22,16.49,16.53,16.06,16.49,1856000
2008-02-25,16.47,16.96,16.32,16.89,1450300
2008-02-26,16.84,17.61,16.75,17.44,1340600
2008-02-27,17.35,18.17,17.35,17.74,1685300
2008-02-28,17.65,17.66,17,17.06,1277200
2008-02-29,16.81,16.85,16.19,16.29,1624800
2008-03-03,16.3,16.34,15.68,15.84,1890700
2008-03-04,15.66,15.9,15.46,15.75,2218500
2008-03-05,15.76,16.29,15.74,16.04,1258200
2008-03-06,15.91,16.07,15.56,15.58,1490600
2008-03-07,15.61,15.92,15.2,15.39,1542700
2008-03-10,15.36,15.59,15.16,15.2,1281000
2008-03-11,15.65,15.86,15.21,15.86,1552100
2008-03-12,15.93,16.01,15.44,15.48,1094400
2008-03-13,15.12,15.95,15.12,15.82,1096200
2008-03-14,15.82,16.07,15.25,15.34,1905800
2008-03-17,15.3,15.67,15.12,15.37,1714500
2008-03-18,15.75,16.27,15.54,16.24,1493000
2008-03-19,16.45,16.71,16.34,16.34,1520200
2008-03-20,16.36,17.44,16.36,17.41,1823200
2008-03-24,17.46,18.3,17.46,17.92,1175100
2008-03-25,17.97,18.02,17.52,17.85,934900
2008-03-26,17.72,17.72,16.57,16.89,1819900
2008-03-27,17.07,17.1,16.68,16.8,1189400
2008-03-28,17.01,17.07,16.03,16.12,1721400
2008-03-31,16.04,16.27,15.81,15.97,2627300
2008-04-01,16.2,17.1,16.16,16.97,2115600
