Date,Open,High,Low,Close,Volume
2018-01-01,826.4,826.4,826.4,826.4,0
2018-01-02,826.4,826.4,826.4,826.4,0
2018-01-03,826.4,826.4,826.4,826.4,0
2018-01-04,841.5,847.3,838.5,847.1,81329100
2018-01-05,857.9,870,857.9,866.8,98933500
2018-01-08,866.8,866.8,866.8,866.8,0
2018-01-09,876,877.3,859.3,863.4,72297900
2018-01-10,871,880.8,870.2,876.8,79009900
2018-01-11,880,883,872.5,881.9,72964800
2018-01-12,880.3,881.8,872,873.1,70705300
2018-01-15,884,893,879.6,888.8,74018900
2018-01-16,893,894.4,885.7,889.3,57019700
2018-01-17,880,885.7,873.3,880.9,68383400
2018-01-18,890.9,892,873.1,873.3,82881400
2018-01-19,882.4,886.3,877.5,880.7,60658300
2018-01-22,884.9,886.8,875.4,878.9,45863100
2018-01-23,879,886.9,872.1,886.8,68502600
2018-01-24,880.9,882.5,863,868.1,78301600
2018-01-25,857.1,863,850,853.3,84490200
2018-01-26,855.9,857.2,840.8,840.9,69823300
2018-01-29,835.9,851.6,831.1,846,64926200
2018-01-30,852.4,853.5,835.3,839.1,64132100
2018-01-31,830.1,840.3,820.8,820.8,78224100
2018-02-01,834.9,860.7,832.2,857,107660900
2018-02-02,858.8,861,837.7,845.4,87055900
2018-02-05,822,826.4,813.5,820.9,105771100
2018-02-06,780,790.9,770.2,790.6,144517800
2018-02-07,815,816.8,791.6,792,109807100
2018-02-08,799.6,804.9,788.1,800.6,74104500
2018-02-09,774,784.4,772.2,778.8,91861600
2018-02-12,778.8,778.8,778.8,778.8,0
2018-02-13,789.4,789.8,765,767.4,94359500
2018-02-14,771.4,774,759,759.1,68891900
2018-02-15,775,782.5,772.3,772.9,66683200
2018-02-16,777.6,783.8,773.9,776.5,49933600
2018-02-19,783.5,794.8,782.4,793.6,58503400
2018-02-20,787.7,789.9,775,784.6,53865000
2018-02-21,784.6,785,768.8,769.1,60470100
2018-02-22,762,766.6,756.5,764.6,56499100
2018-02-23,759,766.1,757.4,765.4,47580100
2018-02-26,773.3,776.6,766.6,769.6,45788800
2018-02-27,774.9,780.6,772,779.2,69317500
2018-02-28,773.4,775.3,762.3,762.3,60220800
2018-03-01,753.9,754.3,742.5,746.4,74672700
2018-03-02,730,737,727.8,736.3,72159500
2018-03-05,727,732.8,723,726.5,61503200
2018-03-06,741,744.5,728.3,730.2,57994100
2018-03-07,723,726.5,715.2,715.7,78487400
