Date,Open,High,Low,Close,Volume
2023-01-03,46.4,46.49,45.53,46.2,1500600
2023-01-04,46.88,47.66,46.52,47.41,2442900
2023-01-05,46.79,47.93,46.6,47.67,2150800
2023-01-06,48.02,48.53,47.82,48.31,1952700
2023-01-09,48.55,49.1,48.09,48.13,1506800
2023-01-10,47.73,48.51,47.41,48.43,1292900
2023-01-11,49,49.92,48.85,49.83,1848100
2023-01-12,49.99,50.51,49.12,50.31,2071700
2023-01-13,49.36,50.93,49.27,50.74,2086000
2023-01-17,50.81,51.37,50.56,51.07,2638400
2023-01-18,51.3,52.28,50.88,50.97,2472600
2023-01-19,50.94,51.06,49.89,50.18,1973300
2023-01-20,50.42,50.75,49.48,50.71,1945100
2023-01-23,50.53,51.45,50.42,51.06,1528400
2023-01-24,51.65,52,50.8,51.62,1704400
2023-01-25,51.12,52.19,51.04,51.98,1662100
2023-01-26,52.27,52.83,51.38,52.37,1800800
2023-01-27,52.19,53.19,51.98,52.62,2225200
2023-01-30,52.16,53.02,51.93,51.99,2971900
2023-01-31,56.2,56.98,55.07,56.89,7896100
2023-02-01,56.79,58.65,56.07,58.44,5325100
2023-02-02,59.12,60.89,58.97,60.27,3653700
2023-02-03,58.74,59.78,58.26,58.8,2772700
2023-02-06,58,58.16,57.33,57.48,2527300
2023-02-07,56.98,58.33,56.7,58.07,2849400
2023-02-08,57.72,57.73,55.26,55.51,3785800
2023-02-09,56.21,56.63,55.35,55.57,2636100
2023-02-10,55.24,56.22,55.22,55.98,2657600
2023-02-13,55.98,57.42,55.66,57.39,2632400
2023-02-14,56.67,57.42,56.25,56.48,2125300
2023-02-15,55.96,57.08,55.72,56.74,1496800
2023-02-16,55.53,56.39,55.23,55.91,2438200
2023-02-17,55.38,55.46,53.55,54.3,3175300
2023-02-21,52.85,53.89,52.59,52.76,2617900
2023-02-22,53.4,53.82,52.83,53.12,2212200
2023-02-23,53.49,54.22,52.8,54,1901100
2023-02-24,52.77,53.71,52.64,53.58,2756800
2023-02-27,54.32,54.5,53.5,53.7,1609600
2023-02-28,53.6,54.95,53.6,54.67,3437300
2023-03-01,54.4,55.4,54.13,54.22,2327400
2023-03-02,53.68,54.42,53.4,54.28,2146300
2023-03-03,55.01,55.57,54.48,55.19,2133200
2023-03-06,54.89,55.42,54.44,54.79,2817700
2023-03-07,55.01,55.35,54.02,54.04,2893000
2023-03-08,54.42,54.79,53.76,54.75,2886800
2023-03-09,54.83,55.84,54.4,54.44,2944600
2023-03-10,54.76,55.17,52.41,53.47,3497000
2023-03-13,52.4,54.64,52.24,54.21,4165700
2023-03-14,54.89,55.67,54.43,55.02,3146000
2023-03-15,54.42,55.82,53.55,54.62,3351600
2023-03-16,54.64,56.19,53.92,55.96,3010400
2023-03-17,55.96,56.04,54.92,55.42,8678900
2023-03-20,55.57,56.08,55.16,55.36,2707900
2023-03-21,55.91,56.5,55.61,55.82,2826800
2023-03-22,56.54,57.17,55.92,55.93,3243300
