Date,Open,High,Low,Close,Volume
2009-07-01,38.3,38.5,37.65,38.5,341500
2009-07-02,38.8,38.85,38.25,38.4,329100
2009-07-06,37.45,38,36.95,38,161000
2009-07-07,37.35,37.5,37.33,37.4,197400
2009-07-08,37.7,37.95,37.5,37.5,46800
2009-07-09,37.25,37.74,37,37.5,47300
2009-07-10,37.3,37.7,37.2,37.7,19600
2009-07-13,37.55,37.8,37.49,37.5,232300
2009-07-14,37.95,38.85,37.6,38.8,6300
2009-07-15,39.2,39.85,39.05,39.85,5500
2009-07-16,39.85,40,39.4,39.55,8600
2009-07-17,38.7,39.1,38.5,38.9,20700
2009-07-20,38.65,39.75,37.35,39.55,36900
2009-07-21,38.5,38.95,38.5,38.75,30100
2009-07-22,39.7,39.75,38.42,39.55,148700
2009-07-23,39.7,40.1,39.65,39.9,7600
2009-07-24,40,40,39.55,39.9,24400
2009-07-27,39.65,39.8,39.35,39.6,7400
2009-07-28,39.6,39.87,39.5,39.87,20500
2009-07-29,39.7,39.7,39.35,39.35,17100
2009-07-30,39.8,39.8,39.4,39.8,38700
2009-07-31,39.65,40.2,39.6,40.15,23700
2009-08-03,39.5,39.9,39.15,39.79,16800
2009-08-04,38.65,39.45,38.53,39.25,38500
2009-08-05,39.1,39.45,38.49,39.4,37200
2009-08-06,39.3,39.69,39.25,39.4,6200
2009-08-07,39.55,39.65,39.26,39.45,7500
2009-08-10,40.2,40.32,40,40.15,3900
2009-08-11,40.29,40.7,40.29,40.4,9600
2009-08-12,40.95,41.3,40.95,41.05,13700
2009-08-13,39.1,39.29,38.85,39.15,246000
2009-08-14,38.35,38.7,38.05,38.7,19400
2009-08-17,39.1,39.15,38.85,39.15,28200
2009-08-18,39.46,40.2,39.46,40.15,3200
2009-08-19,39.8,40.75,39.72,40.69,6300
2009-08-20,40.52,40.82,40.44,40.6,14100
2009-08-21,41.89,42.25,41.89,42.05,13100
2009-08-24,42.32,42.41,41.9,41.9,11900
2009-08-25,42.91,42.91,42.1,42.6,33800
2009-08-26,42.35,42.64,42.25,42.5,14900
2009-08-27,41.9,42.85,41.36,42.37,11700
2009-08-28,42.4,42.7,42.35,42.7,9600
2009-08-31,42.7,43.5,42.7,43.4,7000
2009-09-01,42.5,42.7,41.5,41.5,11200
2009-09-02,41.7,41.95,41.6,41.75,20600
2009-09-03,42,42.1,41.55,41.55,11100
2009-09-04,41.5,42.1,41.4,42.1,5800
2009-09-08,43.55,43.81,43.46,43.5,3900
2009-09-09,44,44.5,44,44.45,10600
2009-09-10,44.15,45,44.1,45,18000
2009-09-11,45.6,45.6,45.22,45.45,47500
2009-09-14,45.32,46.35,45.21,46.17,11100
2009-09-15,46.1,46.25,45.62,46.25,36500
2009-09-16,46.75,47.9,46.13,46.95,1138600
2009-09-17,46.5,46.9,46.44,46.55,359900
2009-09-18,45.71,47.35,44.99,47,1543700
2009-09-21,47.21,47.91,47.02,47.7,558900
2009-09-22,47.34,47.4,46.58,46.85,712900
2009-09-23,46.35,46.49,45.9,45.9,203500
2009-09-24,46.84,46.91,45.55,45.62,145600
2009-09-25,45,45.39,44.72,44.92,99200
2009-09-28,44.77,45.75,44.71,45.43,95900
2009-09-29,45.57,45.85,45.05,45.28,94500
2009-09-30,46.15,46.22,45.25,45.94,106600
2009-10-01,44.94,45.65,44.5,45.07,250300
2009-10-02,43.45,44.49,43.42,44,400300
2009-10-05,44.43,45.54,44.4,45.4,500200
2009-10-06,45.91,47,45.84,46.66,183200
2009-10-07,46.2,47.1,46.13,46.72,157800
2009-10-08,47.77,48.26,47.76,48.19,364100
2009-10-09,47.87,48.17,47,47.59,182300
2009-10-12,48.05,48.22,47.7,47.9,21900
2009-10-13,47.48,47.75,46.91,47.55,100500
2009-10-14,49.2,49.91,48.6,49.55,172900
2009-10-15,48.68,49.96,48.68,49.81,139600
2009-10-16,49.94,50.25,49.2,50.19,479100
2009-10-19,50.58,51.9,50.4,51.19,187100
2009-10-20,50.34,50.39,49.53,50.15,359000
2009-10-21,50.16,51.83,50.16,50.76,456900
2009-10-22,50.76,52.54,50.54,52.3,807900
2009-10-23,51.57,51.57,50.4,50.55,329600
2009-10-26,50.42,50.73,49.41,49.49,195100
2009-10-27,48.76,49.07,48.06,48.4,237800
2009-10-28,48.2,48.29,47.23,47.49,171800
2009-10-29,48.1,49.47,48.09,48.89,755400
2009-10-30,48.81,48.84,46.88,47.18,185400
2009-11-02,47.9,48.62,47.29,48.31,213400
2009-11-03,46.53,47.32,46.28,47.11,245300
2009-11-04,47.26,47.73,47.15,47.38,211500
2009-11-05,47.79,48.6,47.4,48.59,170500
2009-11-06,48.52,48.73,48,48.37,253300
2009-11-09,49.07,49.82,48.95,49.72,92800
2009-11-10,48.31,48.54,47.91,48.32,432800
2009-11-11,47.68,48.74,47.59,48.64,424200
2009-11-12,47.29,48.69,47.18,48.27,2096400
2009-11-13,49.95,50.28,49.47,50.27,564100
2009-11-16,50.79,51.8,50.78,51.65,418200
2009-11-17,50.91,51.45,50.03,51.09,352300
2009-11-18,51.38,51.76,50.97,51.39,395300
2009-11-19,50.76,50.89,49.9,50.6,736600
2009-11-20,50.24,50.99,50.24,50.67,753200
2009-11-23,51.41,51.68,50.96,51.32,454100
2009-11-24,51.34,51.5,51.01,51.32,242300
2009-11-25,51.97,52.55,51.79,52.44,348200
2009-11-27,49.33,52.2,49.28,51.18,799300
2009-11-30,50.73,51.05,49.51,50.29,331600
2009-12-01,51,52.33,51,52.25,456400
2009-12-02,52.83,53.47,52.64,53.24,542300
2009-12-03,53.41,53.69,52.45,52.64,172700
2009-12-04,53.53,53.59,52.01,52.64,403100
2009-12-07,52.19,53.59,52.14,52.5,220500
2009-12-08,51.7,51.82,50.81,51.16,257500
2009-12-09,51.65,51.77,50.98,51.37,121500
2009-12-10,51.69,51.98,51.3,51.69,73500
2009-12-11,52.25,52.49,51.92,52.32,92700
2009-12-14,52.81,53.15,52.61,52.99,134900
2009-12-15,52.62,52.71,52.35,52.45,96800
2009-12-16,52.64,53.32,52.51,52.6,273300
2009-12-17,51.79,51.8,51.22,51.43,132200
2009-12-18,51.14,51.32,50.25,50.61,311200
2009-12-21,50.58,51,50.49,50.83,101500
2009-12-22,50.83,51.13,50.58,50.68,148300
2009-12-23,50.87,51.63,50.7,51.28,192200
2009-12-24,51.58,51.7,51.32,51.48,41300
2009-12-28,52.04,52.3,51.78,52.02,130800
