Date,Open,High,Low,Close,Volume
2021-01-04,140.77,140.89,134.09,136.11,590900
2021-01-05,136.2,140.27,135.81,138.59,580000
2021-01-06,139.71,144.5,138.88,142.97,550300
2021-01-07,144.06,145.3,142,144.31,397300
2021-01-08,145.23,145.67,141.42,143.68,431600
2021-01-11,141.66,148.34,141.59,147.58,793200
2021-01-12,147.41,151.18,147.41,150.87,530000
2021-01-13,151.7,152.05,148.4,149.67,407200
2021-01-14,150.22,153.35,149.94,151.97,436100
2021-01-15,150.92,150.92,147.48,148.97,387000
2021-01-19,151.32,151.32,147.87,148.9,319100
2021-01-20,149.49,152.05,148.25,151.21,348000
2021-01-21,150.8,152.49,149.28,150.93,353300
2021-01-22,149,150.64,146.31,149.77,367200
2021-01-25,147.95,151.9,147.74,148.82,373600
2021-01-26,150.83,151.62,146.66,148.75,204900
2021-01-27,146.39,148.42,141.84,144.34,473600
2021-01-28,145.8,149.5,145.11,148.29,442000
2021-01-29,147.5,147.5,141.64,143.6,444800
2021-02-01,145.89,146.56,142.64,145.85,287000
2021-02-02,147.41,147.48,144.98,145.32,515800
2021-02-03,146.41,149.06,145.34,148.4,242000
2021-02-04,148.77,151.22,148.26,149.06,392800
2021-02-05,150.75,153.6,148.5,152.52,570700
2021-02-08,152.69,154.36,150.94,153.1,526500
2021-02-09,152.01,157.84,151.65,156.08,665400
2021-02-10,156.52,160.63,156,159.91,901600
2021-02-11,160.09,161.78,157.42,159.71,767500
2021-02-12,168.04,178.19,167,169.28,1303000
2021-02-16,172,172.01,166.63,171.11,652700
2021-02-17,170,171.99,168.02,168.45,595000
2021-02-18,171.22,171.22,165,166.33,482600
2021-02-19,166.5,172.66,166.5,171.9,360200
2021-02-22,169.23,175.35,167.12,173.7,605900
2021-02-23,173.57,178.11,169.59,177.93,599200
2021-02-24,177.1,183.49,176.36,182.98,594000
2021-02-25,182.5,183.12,171.3,172.6,681200
2021-02-26,174.08,177.66,172.38,174.99,838200
2021-03-01,177.19,181.08,175.05,179.76,425500
2021-03-02,180,183.08,179.27,181.48,554700
2021-03-03,181.59,185.85,180.21,182.63,473400
